nodes,run,backend,time_s
10,1,mongodb,0.000584
10,1,redis,0.000287
10,2,mongodb,0.000264
10,2,redis,0.000197
10,3,mongodb,0.000196
10,3,redis,0.000175
10,4,mongodb,0.000175
10,4,redis,0.000167
10,5,mongodb,0.000171
10,5,redis,0.000137
10,6,mongodb,0.000162
10,6,redis,0.000128
10,7,mongodb,0.000154
10,7,redis,0.000128
10,8,mongodb,0.000157
10,8,redis,0.000142
10,9,mongodb,0.000166
10,9,redis,0.000109
10,10,mongodb,0.000156
10,10,redis,0.000107
20,1,mongodb,0.000245
20,1,redis,0.000226
20,2,mongodb,0.000216
20,2,redis,0.000163
20,3,mongodb,0.000198
20,3,redis,0.000165
20,4,mongodb,0.000204
20,4,redis,0.000156
20,5,mongodb,0.000194
20,5,redis,0.000176
20,6,mongodb,0.000199
20,6,redis,0.000160
20,7,mongodb,0.000196
20,7,redis,0.000169
20,8,mongodb,0.000191
20,8,redis,0.000201
20,9,mongodb,0.000398
20,9,redis,0.000189
20,10,mongodb,0.000259
20,10,redis,0.000164
30,1,mongodb,0.000299
30,1,redis,0.000227
30,2,mongodb,0.000254
30,2,redis,0.000220
30,3,mongodb,0.000244
30,3,redis,0.000207
30,4,mongodb,0.000239
30,4,redis,0.000206
30,5,mongodb,0.000236
30,5,redis,0.000203
30,6,mongodb,0.000234
30,6,redis,0.000209
30,7,mongodb,0.000240
30,7,redis,0.000223
30,8,mongodb,0.000245
30,8,redis,0.000209
30,9,mongodb,0.000253
30,9,redis,0.000214
30,10,mongodb,0.000258
30,10,redis,0.000208
40,1,mongodb,0.000311
40,1,redis,0.000313
40,2,mongodb,0.000295
40,2,redis,0.000265
40,3,mongodb,0.000283
40,3,redis,0.000257
40,4,mongodb,0.000279
40,4,redis,0.000257
40,5,mongodb,0.000277
40,5,redis,0.000257
40,6,mongodb,0.000273
40,6,redis,0.000267
40,7,mongodb,0.000287
40,7,redis,0.000258
40,8,mongodb,0.000288
40,8,redis,0.000256
40,9,mongodb,0.000272
40,9,redis,0.000255
40,10,mongodb,0.000365
40,10,redis,0.000303
50,1,mongodb,0.000480
50,1,redis,0.000335
50,2,mongodb,0.000355
50,2,redis,0.000325
50,3,mongodb,0.000331
50,3,redis,0.000311
50,4,mongodb,0.000374
50,4,redis,0.000325
50,5,mongodb,0.000402
50,5,redis,0.000340
50,6,mongodb,0.000349
50,6,redis,0.000351
50,7,mongodb,0.000428
50,7,redis,0.000361
50,8,mongodb,0.000351
50,8,redis,0.000313
50,9,mongodb,0.000329
50,9,redis,0.000316
50,10,mongodb,0.000326
50,10,redis,0.000305
60,1,mongodb,0.000426
60,1,redis,0.000372
60,2,mongodb,0.000381
60,2,redis,0.000375
60,3,mongodb,0.000370
60,3,redis,0.000365
60,4,mongodb,0.000366
60,4,redis,0.000356
60,5,mongodb,0.000368
60,5,redis,0.000375
60,6,mongodb,0.000361
60,6,redis,0.000368
60,7,mongodb,0.000368
60,7,redis,0.000368
60,8,mongodb,0.000370
60,8,redis,0.000351
60,9,mongodb,0.000384
60,9,redis,0.000374
60,10,mongodb,0.000396
60,10,redis,0.000372
70,1,mongodb,0.000447
70,1,redis,0.000456
70,2,mongodb,0.000410
70,2,redis,0.000414
70,3,mongodb,0.000415
70,3,redis,0.000402
70,4,mongodb,0.000409
70,4,redis,0.000417
70,5,mongodb,0.000400
70,5,redis,0.000403
70,6,mongodb,0.000407
70,6,redis,0.000403
70,7,mongodb,0.000396
70,7,redis,0.000402
70,8,mongodb,0.000401
70,8,redis,0.000410
70,9,mongodb,0.000391
70,9,redis,0.000397
70,10,mongodb,0.000396
70,10,redis,0.000400
80,1,mongodb,0.000484
80,1,redis,0.000459
80,2,mongodb,0.000457
80,2,redis,0.000474
80,3,mongodb,0.000443
80,3,redis,0.000449
80,4,mongodb,0.000526
80,4,redis,0.000508
80,5,mongodb,0.000453
80,5,redis,0.000450
80,6,mongodb,0.000440
80,6,redis,0.000463
80,7,mongodb,0.000431
80,7,redis,0.000457
80,8,mongodb,0.000425
80,8,redis,0.000453
80,9,mongodb,0.000456
80,9,redis,0.000454
80,10,mongodb,0.000419
80,10,redis,0.000460
90,1,mongodb,0.000517
90,1,redis,0.000524
90,2,mongodb,0.000475
90,2,redis,0.000519
90,3,mongodb,0.000470
90,3,redis,0.000505
90,4,mongodb,0.000498
90,4,redis,0.000510
90,5,mongodb,0.000460
90,5,redis,0.000509
90,6,mongodb,0.000464
90,6,redis,0.000503
90,7,mongodb,0.000456
90,7,redis,0.000496
90,8,mongodb,0.000460
90,8,redis,0.000492
90,9,mongodb,0.000469
90,9,redis,0.000492
90,10,mongodb,0.000459
90,10,redis,0.000489
100,1,mongodb,0.000549
100,1,redis,0.000573
100,2,mongodb,0.000508
100,2,redis,0.000550
100,3,mongodb,0.000501
100,3,redis,0.000631
100,4,mongodb,0.000532
100,4,redis,0.000575
100,5,mongodb,0.000567
100,5,redis,0.000588
100,6,mongodb,0.000517
100,6,redis,0.000819
100,7,mongodb,0.000521
100,7,redis,0.000564
100,8,mongodb,0.000514
100,8,redis,0.000547
100,9,mongodb,0.000500
100,9,redis,0.000594
100,10,mongodb,0.000514
100,10,redis,0.000544
110,1,mongodb,0.000800
110,1,redis,0.000614
110,2,mongodb,0.000713
110,2,redis,0.000610
110,3,mongodb,0.000780
110,3,redis,0.000626
110,4,mongodb,0.000692
110,4,redis,0.000610
110,5,mongodb,0.000680
110,5,redis,0.000606
110,6,mongodb,0.000666
110,6,redis,0.000602
110,7,mongodb,0.000680
110,7,redis,0.000598
110,8,mongodb,0.000675
110,8,redis,0.000652
110,9,mongodb,0.000681
110,9,redis,0.000655
110,10,mongodb,0.000673
110,10,redis,0.000597
120,1,mongodb,0.000772
120,1,redis,0.000671
120,2,mongodb,0.000729
120,2,redis,0.000662
120,3,mongodb,0.000764
120,3,redis,0.000702
120,4,mongodb,0.000776
120,4,redis,0.000688
120,5,mongodb,0.000781
120,5,redis,0.000677
120,6,mongodb,0.000744
120,6,redis,0.000673
120,7,mongodb,0.000736
120,7,redis,0.000675
120,8,mongodb,0.000721
120,8,redis,0.001042
120,9,mongodb,0.000878
120,9,redis,0.000929
120,10,mongodb,0.000913
120,10,redis,0.000661
130,1,mongodb,0.000829
130,1,redis,0.000759
130,2,mongodb,0.000790
130,2,redis,0.000702
130,3,mongodb,0.000828
130,3,redis,0.000690
130,4,mongodb,0.000804
130,4,redis,0.000684
