id,tier,type
00000000-0000-0000-0000-000000000000,L3,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
1735909c-0138-4903-bfe4-061659e789b0,L3,Root
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
cc3849ba-b821-4b55-b87c-ad2f052ee0fb,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
4aab6382-e60b-4a15-8715-f2d3a80f26b6,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
2baaf5e4-c061-4897-8224-703fe2c7b502,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
5d9f4ddf-4590-4d52-9996-b5484f8af1b0,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
42f5695d-9107-4b83-ba35-2dba3929ef94,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
3a6b1d0e-505a-4763-b2a3-c2d0604ce5e9,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
feeb6f8d-2e7d-458b-9ea8-abb0a34e9656,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
25722ab6-4934-4312-96f7-e7f0111f3ca1,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
283d9f2b-4cef-4973-8a9e-fc0e704ffab5,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
c0833a39-fbce-4bcb-b831-7ddd04c70264,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
0a30a11d-b3dc-495c-8676-a03ecb9b1d87,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
537151b0-5891-4e59-a0f4-fe7d73592c5a,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
fc8bacaa-64e3-4909-a992-bc12a7213344,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
983b590a-1ac5-4ec2-a037-eca67412788c,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
ea14672f-7994-4b77-9038-f4cc7370446a,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
cbdb4905-9c2a-4278-8d5b-6550e267283d,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
0e660b99-ae34-450c-82c5-df2413d9ea22,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
7ba3d8b2-82da-4823-9c3a-b7edee28b7cf,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
b54ee6d6-2e60-45f0-b935-2b0cea1330fa,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
2e9f4c73-722e-487d-a110-43a70346fd1a,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
e432e984-06fe-41ba-910e-1d3b8376c244,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
34f51ee0-6304-469d-addd-ee03e03b342d,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
bddd6802-e9cd-4557-aad6-2ec21e585e62,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
03e68217-cb77-4fe2-8d31-bac80840dcbf,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
da601aff-5b85-4638-9927-169c13993320,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
6c501880-7849-4fc5-b133-3baf8ee127fe,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
d975696f-9457-4ed4-b908-34411c0e4ea7,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
901fc6bf-c864-4005-aa8f-5ff3c92997c9,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
1d2f47b4-cf34-42db-9afa-a3a414bc5625,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
6f61b845-cb03-4b01-9e6d-756e8c45e04c,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
6a671fd1-2d7d-4bb3-9be6-b50bb4bd4098,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
d3125575-d47a-4ae3-b438-5d6510fd208f,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
3db5c15c-589b-458f-b438-2c738c10e75a,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
b1987aa8-99ab-4684-94db-77b805d1a243,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
e3dc78f2-4b45-457d-b72b-864d3766654c,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
d95cde5c-7d27-4464-81d4-1aeec582c836,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
ef156727-5058-481a-bdc8-b353f5176c0f,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
4b70d9cd-6007-4b31-8f47-c1bd31c31215,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
6d88a99d-7d47-4d49-add3-d41bbe9b907a,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
27b8a964-07a5-41a3-8d17-f1306314be0b,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
9f03e742-12b3-4266-886b-8db1636ec914,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
511cc487-05e4-4a82-970d-1e0c0b359c3f,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
485c8fca-9080-4288-850b-cbdaafd6cea5,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
39e925bb-b91c-41c3-8b1b-701e10ed09d2,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
1d27f468-1e4a-4bca-ad1c-b59d96104a6e,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
55ed16b2-828d-4ea1-a08e-31aba96667d3,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
69869cdc-53e9-4ac3-88f8-b4d641628317,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
affe86a5-3cff-4876-8acf-323ccf6f2d0a,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
83fe16a2-7508-4232-8f6b-054ab1e31c94,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
6cab1b62-ceba-4865-9285-8add0d1a3191,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
dc6d8f51-279b-4d41-8a68-021366efb84e,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
50b00b09-a3b4-4ce4-a990-36eb0209e11e,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
