id,tier,type,root
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
716565fa-19ab-4020-8370-673162b3c332,L3,Root,716565fa-19ab-4020-8370-673162b3c332
716565fa-19ab-4020-8370-673162b3c332,L3,Root,716565fa-19ab-4020-8370-673162b3c332
2924b5f9-c295-4efc-b4ad-db05c92dac02,L3,Item,716565fa-19ab-4020-8370-673162b3c332
bc9a85c6-ce17-4f83-a721-ea9cbef80b8c,L3,Item,716565fa-19ab-4020-8370-673162b3c332
a7463913-166f-4dfd-8c9f-6bd5664c81d4,L3,Item,716565fa-19ab-4020-8370-673162b3c332
a6bfe5bb-a42d-44d6-b6ad-ab6d3d5c7620,L3,Item,716565fa-19ab-4020-8370-673162b3c332
f486b9c5-9875-4105-8e35-ac760a801195,L3,Item,716565fa-19ab-4020-8370-673162b3c332
9f6bd4fa-c8c1-40b3-bf4c-08526f5f454a,L3,Item,716565fa-19ab-4020-8370-673162b3c332
2d40ca2f-752f-4bf2-9e66-9acb2a49493d,L3,Item,716565fa-19ab-4020-8370-673162b3c332
4a1e8174-e957-429a-98f1-f10bf3f43fb1,L3,Item,716565fa-19ab-4020-8370-673162b3c332
b87f7742-2801-4b33-b12f-09bb3d1531c2,L3,Item,716565fa-19ab-4020-8370-673162b3c332
5c46f830-23e6-4b54-92fb-bb7e9e117ba5,L3,Item,716565fa-19ab-4020-8370-673162b3c332
068a9ce6-6ab3-4528-96cb-3bde03d0d5d5,L3,Item,716565fa-19ab-4020-8370-673162b3c332
418d7dd1-6379-4258-a0a4-9478d6fc6cee,L3,Item,716565fa-19ab-4020-8370-673162b3c332
8bcd3681-2b5d-4c99-b71c-592ddd010452,L3,Item,716565fa-19ab-4020-8370-673162b3c332
b6226144-d2a8-494c-9d4a-9f9f1ab27f28,L3,Item,716565fa-19ab-4020-8370-673162b3c332
99f03061-40ad-4969-adc9-7f9c788fe72f,L3,Item,716565fa-19ab-4020-8370-673162b3c332
f57f8ae2-eb02-4f5f-9551-803e6b470ef3,L3,Item,716565fa-19ab-4020-8370-673162b3c332
c2312097-e9d5-4e18-8aa9-05c50aa6b10a,L3,Item,716565fa-19ab-4020-8370-673162b3c332
be992d87-79cf-400e-8c37-ee9d8011bfda,L3,Item,716565fa-19ab-4020-8370-673162b3c332
ed0da5a3-55d4-442b-9ed3-5c40a3850662,L3,Item,716565fa-19ab-4020-8370-673162b3c332
af6ed639-e76b-4e84-8bf7-15cf3866d028,L3,Item,716565fa-19ab-4020-8370-673162b3c332
eca3b1a1-4b6a-47ad-a8fc-946826ff69f5,L3,Item,716565fa-19ab-4020-8370-673162b3c332
2bc0b380-2b69-4fb6-bec6-30f2d89a457e,L3,Item,716565fa-19ab-4020-8370-673162b3c332
bcc34ee9-c920-45ca-bfce-6bb61ecb43e2,L3,Item,716565fa-19ab-4020-8370-673162b3c332
ad46eec2-69c3-4d51-a1c8-9cb5d44749cc,L3,Item,716565fa-19ab-4020-8370-673162b3c332
ec145702-9ae5-4c9c-9e36-9d1c1cd54e4a,L3,Item,716565fa-19ab-4020-8370-673162b3c332
e28d3d57-5158-4d6e-b9eb-2dec34a667dc,L3,Item,716565fa-19ab-4020-8370-673162b3c332
e3c40417-5c1b-4b78-84f5-e206295564d8,L3,Item,716565fa-19ab-4020-8370-673162b3c332
a667aebc-a209-48e5-aa1d-1fdba63da834,L3,Item,716565fa-19ab-4020-8370-673162b3c332
14902c3c-eb1a-4f9a-9f8d-e3d0c8265fcb,L3,Item,716565fa-19ab-4020-8370-673162b3c332
bd7b431e-9491-4b6e-b78c-b9250071e414,L3,Item,716565fa-19ab-4020-8370-673162b3c332
d913f79c-7a40-4eb8-bdd1-ad0e885ea41e,L3,Item,716565fa-19ab-4020-8370-673162b3c332
881136e9-4b9d-4330-af13-c232036624d5,L3,Item,716565fa-19ab-4020-8370-673162b3c332
4bd0d8e4-a470-4e39-af13-ebfea789bd13,L3,Item,716565fa-19ab-4020-8370-673162b3c332
4272d5bf-5669-439e-9e80-0d6d5dffcbde,L3,Item,716565fa-19ab-4020-8370-673162b3c332
93a725c3-0ed9-4ec9-8e6a-83416b12392e,L3,Item,716565fa-19ab-4020-8370-673162b3c332
9598a976-3115-4fea-953b-0823c5696fbe,L3,Item,716565fa-19ab-4020-8370-673162b3c332
af308c3a-3e51-454a-aecf-6bba34afd049,L3,Item,716565fa-19ab-4020-8370-673162b3c332
2267fdbb-de69-4187-bad3-c6c235ed33d5,L3,Item,716565fa-19ab-4020-8370-673162b3c332
ddee1f43-d536-4836-9252-43495fc61762,L3,Item,716565fa-19ab-4020-8370-673162b3c332
0e2480b4-53bf-4e1b-9d49-d3f56bff9003,L3,Item,716565fa-19ab-4020-8370-673162b3c332
d8ac6cc9-a77b-47b8-bd8e-96cc2a869b55,L3,Item,716565fa-19ab-4020-8370-673162b3c332
1d3f2b5b-c6df-4da3-a690-7674e9927385,L3,Item,716565fa-19ab-4020-8370-673162b3c332
667cd80c-7870-420d-bfb4-4238a4945b5a,L3,Item,716565fa-19ab-4020-8370-673162b3c332
