id,tier,type
00000000-0000-0000-0000-000000000000,L3,Root
00000000-0000-0000-0000-000000000000,L3,Root
6fadab88-0914-46e3-8049-abf6661fcde1,L3,Root
6fadab88-0914-46e3-8049-abf6661fcde1,L3,Root
726498c1-3ba1-450e-924f-2db0936ac1b3,L3,Item
423820f3-2680-4cf0-9d4e-8f95da3aa7e2,L3,Item
2d10d220-ee71-400c-9d22-d2867b99b2b5,L3,Item
581a02b1-1970-4c40-b053-5698b8387e82,L1,Item
5e5e3301-4c29-42fe-9f85-dc5c46ca720a,L1,Item
39565a1b-20df-47d3-a920-83b6dc68bc80,L1,Item
4d98f5de-8b77-4260-8e5a-645e260d4081,L1,Item
aad37ebc-e98d-4c51-8140-fcf9c30c9160,L1,Item
14a25ffd-3b2a-4a17-919f-021498ed95ca,L1,Item
c7d1838f-1dd9-4120-ba01-b82b1bac9204,L1,Item
29a39639-a3b5-46ae-be53-25e4c77a005a,L1,Item
776f8352-ea85-4306-a834-e7132e7d5e99,L1,Item
2b559905-103b-492a-a44f-454c8df5fd42,L1,Item
6680d915-49c5-474a-876e-398e1218a56c,L1,Item
bcb1b442-a9e7-485e-a1f3-d455efd1afe2,L1,Item
4e5da24a-61be-4925-9db9-cf85814d6dce,L1,Item
868528ab-9439-4bf3-beb5-4826d4131284,L1,Item
01f94393-300e-478a-8b05-930cf04728e8,L1,Item
a480bb99-ffdf-499c-8888-de7088b1fa49,L1,Item
29365a51-fbe7-47de-be5c-037499b3e05d,L1,Item
2a04998a-8150-4733-a49c-cc012444ceea,L1,Item
56832d5c-4729-42be-b27c-1b4cfc361e5e,L1,Item
5d717384-7fee-4680-b9db-1afc3b479559,L1,Item
91979635-f277-4529-83c7-664195065826,L1,Item
33c2b943-36f4-40ec-8341-f72388be13c1,L1,Item
c44b7e61-c013-4370-a1ec-8d6c1e0833e4,L1,Item
f13db326-8c96-478a-b8bf-28e0e7ac22cd,L1,Item
96627e85-750b-4e2a-a94a-5237f1cb104d,L1,Item
9b34f78d-f5ee-438b-8ae0-9faee077ecfd,L1,Item
11a79a0f-c453-41a4-8ab7-f07cf4ebe7e2,L1,Item
9cf52bcc-8354-44dc-916a-0a43a5140f5a,L1,Item
