id,tier,type,root
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
bf14705f-1a35-4ac5-9b04-fbb6547ecf58,L3,Root,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
bf14705f-1a35-4ac5-9b04-fbb6547ecf58,L3,Root,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
c0902745-df50-45e1-bb60-162d077bb79b,L3,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
f206fbd0-3a54-4aba-8225-19d2b3fcba67,L3,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
32201080-2df0-4d55-a19c-0c202746c105,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
3bda8096-4900-4337-a169-b5b6bb701ee2,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
713159a5-6007-49e4-8e78-0c79c265f2c3,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
aa3ffb23-46e7-4259-a4fb-18a946340eb1,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
dd02c9a4-9df0-4d16-bc2e-fb9a5cbe4af3,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
5b903bba-dc28-4c67-a51d-fcee732745a2,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
75171e79-2d58-490e-86a1-dcd850f44abc,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
ab4bc179-914d-4e4e-a184-59586203fea6,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
6f3a47f3-4cf0-4050-8e46-25149f289eda,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
c3ad201b-d321-45c8-b6b6-2971baebaf8d,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
ee894831-cc14-4205-b6ab-2a7867276b19,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
12247c10-2df1-416c-bfe7-3fb448f5a7d4,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
4d073d4d-4e81-4f7e-8b3d-71f6a4acd5a0,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
d471aa55-0ccd-4e61-abb0-5f0bca2c48b0,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
3a7a440f-a6a5-472b-90c7-4a0d38959704,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
97dc1638-7440-45d9-909c-f37237b2c28a,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
315f9db2-606f-4bbb-9690-f4a17cdb9d30,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
75c5de94-97de-434d-b300-9ce4397ebfe3,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
25035bd0-26fc-4579-a452-e8de2d2b5f7d,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
9467ade4-7ba7-46b2-9e2d-b0b76b69a5f8,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
24560b67-1bf7-4aea-97b5-64cb8d58ebf3,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
01ec9cc1-240c-48ab-b241-d871cb39c56f,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
c13c85b7-8934-4eb0-b8eb-8f64c8bf7cb6,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
1315b641-21b5-46fb-9d06-30544cc5366a,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
eeeb942d-80cb-47d3-9d06-a901593a1183,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
4e0a3e3a-0f4b-4e2c-be91-772e6849c6d5,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
5ea77610-3c74-4f53-9656-162594d771f5,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
e4ae50aa-aab0-4247-960a-bd02fa0470bf,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
4a2f36a1-7441-48d5-95c4-2e7471853b3c,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
dbe7c1ff-aaf3-4ffd-bd7f-4570828f5fad,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
a9d0846a-c6cc-4cb9-931c-0a68f139898d,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
63fc0b66-0dce-45ac-8f26-98805a9902f4,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
b91cd0b0-04be-47c8-b7bb-07b8e986319f,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
a6930179-e3bf-4feb-8037-1e65a83b7af7,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
d747f4d6-bf77-423f-b29a-e3bb5d5cacdb,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
67e30ab1-b935-48a1-983b-320f93222b02,L1,Item,bf14705f-1a35-4ac5-9b04-fbb6547ecf58
