id,tier,type
00000000-0000-0000-0000-000000000000,L3,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
11b72a0a-fa21-4e5d-8028-38bc44119a49,L3,Root
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
9e15be8e-f994-40ea-8e99-f33852331361,L3,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
59745e8f-1f2e-4314-b14a-310204c9063a,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
63f32f7b-514c-4d9f-b6ec-bec11cc53a4c,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
6029db70-518b-4775-a5a7-95c82660ec8b,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
e89937d9-11f1-4a5a-9c8c-bb2991d01849,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
8aeaa241-14c3-4c09-bf73-90b01ffbf9df,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
8e29f04d-613e-433b-ae91-48ef806d0e7f,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
90ddea33-0c22-4ccc-ac9c-ed7befd11bb7,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
f406e1c6-7ba0-4804-8290-03180544bb77,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
74b09963-22cc-407c-af4e-7332df32bc75,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
f7e321e0-1b7e-4221-87ce-f4cca57451b2,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
fd26d2f7-2dc2-41b0-aff4-bc7a567b2aed,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
59d86aed-4b7a-4532-866b-90d7d59a63e6,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
2ae2503c-8778-4d77-96b8-19e61c2089ba,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
06739dcc-28bd-48ff-95d1-64f45816206b,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
39f19a93-eb9e-46b8-a6b2-4dc30d65e614,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
a411d9a8-4731-40b0-b655-ac43487cb763,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
e76f535f-3df2-459a-abe0-d765973ee2cc,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
f61db61b-7c53-4fe4-a24d-b5af3fc5849e,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
e5e3435c-b013-41c3-bf41-bdf807648b81,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
bb07d72d-1be9-4b0f-87b1-4e1e1d00666e,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
e832f015-1437-4011-8fdc-6ad549569844,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
ea169049-0168-4129-b319-3ce18407b507,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
40af202b-8a0a-41c5-b8b4-15f407a5c748,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
219aef0a-992f-4e10-8e62-bae4e97cdefd,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
b21f85c2-05d3-444d-9676-48ff6462adb5,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
d0f4c513-636f-4b74-b81a-a5ade4c9690e,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
fb184930-a2c8-4056-80b1-8082b6dd0f55,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
554c9498-3af7-4045-895f-524fef85787c,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
ff0845b7-0738-4baf-9d61-41d7a522244d,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
dd91d56d-43bf-45ec-80d1-5852b2e0a74e,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
434167f7-4f3a-437e-ba27-ce3ff2ba99de,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
1a34c6d4-9376-403f-ae5c-bd6312a77869,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
2263e4dd-b39a-43e2-90e9-c77afaa76608,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
7b4fe029-23a1-4f55-a4ea-eac873e7b2bb,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
012e0b21-27a4-4ea7-bbd0-ee87d1b7722d,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
73b373c6-51d5-4dc1-a979-007656ac2ed2,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
b3d29d11-2a00-4746-bfa1-e10f93628120,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
5312afc3-f106-4724-add2-577b66f47443,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
b90ed9b0-d94d-434b-98ae-c542bc1bf1bc,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
e5846318-f77b-4ccc-aba9-b7832328dd5a,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
e6798863-0852-4ce9-a7c4-d7ceace53829,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
1100f5c5-889f-4424-a4e0-401126ef173f,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
7bcba259-aee7-412c-bcef-aa8fa6591b74,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
e78f357e-5e36-4e72-b4b2-d4b2e8838bdc,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
eaa1a1ec-2a79-480d-a3b5-649e9aa080ec,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
099b85ec-fc67-4195-877d-0459f06d2360,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
ce575784-0201-4de6-afdd-8bd791104c74,L1,Item
11b72a0a-fa21-4e5d-8028-38bc44119a49,L1,Root
2cb2dedc-5cbb-46ea-b60a-b43bdd00601b,L1,Item
