id,tier,type
00000000-0000-0000-0000-000000000000,L3,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
1735909c-0138-4903-bfe4-061659e789b0,L3,Root
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
699f490f-be34-4a23-8449-5aaa40122ee2,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
8d53532f-d1c1-4354-a074-b8c3741e72fd,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
87e90561-8a74-485e-a291-f54f7a8abda9,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
deb31414-b49e-47b7-93b5-6d20e4e01c70,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
142eb846-24e0-450c-8c5a-558611a5b806,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
061b9bcf-da31-4207-b1ed-40a1c3b27046,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
f28d496f-c739-47f5-88be-928da37c0f21,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
e78d0cbd-ab4f-4336-b6f4-71d71517b44f,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
d435b4fc-c751-4765-a4b8-54f4053d120e,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
5dd89975-2968-41ce-816e-51ff2976c6bf,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
6b323a91-5594-4223-bf28-0f12ab5d103d,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
1a0bb284-463d-4742-a18b-bac1d4948658,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
d0dedd84-b8ee-4890-b90a-c42478b74c02,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
64cfa305-e93f-4e7b-876f-0e1ff0c2705e,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
a377679d-645e-4222-a9b1-1fefd3607692,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
5a6909ea-832f-4dfd-84cd-a4a41bc7af24,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
cdfacc61-b08a-4143-ac92-578560b20f79,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
acba7853-adac-4512-9e9b-982b7cf3d59c,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
ff67d30e-78a8-427a-8e8f-76875e3c838f,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
81e2ffc0-f5f1-413b-80e5-e511013eee09,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
c6938d73-6c8d-420e-a828-51fa9824024f,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
63a66e55-9f07-43c9-90fe-8247fdaf6b08,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
e65c23c1-9cb5-401c-ade6-294a62367c65,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
8cb92772-e299-4832-aa83-24811d8ecea3,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
bb283edb-8888-4dcc-a03a-08e7dbc55ce4,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
3304f29d-fa16-40a3-a9b8-aebdbf8d39a3,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
e7e81fc5-c06f-443e-9c98-d5d9be87e60c,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
3fa1bdef-7b05-4625-b15d-541e11dc0aa9,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
30608523-85b1-4d6f-a95a-1a3e52de01f8,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
3d49e39c-7cc3-496e-8f17-585ea4810c89,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
8b071d50-514d-438b-8123-28bd091c2f37,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
9d251665-8ac4-469e-b567-d7bf256cd0ba,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
b52a8c00-f9a8-4160-9d93-8109f06c1e2a,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
5c6b459e-41d5-428b-b19e-83614a36d3c7,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
78bd82e6-6157-4dc1-949f-c3d120cfbc72,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
ea3193d7-2c6a-42cd-a716-85c57dba786b,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
c89c1490-6766-4aa2-90ff-5a0c97d74883,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
bf21cda5-57aa-4b76-afa5-545bdc55b006,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
9f3f1ded-2b5a-4402-8247-498687c37878,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
6e9173cc-b85b-4b02-81ea-0e5100ae14ef,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
0d75ffde-435b-4ee0-89ba-b8da981cdf87,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
74e3b130-e427-4b46-b01d-674d663723c8,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
5dc62e29-c0ae-4771-8b3a-7912096057b0,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
bf7e3c10-216f-47c3-aa2c-26f5b1972ad2,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
76855975-3600-4593-ae1c-f54a4b27340c,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
e227fd25-3d85-419e-95fa-6d8eb0a04151,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
59d9f754-1897-4bc4-a090-b866eb37021e,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
1dd2fd13-bea6-4c19-8d06-8f8b5b053cc6,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
e1d803cf-4451-4c1a-82d9-8d282208c5f8,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
49730bee-1476-42d8-b80b-59059f35df68,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
f91253dd-03dd-4630-bfe9-f48763d7b9b6,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
1be77d8b-c933-4624-a14a-6c4a45434a71,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
