id,tier,type
00000000-0000-0000-0000-000000000000,L3,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
95b5a52e-7a08-4550-9d65-8103b9001c20,L3,Root
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
77de3acc-d2d7-4fa7-aa25-f8221e60dfbd,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
89c5b48e-1052-4c8d-9bf9-25a4ac97b288,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
e608948f-cfe4-4464-9047-a0fb60a7ee9e,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
65b29545-6934-48a5-8f67-efd8f36e0cb2,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
45fa73e7-4d11-4d5f-bd36-c9fb6dc1fdf2,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
7982fa4b-53d6-403f-a7f5-138df68eb26f,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
d2bc77a6-dc33-4750-ad7f-cb07ddebc840,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
aa8677b4-609f-49cc-bcb8-41c17eea09a3,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
d871bcfd-6486-4038-9016-184f47faf0f8,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
8c714150-9202-4d77-bd3d-c3c9dd17f362,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
030d06aa-4ad0-48f8-bd5e-7baf96d044f3,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
f72132ba-a1a2-49f8-8325-b221ab98436c,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
d4dd2713-b70c-41f2-8110-a16d272004d6,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
c5a57c9a-32a4-450b-ab46-f2a9ad1352bf,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
73e8f648-4c66-4d6c-acde-c62dc289757a,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
735906b9-457d-4d42-aed8-a901cceb719f,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
3b9d631a-97b7-41bb-8c34-3e63b7da893c,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
f6e24b39-ca28-4b39-99be-fbbc800090b3,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
e76e9819-c2e9-4997-9d4c-0117b5265e4f,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
d9a708ed-0afb-47e5-bb60-cb5e6cf2a09e,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
3a28fe53-7999-428a-ba2f-380b03018e4a,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
6209ceea-78f0-4ccf-925f-4075c948ca13,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
6cf3881f-c704-4beb-ac15-0ddcb32a5183,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
a1cde163-8625-4802-bc92-e7e76de870a9,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
9c1a21e1-165b-4bb1-8e5f-539a7e252060,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
e1608b0a-ea44-45a9-a172-e84697585d48,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
723ee356-32f3-48f7-ad71-8ec383c52862,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
9d023907-7a00-4818-9ff3-2275e7f1b6ee,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
6268d88c-8c4f-4ef3-8946-88276e419882,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
81bcd833-cd80-48b6-9aae-0f1074525d86,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
6e52bd08-9337-42f5-aaa3-ec1a3d69e6a6,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
9a65a78c-dee8-4285-983f-bfb4f04c59c2,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
342a8d46-59b5-489b-818b-f10b31709422,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
829ae11e-2a24-421e-b8a0-971fd43b9d20,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
92a55e0a-308c-4c25-b119-e6a9806aa270,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
62bf6e34-8158-42c0-b355-c53c92b87255,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
86aee783-a483-458a-b8a8-47bdb1b85c6d,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
a92d8863-59f6-42e5-a93c-63d35b23b4f2,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
5f35f381-c12d-44a9-98f8-319e88a3b44c,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
d55b757e-0cdb-4b22-aff4-1be22aa6afe8,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
33b598f6-5ba2-4b97-bfca-4677aaf693c3,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
81e8f045-8aa4-4935-805f-fdb0e856f185,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
1380682c-a03f-4bd4-859b-b75a594cb041,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
d8847084-5734-45b7-aadf-1189bf60f921,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
1d1a5743-ab9a-4ec3-b72f-d249c198dfef,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
f2f5322e-9b23-4f6f-8b48-c3e6c9384657,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
1200a1c4-8b93-4894-bce3-91524dc90725,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
29d5be37-9898-44f8-9d72-f85cdd71306d,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
af496a07-4d3f-43c7-a2e2-26ef70ac1b0c,L3,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
48e6fa9b-0dc2-48d4-93a6-28874552b3ad,L3,Item
