id,tier,type
00000000-0000-0000-0000-000000000000,L3,Root
00000000-0000-0000-0000-000000000000,L3,Root
cb2f17af-36c8-4e87-821f-ba59beda5199,L3,Root
cb2f17af-36c8-4e87-821f-ba59beda5199,L3,Root
c1c0e4e6-b179-42e4-8a72-fed888ff5059,L3,Item
6ca05267-dc54-4fbb-a126-4126dfb99c9b,L3,Item
d6b9d4ca-7c4e-426c-b777-5d9312429795,L3,Item
3c759ae0-57af-40a7-85b3-3f28b066e7d3,L3,Item
07a3ab87-d532-4793-a671-e2176f9b04a3,L3,Item
4f43c698-036d-40ee-8990-308451b5f99a,L3,Item
e38f530d-111a-4425-ab52-3cbb3b6fa562,L3,Item
75499218-e82f-4a8b-9e9c-0dfc819d8be5,L3,Item
84263dd0-0733-4d00-a79c-099c88a3ed5e,L3,Item
58d22422-b7de-4829-b213-2b8a535f5a6d,L3,Item
91775c55-71ba-4df4-8d91-3e3cb7d934d6,L3,Item
8fb6cff4-c111-490f-967a-b9eb6011f2ac,L3,Item
d5a816b7-244c-4e90-a9d0-ed487281a48c,L3,Item
b9edf069-44db-4d50-aeac-870100e8c697,L3,Item
a3cfd3c9-b374-4929-9511-40e490b8bc07,L3,Item
752bb0c9-0e57-41a7-92a6-4b6d12e5be4f,L3,Item
163fc5b3-69be-4fc0-91a6-6c85fce271b3,L3,Item
aa3588e2-1fd1-431c-9d55-5261ad5866bd,L3,Item
970b3657-45b1-4734-b53f-c5c0b51e36f9,L3,Item
39ae31e7-7f81-443e-8727-f057df3d6cb2,L3,Item
1f938efd-bd26-490d-9d11-fdf6ad3fe5c5,L3,Item
85821977-4a7c-4516-b47c-98c02214fc1f,L3,Item
1fd2d916-9a5a-407a-8630-d7bd1434078e,L3,Item
a512cf8e-b013-488f-bdc9-93fe08b63d9a,L3,Item
74f67b3d-a930-4880-bb1c-cb7c6c262936,L3,Item
26b48bcd-f4f4-4b20-85c8-bb5608fde377,L3,Item
bae5a00f-d32f-4671-b626-1600a1acbc8d,L3,Item
5d355f65-3c34-4327-8d42-3368d9a85d01,L3,Item
cad97fb8-0b7e-4d88-bc41-a1cfd711bc34,L3,Item
79044489-8ccc-471a-9fce-320f5ff9e506,L3,Item
