id,tier,type
00000000-0000-0000-0000-000000000000,L2,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
1735909c-0138-4903-bfe4-061659e789b0,L2,Root
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
90773b42-ffd7-4de5-b10d-bbf387852f9a,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
2120af14-f0c0-4a55-980f-40256294cf00,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
fe4fce6b-9465-4468-8962-2a253e55207c,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
23c58199-43dc-459d-a93c-98704af1f216,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
9230ef60-47e1-4a3c-b05a-1b490afd1d43,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
b10359e1-04de-476d-ac55-149258425aa1,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
21aa37b4-8894-4062-8e6f-0c026ce36e54,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
fc7780ed-f981-40a2-84d3-3fd243bd2fe9,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
9d938995-da09-4b12-930c-5cc914aaef80,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
27ff63f6-293f-4c5d-bfb1-473234af5e9b,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
b7887250-c53f-476e-b3c5-5ed7698f312d,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
528cc0d5-35e4-4e1b-a670-6d9e30608895,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
e0f2121d-8852-4dc4-b635-3a1cd5b8043a,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
f811415a-db70-4e52-b773-08631ff19e61,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
4b2cede6-d625-415b-829c-dc50fd005626,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
1994f481-d03c-456d-ad28-229601a8d6dc,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
28263f43-c7e3-4ea9-afdd-598a6f268dc6,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
6b411546-6a85-448b-92f1-00c90c68efa0,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
d22fd869-7c61-4462-bb5e-3a8f3a1a9225,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
5d761d21-b9fc-4155-92ca-6d00fa0d533a,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
40ab68dd-acca-446d-8167-4c2f7b0367fa,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
ada682b3-5de3-43e0-b6a7-031f42f8aa7b,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
0ecdb02b-fdda-478c-83b8-e892e576c945,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
647fc67a-76ef-486c-9e7f-8d1e6b59e56c,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
0c1f30ae-2892-4136-bade-c76a56e65dbf,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
941df3c3-0584-48e5-8ef2-3ed42ea2b6df,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
b7354eaa-4b39-4a4c-a510-836193338915,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
cb6f5fc9-7881-4f93-88d7-a69d1f46be26,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
513f1f91-8282-4f1d-8588-4196d01b7da4,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
d0ecdd32-dfe3-4a25-b508-b5c859da8a38,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
f1d31faa-912d-4c92-aa8b-0fafedc0d3d2,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
ad75c7ad-821f-40de-96e5-f5937a067ab8,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
edfbc024-31a2-465f-8de6-1107bab77b28,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
97ec99a3-056f-4ee4-a75a-e1ad0e320747,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
9b517066-aedc-49dd-a5a2-d0dc80020d31,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
72a83303-03b1-4029-a28c-8bc236d34e9b,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
353a1b92-d572-4242-9a2b-7e05cf4dc765,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
7813f4db-b833-4342-8d2c-f1f4370480c4,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
990028e4-07ec-4e0e-b0ad-8ee19e7d3af6,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
e4465507-53a6-4779-9aed-5ba28d2aa2b3,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
397312ae-14bc-48ae-84c5-a402a263d810,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
000ef46b-7776-4da9-a4d2-d5ccc1c50a86,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
c9d8a3e1-40ca-4ad1-9c7f-71eb71972b40,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
995b65ab-cc96-47e9-bf3c-610f116b8de9,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
12fd7446-4ed3-4df6-9c4e-9194a1782241,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
cc626d27-19d4-40a2-b9a7-9edb43e0a717,L3,Item
1735909c-0138-4903-bfe4-061659e789b0,L1,Root
