id,tier,type
00000000-0000-0000-0000-000000000000,L2,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L2,Root
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
9d228bea-47b5-4268-bd6c-fd4e03b10ff9,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
e246c2ab-e210-427c-b1b6-c5fb58a333d0,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
4001b9ec-b601-410e-bc18-6ba064593a77,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
a4871f11-e251-48ab-9b96-da20ee10cb0d,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
0d68ccc6-71c1-4e8f-ac0a-78f298c494ba,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
9913494d-fdad-4bae-889d-df54ed24c26b,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
fcff2196-2193-433c-84b5-de4af39f13d8,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
9ed1f2e5-3dd2-49dd-bada-6f82746fa475,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
6a5d5da7-5ee6-4e28-8e0a-bb83f1a8e7b5,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
3bc6bf65-9c4e-46c5-89ce-844473fc315d,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
0d1ed57d-61e3-4131-b183-2b73543a9b31,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
3bd345c3-a71e-4e9f-9e79-860c45c81f90,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
c723fc11-a44e-4ea2-91f8-cc4371761880,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
caf41544-5db8-4394-b195-182f07812daa,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
3dcdac82-b118-4c38-81d7-fa1add97314d,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
ae44c0d1-a9ed-4367-9991-dee4d51295e7,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
cf38ef0a-51be-4007-ae40-3fbc01e580f0,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
1232f62e-eac2-4563-844e-e8381596ccfe,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
983d4b00-c7cc-412e-a70b-b7c8d14d5e20,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
f194b0c1-ecbc-4c86-aa6b-d1599649ddd8,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
3c086780-66aa-421c-997f-4b4bd7a2f76d,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
c2e3f9fd-5224-4729-a33b-a2636cb86409,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
4b39faff-8fad-4025-9986-cf5f3fc24bf0,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
256bfe2d-0481-4c52-a7ec-61201e555505,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
c405e4ae-fb60-4345-bddd-b8cd14f8fef7,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
84c6215a-bdd1-4d66-9d2c-af2e9f901881,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
85dbe660-44bb-4135-b641-d3b0f13f3e1e,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
433669af-2a58-458a-a878-cb1ca1dfacfd,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
f78bba82-4444-42fa-9150-91f1edd82058,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
14444609-a6c7-48ab-baaa-4efd5f738e4f,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
7c24a7cd-af43-4d94-9757-8e70673e3e53,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
83149ed4-3ff7-479f-a689-f9123fa54490,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
8ebf25fc-b858-4d97-a88b-e5274de737fa,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
da911306-878f-45bf-a469-a3f8c6f691a5,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
36e7b40c-8fe7-4157-aa3a-c3ecbca197ce,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
f1e314e3-27f5-4f83-80b2-56985924f659,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
43835039-31d8-4629-b2e1-4a2e2a75d7bb,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
5eb5eb72-9b70-43fa-8a98-b1bf93478ddc,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
cbefacc8-51c6-44e9-9d59-4daa17e3b153,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
9e263b19-e943-40b5-ba7c-78dc8637836b,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
6221854a-d7e4-42dc-8c96-3f6b2d4c6c3a,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
390e3aca-abd5-4760-8033-16ae3eb7c60a,L3,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
