id,tier,type
00000000-0000-0000-0000-000000000000,L2,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
95b5a52e-7a08-4550-9d65-8103b9001c20,L2,Root
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
1e3d8f0c-035c-43d1-a58c-3f47ab3a82b3,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
8149abfd-93be-414f-964c-971791145b96,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
26b54d24-0831-4849-a181-63d04ab92d19,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
b94dd22b-ec73-468c-bcbd-23e2b1707923,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
bec18323-f420-4ffe-a746-a611ee364b4c,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
b79ec592-5cf8-486d-b2ff-8ae0925ed588,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
616c74a1-799b-44c5-98c5-77b9771664a7,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
bdff1c85-c1e6-4b16-b6c8-ee9bebb7b679,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
46329e1a-68ad-42d7-81a0-1cf4cdefdddf,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
2334a428-a7c1-44e3-bce6-120060ec8229,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
9271e098-54b0-435b-883d-9ec1f9f915d7,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
4a3b54a9-fbaf-42c7-ac9e-398195ddb14d,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
330a2fd7-ddd4-4345-8396-652f8494dc00,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
d21a1ce2-8a33-4a74-bea9-74ae2b66881a,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
c48243e8-85ff-4ee9-8524-24c979e38087,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
2c354a13-31b8-4a88-bd2c-0a2838b177d2,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
411e23af-6b42-4100-841c-687f33c6e91e,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
5e34b241-c2c6-4779-acb8-16db5354b2a2,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
9550a3ff-cc54-4417-b4d4-86bfe9200d46,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
81fa2add-43e8-42f5-84d4-5ba4da5bf71f,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
1f8daad4-6f22-4cce-bdd6-2dd8a0277ab5,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
10120390-1ddd-45c5-9414-74388653b63c,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
84cadfa7-de7d-4f54-9b42-a8cd311cc07e,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
0643b582-d208-4ff1-9d89-69c9bc8ad708,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
5956ff07-e223-495e-8038-0c65a4c4af68,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
550d264f-456d-409d-8b9e-cd0cfac56591,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
838a22d0-1955-4b7c-a84b-b1bad7a8fbb1,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
725109a5-0a15-4edd-b72d-efa85e516abb,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
4633980a-2a2c-4d87-a4b9-30f2a9cf681e,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
443aa807-3568-4e43-84a7-83d514481516,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
db7919fd-ca94-46cf-bd9c-3619be13cf8c,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
211740ac-3070-4968-96ee-62eee72b8d70,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
8200ba0e-2029-4df2-bd69-d4e74ea7d909,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
74e2fd12-b5c0-49d5-bca3-afa2dae1f788,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
65adad8a-b896-4ec8-ba38-26db244908d0,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
4128184d-e602-4bb4-b7dc-1b2bece77aeb,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
aab2c4cb-708c-45bd-8863-ad9021b23ff2,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
d150ea60-18d5-4ccc-af50-7a00c44f11da,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
6147ae47-551b-4a62-828c-1f27882b353f,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
b62213fb-bfa6-4f95-8639-1ed656a25523,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
4c1b758d-2d08-4342-9750-fb86f5fb80b6,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
14ceec93-cf83-44fc-ad5b-e348439a2e02,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
414930ba-767c-462c-a23b-498c19429c7c,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
469ef034-e23c-45b4-807c-6bd246446d5a,L2,Item
95b5a52e-7a08-4550-9d65-8103b9001c20,L1,Root
