id,tier,type
00000000-0000-0000-0000-000000000000,L2,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
82f963e6-20f1-40cc-ba66-7f5143514dd8,L2,Root
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
37f8428f-76c5-45ee-b97c-eba569f0a485,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
d0ce184d-7203-4606-8eda-64f970e281f8,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
fd58c067-8f75-46ca-822f-470a47d05013,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
21be83e4-df35-49a5-be2e-a6756edbd310,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
d6402e2c-bf1a-443a-88b0-567ae87e2d5a,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
852ab22a-be3c-4a54-93a7-7167af7e33df,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
4a9deba3-91fc-46f6-bcc4-d46ab4f72c35,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
0f844d69-c8c5-40e5-ad93-823a894b74fe,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
b8b7667d-0ecd-4016-89d3-e80e47dbd1e2,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
ff3bc0e9-da59-42a9-b882-8ced569ce518,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
850baf99-8815-4fd2-b828-dcb6462827db,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
8a14179f-aae7-42da-b376-26d69b54939a,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
b8a25130-2ab4-4a02-a8de-f4e5fde244b2,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
db7cb675-93a3-4c2e-b68a-6a038e028726,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
9db99082-3c84-4e55-be89-f596ccdf36b0,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
e303ee42-65a7-41d7-b186-ee1ecc3620f3,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
f2588381-96a0-43c3-ba81-f7301206fc33,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
5b3d21e3-d04a-4dfb-97ef-81ea67f0d92d,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
b0da122f-26e0-45c3-898a-531c66cbf8e0,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
1b817931-9bd5-4b47-a457-47f404ff4853,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
bb46e829-6106-43cb-846c-f91cab195453,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
30168cd8-e846-4ac7-bf0c-70c34ea30974,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
24c7d23f-ef2d-4f2e-8bf8-436bd65a720d,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
a61b2daf-94a0-441b-95c9-2f10142e7ce6,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
13415933-8578-4a01-b462-a4849ec15770,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
f5fba37f-9a82-440b-b7aa-7769d85d8a63,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
aebee5d7-f640-4fa8-8016-5b8552f74da1,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
3836b37f-4cba-4d84-999e-0c0a14e93de1,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
79366527-af9a-4821-98fd-f262a97a9e29,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
74e2701a-d4c0-43fa-a153-28d69966d7f9,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
09ca7cff-4365-4b03-a4c8-e7c38fbaac70,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
8ca07c96-66e7-424e-9c0f-a0903c9b12c6,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
ed107b5a-e1c8-4359-b036-0b520b739032,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
f2b38487-b6e1-4886-a065-8737f4c13cdd,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
1c2886ae-3aa4-402f-9c69-3b24c5a591f6,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
8e08cfc7-a0f5-4e63-bb34-7bf32a552260,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
87a9cc74-0d78-4368-8d3d-b85131bf5dd1,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
2ff80de7-576b-4ab0-aa64-14739bcdc69f,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
54282132-162a-4ff9-a9d2-69589de85677,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
d6ab21a7-5de4-4677-bef5-2110f8396e86,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
8b513f61-72d5-44d1-8616-142326ea4dca,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
bd79c7e6-e050-4861-807b-cff4b5ecc5e8,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
592a5f57-93d0-4fdf-b1f5-894bad20834a,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
