id,tier,type
00000000-0000-0000-0000-000000000000,L3,Root
00000000-0000-0000-0000-000000000000,L3,Root
cb2f17af-36c8-4e87-821f-ba59beda5199,L3,Root
cb2f17af-36c8-4e87-821f-ba59beda5199,L3,Root
951044da-15ab-4e4b-80b9-5060ba928b41,L3,Item
26b9990a-09c6-4031-9cab-ed5b75d3d456,L3,Item
07c6b3ba-6e66-418d-949b-ac730dd33934,L3,Item
202ffa93-1a9a-4196-b586-f383645097cf,L3,Item
4b73c49d-d2d3-4feb-8562-e2be78320d94,L3,Item
de2a580f-d2d8-475b-9dd7-7e222b7a57ae,L3,Item
778a69d2-f25c-4015-b345-f64d3d607baa,L3,Item
80d6fa84-6a9d-42b2-952e-97b3fd21e168,L3,Item
bff51869-4061-4753-a281-dcd8e99d16a3,L3,Item
03516ec9-e299-451d-a6fc-2e779989d025,L3,Item
c43371b4-cd66-4267-95b2-8e86b2b005b9,L3,Item
96a90f98-c427-4360-98f7-cf8edc156a91,L3,Item
37485a4f-6ecb-4c10-86f6-685e3904a776,L3,Item
b1d4bb8b-a614-468c-a0c7-f131e657784a,L3,Item
7d4e4d5c-3430-4e38-a02d-6d86bdbe7696,L3,Item
060d1127-bd57-44dc-b264-b7411d49a8aa,L3,Item
22d61b82-976f-462f-9d42-80ba30cb34c5,L3,Item
4ca319a1-fc29-4552-8168-d05b9b5d2e65,L3,Item
f738f7e5-0d7d-4064-b3f4-58cc2bcb6fd7,L3,Item
bf81707f-0481-4954-ac5a-96d309d7cad2,L3,Item
6fecfeb9-7c82-4427-aad5-14ec80e9bce5,L3,Item
e069cf40-7377-4247-9fe4-c93a8eab9876,L3,Item
4013a110-ec24-436d-bc6d-28571b9f71e9,L3,Item
07b6d094-bf3a-4de1-885a-f15d4f60b206,L3,Item
3d7982a3-ea47-474d-b45a-13a38ee294e5,L3,Item
de2fe6e2-9d68-4966-99b1-3688af68f8f6,L3,Item
7eae52f7-17e2-4b58-9b53-1981e667c64d,L3,Item
1a0d2386-d909-4a4e-ba57-24d5d9fd17e6,L3,Item
5c355bd9-1323-4b53-adb9-a5deedba8448,L3,Item
b5d3aa96-d4a0-47a0-b972-a03b5a8d2665,L3,Item
