id,tier,type
00000000-0000-0000-0000-000000000000,L2,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L2,Root
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
3d6688b5-5867-43d0-8e97-821c6573b548,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
e27f4bb5-c2a1-49f4-b251-e070e695f5b9,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
0cb0b19b-28e9-4775-8d21-90cb3792e7c2,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
38e44e7f-1e6b-48a2-bc4c-74f798d84966,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
139b2c11-51f9-41cf-a5ee-05b343657d1c,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
866f04b6-d50a-4eb6-a74c-c60ea0fdf8c3,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
901b5d11-0710-4a7a-a032-7481176b9fce,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
95de68b3-4ba4-4dbb-8c5a-83cb07f575b0,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
25a1bc12-6c19-4537-b329-57840532f9e5,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
dc706ef8-e00a-42f1-a385-5bdf2bfec5c6,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
05f22e4b-0d20-4baf-afa0-3a53edb4d804,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
b5e10095-7198-47c2-9a9b-794bed5e10f3,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
c2995d79-3d48-4246-9f7e-9c658a2525a8,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
f57d0326-16c7-4afc-bd2e-d6c636b78099,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
21557c76-7d28-4f29-b058-0bd88970e6e5,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
2e110cdc-b228-419f-a431-6c15c73e1395,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
aa550feb-142f-4aaa-9803-ca159430e3b0,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
403f9727-deca-44ae-98bf-51febfb72ec8,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
5e70e6fc-4348-4330-b964-75081a323a39,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
4b3063a6-daa6-4203-bf55-58ea8e2b1328,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
aecd9a03-f05b-4cd9-aecb-5087c6c78387,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
3c458b8b-bba4-47c8-8383-c140ff10b227,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
74ff193c-1213-4749-99c0-13f17dd6ffb2,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
275d020b-f10a-4b06-aa95-02f03465aab7,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
74eed430-6c34-469c-bca2-2844ae8e4fe1,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
66c31fa1-d23e-4559-b5ea-c2a1f111b8db,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
0660033a-6388-4c1a-8428-c0b8c108f8eb,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
729b437d-b2c1-4cfa-b90b-c16279b1a281,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
5e4c8cba-c16e-4195-b30e-65bd1d444288,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
303f391f-b1ed-4ce9-82f3-fb935b698cd1,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
47e23491-31f5-44bc-b3fb-7d2ae45573bd,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
0f34ef41-6586-48e2-b586-10221b15381e,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
ce6d05a9-bd28-4a10-af55-bfb1a7de16a7,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
580f2e41-e68e-4667-87c4-f804e5928567,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
a1694559-a989-46c2-aa78-35600c9e8b48,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
c0408ad0-70c2-4a64-ad9a-aade10f1ac75,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
2cd6a481-771e-4bef-889d-9d9c4121766e,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
fcff2c57-1bd7-4eca-bcbb-ea381a24d50e,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
d782cb55-2a0d-4639-85c4-62d9243d2ffa,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
d7f815c1-ee25-4706-8c08-1201aca441ba,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
b69006a1-8de8-41cd-bc49-a1eca1ceb443,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
815f72a9-8dab-40e8-9c33-8dc8a066b679,L2,Item
2e2c2c38-3b95-43a1-8933-c72a824f0f55,L1,Root
09501627-181c-4236-8fcf-9aa9b7091508,L2,Item
