id,tier,type
00000000-0000-0000-0000-000000000000,L2,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
82f963e6-20f1-40cc-ba66-7f5143514dd8,L2,Root
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
bc2762bc-5e81-45c0-8c94-18fc94195d20,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
f78c85b8-1e95-4220-8343-71008e814292,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
2ef75d76-b035-4d76-88cf-98005bd9a90b,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
2f405332-fa34-4d07-a7b8-65b5b425030c,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
a512ac19-e6c5-4861-8694-23ff93dafcba,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
2c861e47-4583-4eee-8d69-e9c7d7763ac7,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
7102225c-df38-41af-97ff-411364ba5a89,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
5c03e57c-4a82-413b-b226-7fcd9d033d4f,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
3745ad9c-17fd-4903-ab9b-8a38a9543c8a,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
07af2d21-6012-40b5-96fe-2f99deb46b7e,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
1cec9422-e8fc-4327-ae58-9ab153a5542d,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
64d63e76-17e4-4471-acf4-17a63f849503,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
5838630b-5a91-433e-af65-938f562ba8be,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
46cf3f54-09bc-4de8-96c2-669b6398106e,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
968f4c0d-87f9-4f46-930a-88e04b88f432,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
f5e3f810-c2e2-4213-86cb-6268ed1252b6,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
c04ed8c5-fe7d-40a4-8d9e-ffd5be0135be,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
ffc7585c-24fb-400f-8ac9-458ab866d756,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
86e6d099-cf2e-4718-a6bb-2282dcd1486e,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
d532868e-f41f-4d8f-8ff7-4449698703cc,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
9160a633-c0ed-440d-9260-4f6d6367afbd,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
f8f723c7-6703-4f93-9a34-4761ba1c34a2,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
1f65ccd4-c4f8-4937-aa6c-2943b444a42d,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
dc618525-9c01-42fd-b8a9-81a12d9fd198,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
75e6b681-4b6c-46f1-82b0-0d2d54334f86,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
14ec3f1e-d8c0-4fdd-a210-6c936584c517,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
0b0f7ba9-55cb-4597-8cf2-30ac7ca4a589,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
7ad1fe9a-83a9-4ea2-bf43-50a2b02db3bb,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
188bcded-3237-4184-b06c-a859991d3617,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
fbca6afc-722a-49f0-a39f-a2d13fb09868,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
659a5a60-5ee4-45d1-9761-6ca7de96508d,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
4e94e787-c974-4dca-a4bc-0fde4c1a9dbe,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
8767ee9c-8146-49dc-bc4c-ed3f30ed5f0e,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
aee4b2ed-78a6-4634-a236-347949be3355,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
8d76e146-3b0e-4b76-bca1-6031487017a6,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
2fb8d11b-b8e6-4463-8860-3dd8cd34a972,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
2b7ce559-c3af-4a08-8fb6-3751857babe8,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
99e46cf9-af13-4326-abfc-5da82355fca2,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
3609b0d7-b1b7-4925-9674-8fbf1ceec38e,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
c04f3269-6eff-41f2-a2f4-d765b943b999,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
8c6eba2c-3ec1-4a89-b7f3-608797b4baec,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
73740d54-06f7-4bb4-92bd-ad3c727eef30,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
4eb2faee-a550-4281-ad5c-bc5458110e68,L2,Item
82f963e6-20f1-40cc-ba66-7f5143514dd8,L1,Root
