id,tier,type,root
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
d7847f8b-7d91-44de-924e-3fa69c1e62ef,L3,Root,d7847f8b-7d91-44de-924e-3fa69c1e62ef
d7847f8b-7d91-44de-924e-3fa69c1e62ef,L3,Root,d7847f8b-7d91-44de-924e-3fa69c1e62ef
6f1226dd-a989-4efa-85f4-0b329a5c9696,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
a8a48af0-a2ca-4c72-a439-5a082569473f,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
fd06aaf6-eb27-4406-8bf4-6dc1c31d2170,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
9c17af8c-44e7-4957-83af-6e7f802c8244,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
87337d64-b880-4e2a-af4e-23d750110558,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
dc921ffc-a639-4bf0-be44-a090fa5775ba,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
9823bc66-45ed-4ccc-a6f9-e5642ff9403b,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
238b6ce0-24a5-4d01-a279-1d5600cdf8c6,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
0894a069-1821-4ddc-af7b-b91aea2ac2f9,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
8935d881-67af-4075-a367-74f344c0307a,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
c31966db-c5bb-4793-b23e-7f5c396565ee,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
65c2d60e-997c-4821-98ca-8b6f13051a60,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
47d93e0e-4c7d-43eb-a190-75d6e25c24e8,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
4ee32786-1c7f-4c2b-ae12-44ef0c161917,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
ddb0b0fe-069d-4bd0-bc66-8c73d13e6f59,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
977e329d-8709-4016-a36f-ce3a60c8727e,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
ee48cb4d-3a3d-4ad3-8d0b-a803c01b3a5a,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
fca25441-ef77-4058-9421-d567995e53d6,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
380e4542-0bf8-4051-acba-e43178b2910e,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
32864746-e657-4505-8aa6-285bca2d3c5a,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
307fc446-a1dc-4c87-9990-514f2123150e,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
148d357b-f389-42f1-b018-05b2d976a588,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
02d33ae4-0e43-4565-9011-83ebd4ee7d36,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
09e587f5-29f4-459a-84ac-5398098c778c,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
4c19455a-36a9-497c-a216-2b35c30096a3,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
8b67af0a-2f35-450e-b207-535e6ecc503b,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
c44198d1-1d19-4470-a93c-5bfda82c3e3a,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
bb59717b-6280-467b-972e-76c5816dbd31,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
cea09e39-9266-441c-ad77-0ba2131e4558,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
4937242a-de39-489e-9030-025ef57d6ca8,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
f33fb880-482a-4afa-8b19-2a5ecf20ca48,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
70e6ff2f-6630-4700-9c5e-cde42349d696,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
50d87479-6a7d-4f1e-9f5a-5d2bc6fd1446,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
6d7a9b30-b008-40c6-899d-7712b961f78e,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
97045578-e777-4201-b75c-8df6e1f5fae6,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
e4f59a36-19db-4abe-9023-7330415ab432,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
8f06e243-4b47-49a0-bc98-8fcf570a5934,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
f7e22986-249e-45b9-a20c-98663c3d15b8,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
4b032a68-735d-489e-a4eb-58bf6af839dc,L3,Item,d7847f8b-7d91-44de-924e-3fa69c1e62ef
