id,tier,type
00000000-0000-0000-0000-000000000000,L3,Root
00000000-0000-0000-0000-000000000000,L3,Root
799ee75b-e3c5-4fd3-ba4b-19c30e0c9e9f,L3,Root
799ee75b-e3c5-4fd3-ba4b-19c30e0c9e9f,L3,Root
549d553c-130d-4c88-8372-c9409088fc6e,L3,Item
c9d6ef10-ad3f-4398-98a7-86fed38e765c,L3,Item
62a4932f-3a08-47a1-962a-918b3c396626,L3,Item
e4da19da-6863-4fe0-b058-ef8a2ddfe7b6,L3,Item
a8da687f-54b6-4761-ae1a-60893a1df718,L3,Item
a2d18d48-9cc6-4c34-8c69-f305112c8554,L3,Item
e2540ba4-4758-44a6-9d2d-56f0db1643c5,L3,Item
14aff99d-97d8-4775-aa3e-7a9bd6426b90,L3,Item
37d6b7df-7f03-4964-a934-973ab99b762f,L3,Item
42889e39-986f-404f-9e0f-8c449fe31e5d,L3,Item
1dc7f898-a040-47b5-815a-4441d9cd9e47,L3,Item
e769387f-5432-4fa6-9da2-79f1238de7ab,L3,Item
7ee62c80-c3c2-49c4-8fba-790928efb7cf,L3,Item
1d472a3e-5d26-45f4-a6b8-30f8f391d335,L3,Item
428e0c8e-33cb-4139-8a52-9adf5dd1e300,L3,Item
790fd1a8-506a-451a-8b02-04ccf456a08a,L3,Item
46119c81-e46e-4a0f-8f72-186929be8838,L3,Item
ca2f1051-c419-462a-9486-c6a7d44c7cc8,L3,Item
13edc5d0-dda3-45bf-9d5a-0ff1a431e2d9,L3,Item
fa5cf55c-9214-4782-b3e2-bd222d8e06cc,L3,Item
177d299b-25f5-4df1-b7b6-a9428230a63a,L3,Item
35de947c-8e26-47d7-aa30-b8a17172591d,L3,Item
b6b89ca1-eaf1-43dd-a158-8f99eda6f966,L3,Item
82fb6a28-4c40-4913-b39b-c79013d29e62,L3,Item
9c47039c-2644-4132-a7dd-56580d35b049,L3,Item
f407a883-d6c8-48f5-a5cc-4729b2aee83b,L3,Item
5e7103b9-2906-4107-9749-feab78a3082e,L3,Item
7828480f-341d-4d95-a295-2d508013b843,L3,Item
ee7ef6dc-7ebc-4d05-9ea3-f2332bb41140,L3,Item
ce63c450-4a57-4760-9bbe-da829316cef5,L3,Item
