id,tier,type
00000000-0000-0000-0000-000000000000,L2,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
ea881f62-34e1-4709-8670-525f6cd281ed,L2,Root
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
e5861fd4-a90b-4775-b730-f0e5daa4980d,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
1e135d40-fb37-4370-b45e-696a5c744466,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
65af33c0-2da3-4b17-8a2a-6fc89372ed20,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
70921af7-c0a8-44a9-993b-d7dba6af820c,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
f55b4473-f490-4aed-8beb-a418baa89385,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
df2c9b98-5df9-420e-a3f1-a789d53546fe,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
eb534b7a-ad76-4d2c-bc49-8d219fa5c58d,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
111c5493-1ba2-48db-83c4-fa0d12f27ea7,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
ba627ce5-91fb-4d8f-9eca-d4634849b06a,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
486bea7f-bfc5-4ff9-81d9-9db760185bd0,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
c9cb110d-b55c-431b-9e2f-ca6c09fdf7fb,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
38d74074-381d-4d1b-89cf-53dfe0c446fc,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
bac188c3-d036-448f-b05f-977c3e4eae71,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
9c7d3a6f-8d9d-418a-ab51-9a136020d51f,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
4094962a-975a-40b3-b04d-500cd0a07492,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
02edecda-81d9-4a8d-a8de-4eef6da1b244,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
934cc1d0-3d78-4702-b545-b482a2f0c14d,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
b363aa4e-bc07-4d03-bd21-e238865f4e20,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
361e673c-4cc7-4224-8c3a-a701cca3a06c,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
226bf065-5e1e-410b-8fc2-e12f5c985f39,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
06091891-4948-43bf-ba81-fff9af282749,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
b59a31dd-0959-4fda-ba19-9fac408ecd8f,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
10ecc3d0-ca94-473a-a90f-9f586a1c9efc,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
bfcf9f3b-6e9d-440d-9122-cc93a2c52f22,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
57fc310e-aa8b-4a91-9368-f1f265990129,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
9a90c222-905d-4d71-be68-9ef18cc28dd1,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
ab445f63-e8c2-4866-9271-0089f450155e,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
b2fd61cf-2e90-41e4-9006-4b4d6c0f6c53,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
bce445de-2383-4738-a09d-69fa9de3b34f,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
48bd9a5a-8450-4717-ae46-bc565a692e4c,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
c12559c4-afa3-4c2b-9497-72a7f23eef4c,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
e1ebde8a-c2c8-4dad-a376-4f5083496035,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
b435d788-6844-4e30-a436-94a2a19e4bf1,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
823aea3d-9b67-4fe8-903a-74e4933c3270,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
3380a21e-961c-4fb2-8d6e-89facfc74de4,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
af23474f-9e09-4308-822f-4e65eb765c06,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
b536b8df-565e-46d0-910c-3d59d945c121,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
fe5d2a97-c255-4616-80a2-e6f0abdbe266,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
4b5d41ba-fb9c-4275-ba66-91e3a1139216,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
07134a26-5573-49bd-a60b-bb41ea65a95e,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
8d18daf2-8a5f-463a-88c7-6dce8345bcf2,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
ddf09b5d-af10-434f-bc40-ea44cb540228,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
2d7acf8b-98ed-4b57-89fe-84545fafb0ac,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
e15328f4-3bd0-44f2-b39b-350de473579f,L3,Item
ea881f62-34e1-4709-8670-525f6cd281ed,L1,Root
01919f1c-cd8d-48c1-87e0-6417f929fce1,L3,Item
