id,tier,type
00000000-0000-0000-0000-000000000000,L2,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
97c6fa79-c0af-4a20-960a-32c7e7bca176,L2,Root
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
fe34cf0e-cc0f-4b84-9d37-cb6b5b25d003,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
1570b618-73f6-4729-9c73-516566771adf,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
e138b986-a2b4-4b2b-83a4-a510f27b1c88,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
5eaf66c6-63f0-428a-a72d-2e3e388182d7,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
7dffa04e-4960-422c-82b8-15335b2c0fb1,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
6bcd4c6a-8d80-454f-83d5-81de3df4edcd,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
c242e926-5710-4e52-a8ae-071cd7e7c67d,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
82ca8a4e-e329-4410-8d8d-24cf9609a69c,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
62b0ff5f-0e79-4ecc-b29d-2bc0c60a7c0a,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
aba05359-712b-4aef-b2c8-6d3f5caeee40,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
e2844eb7-64c7-4009-a6e7-487b3be93758,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
4565f42c-8de5-4203-860f-e2c05ac015a3,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
8dc1b414-a968-402f-90ac-00b18d86cd32,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
fadeccb4-cbc4-46fa-babd-8d36f53762ce,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
3a2b812d-1d4e-4585-a256-de3c1aed09d6,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
07988c7a-b7c4-45aa-85da-32ec99ad74aa,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
472f67ed-bb5b-46c9-b89a-7fdd190790c4,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
c77ee19a-7f74-482e-ae94-b53d31654715,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
5c9b9009-bda4-4256-825e-b97fc3cd0961,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
ef184766-e40c-4861-a089-233dfb4bc23d,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
0d53ae9c-ea45-4f45-91cd-efae765ec9b4,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
8c244637-8d0c-41f2-a915-25fa3b3bf9e9,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
bb962dc3-4a61-4387-896c-75520b2316dc,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
29a9d2bb-c906-4693-8cc2-9fdcdeaa9b27,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
5484368c-2b8a-453a-80d4-10c3c0956a72,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
26fb0641-9326-47b4-b0e6-0da83f43a59f,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
42f38344-f561-48e9-823f-8ab06d8537de,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
014cd623-bb37-4bac-9b5c-b50a890fc8fe,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
2ed11ee1-8e23-4ca1-b573-3d49b05e7167,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
81ef2076-3cc2-4bf2-802b-6dec6dea36db,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
3f6d5248-0bc9-416f-b768-5bf9a402e402,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
f5e42f0f-69e2-41a3-92ce-3d4aab8f022f,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
7db3fad0-c81a-4c93-9ef2-63482add8826,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
4b5db3a2-8ec7-462e-b55e-429e49cedd8b,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
57cdf4ba-7dbf-4aaa-b5ce-50abc33a54b4,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
98a8c405-5bfe-41a8-bde2-ce949efebe8d,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
497f2fd6-8d59-434c-b31a-fec97f79587e,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
c1b07110-0bc7-4bb8-8def-93be5274ad8e,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
e37be752-2386-4165-9394-f472b77c5dcb,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
1f112a6f-8fc0-4c94-bea4-aa69c0a7f762,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
7420bce6-e79e-4cee-aaa4-c13bb7468351,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
5b16e977-1bf4-40c9-9ec3-390a22136543,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
4649182a-5601-4a5a-9366-0ceff5341379,L2,Item
