id,tier,type
00000000-0000-0000-0000-000000000000,L2,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L2,Root
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
a8d39652-5f0a-4bf3-b24e-81829476ecb0,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
ef4a8ab5-1d4e-4ccd-aec9-3ecd7c340a44,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
d2b72e51-5cd0-4d06-b27a-22537286b058,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
1aa9c6db-37c1-491a-9b6f-c142e1772461,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
c95b4ee4-a959-48a2-a627-1ec06252013a,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
842426a6-447c-456d-bfd2-e233a436bc2e,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
d939bbb4-e2ac-40e2-8863-32726f4864fc,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
d00ddea3-d176-4e5b-9a27-cdc23fd190f0,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
88aab862-582a-43b7-82a6-760546fdc004,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
f1be5507-c2c3-45be-a7ef-0adff9a8bc7f,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
4a942100-1807-44c7-b884-a2941aa6117b,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
9d67eabc-47ad-48c9-ac3b-226e814a3d14,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
fbd40f63-9de3-4b46-942e-afa85e25b43b,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
0824ab8f-ddc8-47f0-b01a-f1eb7854ddfe,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
9855276d-d816-46f3-a8db-232d92c4311c,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
3d5b8267-7f6b-46d7-9014-71b7cfbcff2c,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
d2e3fca7-a98e-4c9d-a08c-661fe73c81a3,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
5ffa6b6e-daa0-40f4-8fa8-a638aea19027,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
5f9536a4-e682-4611-b51d-993b21b82baf,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
cce435f8-652e-4e3f-937a-0ac7f29109c4,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
b680f3c2-8900-4411-8d1a-c6286e2cfd64,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
f3ebeb7c-5fd2-4cae-bf04-70968b878321,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
2140613d-266a-483c-a4ec-e6968a827cd8,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
e503b374-a809-4de7-b5db-c32ced510539,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
c72182f5-c7fe-4adb-9f3c-a48b7146fd2b,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
d158e7a4-bcf9-405f-8dc9-f2e6c4ee477e,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
e3017e90-4b02-4ec1-9148-8ad99904fa9c,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
dab3ee0a-1dce-4086-a0eb-456a90247f4c,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
47da2916-fde8-4579-9462-1aad1b686e50,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
656fea1b-a612-466e-95d9-55f7dc27fbb6,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
23b9112b-8eb2-4756-920f-c0bacf331825,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
c910c1f0-0bca-437d-af2c-77802db13c6f,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
ca0a8586-12fd-43d3-aaa3-7c83aca7c0fa,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
8acd388d-cccd-451c-909b-71a7f29db2d9,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
b24825f7-cdcd-413c-8773-7561636db72b,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
59e81058-aabe-4518-a837-35a314c2634c,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
6519b0ad-ee5e-402b-a499-3790bd37b072,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
9c8eb0eb-3d14-4d7e-8c21-28c446256007,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
40db9aed-c715-4308-8555-9f84dd46ceeb,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
30e80fc6-defd-4ae1-90b9-01b0d3ec6fcb,L2,Item
