id,tier,type
00000000-0000-0000-0000-000000000000,L2,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
97c6fa79-c0af-4a20-960a-32c7e7bca176,L2,Root
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
c2df1c11-3be0-4b1f-8ad7-cbd06b22d1cf,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
0f52a1b4-add0-46bc-97c3-fc9fdfdd90ea,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
5ae5a657-c9a0-455e-9a33-8a1f8e88ec26,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
11cdd80b-1b67-4a30-b3a0-4cf33be3a28a,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
341c1df4-3ad6-4cb2-b064-b5262ce37387,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
f5a3d275-5fd7-4ba4-a79d-310baf1c7045,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
50fb8f06-6b97-4683-8562-ea85b2346b66,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
6bdca70d-3721-4af1-8fdd-7545d45134a2,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
f6a1aeba-3f7b-4414-9ced-6a605637abef,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
593ebfaa-2e88-4cbd-9197-cb4ce7259fcb,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
905b2539-9f00-4135-8dcc-0229a2d9a2f6,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
fad90207-f465-43fc-8105-235143822bb3,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
5c3d22a8-989c-4350-8458-1a071bd7b5b4,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
2d590059-07bf-4588-8197-03932065940c,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
64fc7d77-299d-44c0-b419-c642df42f1ec,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
09070b43-194d-42c5-8609-a20172e1486c,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
0e7a4662-6cd5-4654-a2d7-7377a03c0652,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
0743397b-b1fc-4753-a37d-077a154e5a7f,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
25c2d6ae-51cd-4eb7-9052-385e2593553e,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
48a5db71-9fb5-470d-bccc-6fd60e29147d,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
d8904939-1aff-4ad5-99a0-a0729b9f5f66,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
bbf57648-fabf-4d13-8748-12a0b6a852e8,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
6c59f9b3-570f-4440-9b97-9b7c0304ed62,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
e52d2f23-3d67-4366-a23e-fce270c14337,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
8ce744d8-010c-4b4a-bbf8-fc2cf6e1004c,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
7a6670bf-0282-422d-bd34-840f016f89eb,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
2cd45fd6-a54d-4243-a160-6b5b0f5fc014,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
0755fdf2-3214-4f00-8e05-d33361c85835,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
3c0cbab6-977b-4f38-b559-fcea63feef57,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
8e208e56-5415-4b17-9bde-fb20be04e883,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
371d6749-ca43-455f-8f99-e56b9b77e5f3,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
dbe04b48-d319-4b42-8631-4b759af4ca09,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
f33b359b-19bd-49cc-82e0-cc6c7e82aec6,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
4d6bb5b9-5c6d-4719-9eac-ec9ca34c6b3d,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
9438a4ca-e23c-4a5b-9a62-00dcca04a663,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
4839eac9-a408-4203-9cd0-1fd70c4fde69,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
f05c75d2-683c-421b-92fb-c3649c1a8fd4,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
273b794b-ac36-45e0-911f-2a88d61b03df,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
d76e2dac-826d-4814-9292-8d811a662fcb,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
8d1d7d5c-901e-4196-85c2-3b70ec608f98,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
07763163-985c-4f91-9fea-83b96b9e4a23,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
f891d6b1-00e2-4b96-97a5-40671df90437,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
e28243f6-d8bb-41cb-b795-cc49be62dc76,L2,Item
97c6fa79-c0af-4a20-960a-32c7e7bca176,L1,Root
