id,tier,type,root
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
a6161308-ec7a-4b60-8aeb-8b6b2774868a,L3,Root,a6161308-ec7a-4b60-8aeb-8b6b2774868a
a6161308-ec7a-4b60-8aeb-8b6b2774868a,L3,Root,a6161308-ec7a-4b60-8aeb-8b6b2774868a
fed52b69-04f7-4007-a6bf-3114109cbc81,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
77aa54a6-9adf-453d-8681-dfeabd436b25,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
887a1604-1f92-4869-ba02-6ec855e1bab9,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
3a314918-8359-4047-84e9-19148480cee8,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
6043a8c8-72c1-4d76-a301-406855682f47,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
a13766a9-e287-4739-9ece-210173e2cdb5,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
4c57cf8b-f306-4fe7-bfe6-c1c18fa26c75,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
4fe7d7c4-e74c-4233-b134-37b6efc03114,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
2e9a9b62-84f1-4fd2-9b85-f7a8810304f1,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
e7ff711a-8749-4645-9ea5-eddfd6fb9cdb,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
d8d6ee22-5e2b-43fc-9c85-0e77097bcd2c,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
c83db47a-51a7-4f85-b092-cafd11985e3a,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
8403a0cf-5fc5-4f43-b2fc-bff246692b4b,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
00647b7d-9580-4fd5-b1e8-021a60e7de5c,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
a384b284-379b-4315-858e-ac85b6bfd932,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
e6f0a91f-e77f-4e21-81ca-79a47ba12ce6,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
d0fffd9b-c4bc-43c2-9149-252602987430,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
66b699c0-04cf-4403-99ed-1dbcf545f81a,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
d8a601ed-bb07-4638-bf20-f14d3bf2945c,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
0f208317-31c7-4cbf-9201-48022dc599c6,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
26450be4-537b-4dbd-a37e-a7320f28fb2f,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
a9fe082d-76b3-4175-89ae-77737186652e,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
9512c29a-3ba0-4fd9-adf9-03a36eaa61f6,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
3c3055f6-25f2-4106-a212-c171452f743c,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
b04e8185-c23b-4556-8c8c-04d97ae4a916,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
43effd2b-3520-4fbd-ac42-e1e050e5d086,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
bf66d95b-5e2e-4c8c-b7a7-d6bf56c3b6cb,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
95501f98-2a63-431a-801c-7947b04b2462,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
f57d7b24-bebf-4f78-bb1a-b58db0659d04,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
0372a588-10f2-464e-b7ed-2ccc4d36222c,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
d01de6a7-7f03-469c-b033-e9ef86a65185,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
cbc0e1e0-0785-4ae3-a9a0-2388ad517801,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
400c71bd-243d-4f48-adee-872839bab23e,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
19249789-9b9d-4173-a801-541c03755d5f,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
264708ea-2fdb-47f5-acd5-b6765a3aa25c,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
9875b8b9-3de9-4e0c-afa4-c725d2f8be3f,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
4c9c2d5f-8882-4e80-97d3-5c6f5e2244a7,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
08000fca-52e6-42e7-be63-63e27a0f966f,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
797c4b1c-acbd-443d-9eba-ea0f82348c99,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
