id,tier,type
00000000-0000-0000-0000-000000000000,L2,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L2,Root
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
a3ff07f9-9d96-4cbf-9ac7-ca2798b14948,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
9a7408b5-7277-4ff6-bab2-3f51390285c9,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
c3965c94-c5a4-4b81-95e1-afdbe09675c1,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
de0664f5-a447-4547-bbd1-9ade1b092a47,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
23006028-d894-47ad-abbb-2a92e3d814a1,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
b65cbd75-65fc-4dbd-9efd-4b97ee5550e2,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
13151f86-b298-4463-bc5f-97e14e71332f,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
c605b981-976f-43ba-a07c-fdc28aab5408,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
672d7d61-8795-4b26-a0f9-81bdf1c92749,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
b918ef6b-f6ab-4c55-9619-48a9c31911e3,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
94ad1ab3-6d5f-4f84-abaf-9e75b60f0158,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
11ec2830-76ed-4298-b0f7-7b2b91f86db9,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
33084e79-9262-4e35-a34c-31d7da9ba558,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
acdabc62-5051-4493-9461-b326a8e09ab2,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
bc5ff028-2233-49aa-8961-165d22b5391a,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
c6d00a49-22d1-40e8-be41-6af2f5fd6199,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
33b189de-5805-4448-a612-0b61f8fa1fc5,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
390e559e-eb72-4505-90e8-87875be8108b,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
f2fa63c3-c3d0-4562-9ca6-0a4ff5f18439,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
a8f3a33b-c0ff-4e3b-95f9-91d1290b28f1,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
29c2b730-9173-4389-8294-b1ca16d5c061,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
889039ec-6460-4a95-b850-eb3d9cbdbdd8,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
dd0bd631-df08-427c-8c2e-0de2b55d25f4,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
429c6ebe-41e3-4377-b307-d70d36a19c10,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
be1ed191-f47b-4e90-ac15-b750a60e3014,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
0592669f-0b76-4b95-bbb5-6b2b936209e2,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
63c8f04b-0413-4f05-911b-380609714580,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
293512b8-4a65-4899-871a-bcbbefb8041e,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
54e00243-06a1-47a1-8e35-bdebacb586bf,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
d1951446-f092-4823-8749-554d206721fb,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
306fd0d9-7fbf-47ba-be8c-f8558ac0f494,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
0296e13c-6ed5-489d-8a1b-53843f51b28b,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
13664503-0ca3-4da1-b84c-9f77ef54ce87,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
5c558b67-3144-4ede-995c-76fc12880360,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
88a09857-bd30-4709-81ca-0ac45be73320,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
193a12fa-009e-453e-ad76-98848c0f8327,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
4ee91074-6524-40c8-aa3f-2d5340098537,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
bcb6e430-7c1e-49f6-b993-ad6a7a3971d2,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
15241af3-1265-49c0-9f62-62e2b5e5a90e,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
c2491c1b-e734-4271-92e7-7459b33e4b9b,L2,Item
6cf770bd-3e15-4a6b-86a4-55a8ccb5a7a3,L1,Root
