id,tier,type
00000000-0000-0000-0000-000000000000,L2,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
11a451bc-ea43-4125-9965-3b355dddc631,L2,Root
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
f9510951-d11f-4a00-ae15-672ab4a62cac,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
c9cc5ba7-f1c0-461b-a8ca-047437f2fa37,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
fbd40ad3-07d8-47e4-b822-efb7edad5ba7,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
76ce3f4c-4d23-4438-9617-56cbb33c83cd,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
b57120b8-1e4b-41ec-bfe7-db5d76241ad2,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
6b7f7fa9-5923-473f-b027-c032d50c750f,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
79648594-610f-41c3-902b-03d4c4a219a4,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
86b1a0b0-2631-4c9c-b105-a9477cf8eeed,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
6b8fa8c2-6f39-4695-a974-ab92bde62ed1,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
2c90e9f0-14ff-49fd-95e0-df4904ef39eb,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
77d3fb1d-4143-4942-b65c-b29da6a97b81,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
fcdb1392-cdda-4f57-b5a2-f7a56c700897,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
cd3ee6fb-b994-484b-8e8a-84519f107fd0,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
6edee2ba-f20d-4844-923e-b48c74a10f2d,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
003386c5-bbe9-4aea-844d-50a2e8c81a0e,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
db8131d8-6dd4-4174-a6a1-9d513a7df0e1,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
b8f8d4bf-2c43-4858-8fb9-241860beee5f,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
03e752aa-6ca7-4375-a503-eb7ba012c828,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
037154e7-4fd2-454a-a761-48afaa1353da,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
ad07a1c2-4105-45a5-83cb-22795471c039,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
ca151d6a-2985-4414-8ec8-8874a3acfb02,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
44787ddb-9670-4f6c-b22c-889fb7b16866,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
80a9b5f4-8fef-4baa-b9db-3a938da4089b,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
5780f570-b245-4f62-8c11-7125938327f8,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
5abae631-5a90-46b6-8be6-48b0328d46bf,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
4012beb6-a246-4a50-a704-86080f68d9a4,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
1a40c89b-736e-489c-a0fd-0e74a5a9e05d,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
9ef94a52-8ade-409c-b6d2-2349542db9db,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
5da51343-5e65-475f-9215-f9f7a4e488d7,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
f24568c9-8e51-4849-982f-c15ff735e528,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
68228405-6b7a-4cea-ab19-76382574b581,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
c3dfeadc-b6b5-4a93-b13d-ae04017c10f1,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
30b9678b-79da-4c03-8265-8426d585ef9c,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
409d9100-f589-4bc2-9d25-3023849e50d8,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
4e0a53d8-deaf-4c03-8ecb-a3c6b21b91b8,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
71aa8797-6c9b-4fa5-b947-de46076592ea,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
85d635ef-d2a4-4dc8-b7c8-27a911f02142,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
6ba9f883-8e20-4107-bc1a-dfc8ed921c61,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
c44cd394-0909-4e2a-9868-cb4a58b903d7,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
365b4b06-df6d-437d-b734-9fa213ff1f6a,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
77c73e5c-72ca-4e94-927f-3b1dac02a76f,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
84a72c24-c68b-40df-a03c-4d7421115712,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
09099a08-9a85-4387-a228-cea159ebf59d,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
a9c50c4c-5fd7-4f6a-b996-6af7a3ecb9fa,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
e67cb61a-bb18-4e28-b737-5ca6919fc0df,L2,Item
11a451bc-ea43-4125-9965-3b355dddc631,L1,Root
