id,tier,type,root
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
a6161308-ec7a-4b60-8aeb-8b6b2774868a,L3,Root,a6161308-ec7a-4b60-8aeb-8b6b2774868a
a6161308-ec7a-4b60-8aeb-8b6b2774868a,L3,Root,a6161308-ec7a-4b60-8aeb-8b6b2774868a
a07ea1e7-0638-4f9a-bc19-fc5f00e76a42,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
a5d97a16-f60b-41e1-99ff-57a028bcdfb8,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
01daa9e6-69aa-4c6f-8f30-b6b503a73276,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
25a59fab-afbf-46bb-8201-4fe60cc5e17b,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
a2d74500-72b7-425b-bfab-63e60210dfc9,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
163c142c-3249-4b7d-8e64-6be2cb39be1b,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
10add8bf-527d-4640-97bd-226c81288f2c,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
93e264b7-c1a3-4b65-8dec-e83489b37341,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
e848a2dd-eace-4f89-b966-d7c5cfc63021,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
444eacc0-3990-4e74-abc0-c5bb5ef6a351,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
b7658758-de7a-4747-b3e2-437598c68fff,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
c28342ce-46ff-405a-854a-636c2f55d33c,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
89778deb-dd85-4b42-9040-472406058021,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
be1b34ab-0939-4dd7-b6f1-2fff2c2f6ef4,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
473361f7-52fb-4d51-bd68-acf1484eec58,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
cd71280a-515b-4cba-add3-f88fa096f30d,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
abdb9a2b-c754-4877-a7e6-1fa4d9103f3d,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
52a5f205-dbaf-45b7-91ac-1666f0c6c2f9,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
54999b81-3904-4c3f-b51d-6acf40e910ea,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
37002969-789d-4611-bfa3-8aa9d98f64ac,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
a92b074f-18e4-408c-af44-08523633d209,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
dc0dbf1d-571c-4e4b-97a0-b588d6b614b1,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
46622c67-c660-4a6f-8495-01b031a68db8,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
9d2f5f10-6479-4cea-bf6b-96de83b1bde6,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
c4613f04-9bd6-443a-bfca-1b726dd1f096,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
da9ea895-719a-4fed-9a9b-2ff8411902bb,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
364aa0d0-9e1b-424e-b974-331214e5a119,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
ef25bb8f-8dcc-484c-bcc3-041aa0c03637,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
383e18c6-5f4c-4642-916e-e58255418d96,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
0d77e3ee-04dc-4008-9c1a-db2dfc00b2fc,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
58f82e87-6cc3-412c-aa8f-3b578bfb3079,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
ddff3df9-104a-49f2-aa82-79104fbbfdef,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
84f43bed-7ac7-4a7f-96dd-bd6c3c5e8921,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
85387893-e736-4131-b993-bcdcf14e6466,L3,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
3a54c364-2024-4895-8dfb-e8b36bbc6930,L1,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
9c42e96b-63e7-45a9-9265-819bbbc611fc,L1,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
945938ac-576f-4bf1-9943-80e3a0811ee5,L1,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
fdc9b691-6767-4583-a64e-0331caa5ea52,L1,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
656ae0b3-ceb2-42f0-8522-1c0edd99ab38,L1,Item,a6161308-ec7a-4b60-8aeb-8b6b2774868a
