id,tier,type
00000000-0000-0000-0000-000000000000,L3,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L3,Root
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
cba8125c-72c2-4f58-9eea-fe0164c1d7af,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
877ab66b-be31-4228-98ff-2a882e44c551,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
46ba0f92-66fe-45a3-99ed-23623c8f94e0,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
0f7c1597-47eb-48c9-92eb-397aa2a5cc54,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
f0d09b99-cb28-40da-9d4a-a5530b003ea4,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
cef868de-44b4-4ed1-88d9-ed8f436efe56,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
f481af5a-6cfa-4dae-8e1a-01a86f940e49,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
a393de56-bb65-446f-86b1-f9e744b32e69,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
a1dec1e1-6ef0-4b38-acb6-84477f6d274c,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
836bb197-0ee1-4de7-8e0c-c735c2d0e3e2,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
65c4ddeb-45df-43eb-a6e6-290e05775bb6,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
4a35d8e3-25bf-4366-b7ee-d2bf8299c52c,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
66f9d278-09ca-4297-a98a-15440fc8ea60,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
2d3335da-c15d-4688-8538-a9f83697880c,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
158a5447-46c1-4331-9867-a5e510a65704,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
6055cda7-d905-45bc-a99a-45ae91c8e115,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
edcc4a2a-efba-4f1b-84a4-fb19f76776ad,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
3677287b-e717-4134-a3bb-f5f8c8e7952b,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
8a2b76c1-c39f-4f47-98a1-4d60dbda431b,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
2b1784bd-6011-48ba-8943-0de36e797177,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
be5adffd-7945-4f10-b47c-d7f11d011e67,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
843fd15e-2c0e-4fb1-a8a4-ea0662ae21bf,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
e9237e63-2230-46d1-ab00-3c10716b7fa3,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
6f723566-190c-49a5-b2ec-b833e15e5480,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
d685cc71-2cc0-4b47-b33a-7d366fab8daa,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
735daf6a-fd37-41cc-b335-7846df93e485,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
20c44562-f59a-41f7-8ef0-78ea77ffe3d9,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
5dea2f18-ecfe-4ca4-ad3b-50655141fefa,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
1e99a86c-1241-416b-9d94-bffa834be0aa,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
6b8c8cc3-d2d3-4c66-a6a1-de398f43acb2,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
adc8197d-62e6-48e8-965f-51ca11ec0fcd,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
335d9372-d945-43cf-af8d-23980a12085c,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
77ae0ea0-9b74-4021-bd53-f6399d6aa723,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
b6f3d827-13fa-416b-bf85-17f3ccc321bf,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
edab9867-af42-4d07-b1df-b6b9e42a7466,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
cff7cc33-eb88-4202-a894-31f720a09583,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
fe58df59-5fb5-427e-9f58-e35f26a1caac,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
eccc4562-9672-490a-80b6-c445d24a71ab,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
351e5112-c10a-4e01-9d63-8105ebfb8919,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
555b65fb-2695-4298-a9b0-f11a16d47919,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
7a6efef4-bf7f-4989-8772-92fdf5bb9023,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
89c1784f-dc8d-4be9-a342-9b523f33ee21,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
059f3d51-fee7-4e2c-bcdc-b6091706b7ea,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
273fd46b-9ec9-472d-8f9d-9b59292fabd2,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
08253a7d-7438-4734-8aac-dfd1f6a5a68f,L3,Item
c0d5f98c-5ee8-40ab-a6aa-2f9a12ff5546,L1,Root
