id,tier,type,root
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
78f972e4-4886-437a-9b6c-ee0c836a9ee0,L3,Root,78f972e4-4886-437a-9b6c-ee0c836a9ee0
78f972e4-4886-437a-9b6c-ee0c836a9ee0,L3,Root,78f972e4-4886-437a-9b6c-ee0c836a9ee0
316fad75-484e-4757-87fb-df8c48837e1f,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
6133a273-22e4-4393-a098-0879bebb393b,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
3dce7dcc-4cba-4d59-9acb-278c5bf754c1,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
0a5b998a-6dcc-4802-a95e-e4227e70c81c,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
31370eab-8736-4df8-83c0-a8b11b74d393,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
23450fe1-8e21-4541-97b7-5d58dc3f4b80,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
0be3a895-ae63-4b9e-8966-2df8a0282018,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
2a599a89-e7d6-4ad3-96dc-037910ce1fcb,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
5947c55e-e5d0-40f4-a2d4-5dd81a976388,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
3b91b4a9-6940-49ef-b06e-2d9cecf1131f,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
96b5aa01-5acf-4e19-acc7-10d2142481b4,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
c8652992-c6b3-48e5-b764-87ab2ded0f80,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
30077dfe-9a40-4993-94e5-f440097e7180,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
c0e3db23-e56a-49fc-8888-7cd1ca38b558,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
69304523-27ae-43b1-8bba-e3e39f27206d,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
af8de4dd-92e5-41a7-82ba-66600e96df5b,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
3e4cd015-a4e5-4fd7-b200-849eb226f921,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
4050821c-f27a-427e-ac84-6caf32b24e32,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
f568a787-d645-4615-8375-5aec65ae3f1d,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
65079d01-2f5e-4154-9c26-96f3881cdcd1,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
8811c173-8dfa-45c4-8bc4-c872306c6707,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
11595af0-be4f-4b3e-860d-2854b6c3aebc,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
614f7198-43e4-4351-be43-ca41f5967eb9,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
bd78c660-9e47-448e-8a20-4d7f5732240d,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
4b144c5e-53a2-4dac-9c76-e9cff79b7ea8,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
f7c40b2f-182f-42a9-a661-09d0939e6663,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
41c2778a-002e-4f40-96f7-c596151cdd93,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
3285494e-9af2-47be-ad9a-92026ad76c22,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
9ba53188-a2d5-4e82-8752-d317bdcbb773,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
f59fc957-135b-4c1d-ac4c-d539d2c862fd,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
69574ac8-9bd2-4d0d-9c97-12c262e3ee8b,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
6acfa176-e44a-452e-b106-8453ac59d7cf,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
eda41345-333e-4f34-aaae-7e92326b40bb,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
e7b3ab72-575e-4fab-ab9a-abe48f63d90b,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
562c0556-ae64-4311-bd48-13879b2c1efd,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
560fc265-1206-4374-804d-02871202e411,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
dfcf1266-d2b1-4d48-b0e0-af1da0acd265,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
92b889d3-d35f-4dc0-ac09-f143fbe57b35,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
7c9a0793-7896-4df2-92e0-17358c700128,L3,Item,78f972e4-4886-437a-9b6c-ee0c836a9ee0
