id,tier,type,root
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
7d193224-08fd-4eb7-a038-b2999ecefbb8,L3,Root,7d193224-08fd-4eb7-a038-b2999ecefbb8
7d193224-08fd-4eb7-a038-b2999ecefbb8,L3,Root,7d193224-08fd-4eb7-a038-b2999ecefbb8
cec6eac4-302d-4c87-9cc3-e4e0a48d4a3a,L3,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
38095955-e002-42ee-8d59-60c76fcfef29,L3,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
34200d08-41db-418d-a36b-e7767b8c19e5,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
976cd368-feed-4483-85a5-1b6e60893122,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
6ded36a1-ad06-41ba-b756-cc77c92606d4,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
62735883-bfcd-4e72-ad5f-6cfb6d21c512,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
06ff48c7-7211-41e8-abfe-8266c118842d,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
289adeab-0bf0-4cb0-ac8b-63a79ee9d8ee,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
89093726-5a80-457a-81b5-cb6424a919c4,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
43b91d43-9812-44cd-a67f-acd3c6cd0704,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
e45fc2e3-066a-4b52-9397-02d166f27e41,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
3d07b5b9-4008-4eed-8a38-adf9c2ae4e8c,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
de342d8f-d0cb-4333-ad80-ea1bc3cd1059,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
1144cbff-b3cf-4b6a-8858-a764a1585105,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
f753493d-4c55-4c3c-8615-91e7875992d8,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
ec19b36e-fc92-400f-8816-acd3df7affaf,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
6610cf16-5104-4558-a1bc-3fabdc200372,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
e86493ca-e284-4b29-93dd-9566710c05cc,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
1fc68996-e8c3-4a8c-a674-120ce023bc3e,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
0915fb73-0413-40fc-bf96-61d1398d5996,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
a5d73481-a5a7-4f9d-b8eb-59c12799e751,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
df4b4fda-4ae0-47f4-9ca7-35c9e6c62801,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
ebaa3004-5c60-4ac8-93cf-5eb39d92453f,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
152dbefc-2133-403f-9c4e-2bc3e6cb3c10,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
c408c00c-b599-4511-acd3-c55c9f79b24c,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
bef7c8eb-0a20-4358-b5c3-da17f56709ae,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
dd3793cb-f1c8-4ef1-8ac2-f6439166cc7f,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
e51b51ba-d778-420f-b0ef-e5fcdac05d35,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
91c4d65e-b736-4d99-91aa-686c9a5d3d02,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
e221c7b3-0245-4f19-a282-bc542d4d4d81,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
8ed3a572-3634-4597-a0ba-127a56e73552,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
871e6c46-7747-4a76-a4c8-349114c43718,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
4091671d-7f0b-43fc-9acb-daa7c95828cb,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
0a814978-f806-47bb-8935-2eadbf8b5c66,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
d1175119-9a51-4f9f-b468-0be9bd2300ce,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
b7d5ced3-974f-4f7f-9823-4d94526b7297,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
c38aa21d-46c1-41a7-ac36-04bb069eef1e,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
e2231893-8a9e-4d24-91ce-85149f3e3691,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
5e5a64d9-8a35-462b-a916-fb1530d77ca8,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
1334ebaf-5363-43f7-bac9-d677b6a1c20c,L1,Item,7d193224-08fd-4eb7-a038-b2999ecefbb8
