id,tier,type,root
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
9eecc039-8143-47f7-beec-06d988bbba20,L3,Root,9eecc039-8143-47f7-beec-06d988bbba20
9eecc039-8143-47f7-beec-06d988bbba20,L3,Root,9eecc039-8143-47f7-beec-06d988bbba20
7c3873e1-e877-4173-8f76-39142958654f,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
66ae7b8c-1d71-47c1-9689-332ca812e6a6,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
b7238fa1-d4f3-461e-a2c1-4b2b06e3fe30,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
ebdb2a2d-ec15-44f9-be8d-384723cdf889,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
eb299bb5-807b-4bdb-af0e-e0574ff70e49,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
796e7392-99c0-47d9-a721-725abc338708,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
c548611a-4017-4ec7-ab0f-56fbafb8200a,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
8ff92782-cc0c-4938-b1ff-53ddf671403c,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
bd120674-6b43-44a6-9c1d-77da83838ae6,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
46f4bd42-6e4a-4c4b-924f-3944909cecfa,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
ee3b393b-cd25-4452-ba53-6b73cb6f75a0,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
198659a2-e343-48e3-9e31-f3ccc639269f,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
bf41edb3-dfc1-434c-8776-bbf822919e5a,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
3548bfed-b506-4b4e-953a-20d5f642db7d,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
e9331775-7992-4720-80fb-3e1483a3fdce,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
2c2cd2c3-5a87-41df-81e8-ffc0f00ab0e1,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
15dc7d1c-64a4-4b30-9c29-a152e6942521,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
21015c51-a86f-4367-92a9-4357c94eab69,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
1e8a3332-238e-4bc0-b2a9-bc08912b0cb4,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
0794d597-15d3-4f74-a816-494b3e166bac,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
963a9d14-d7bc-47c5-8d0d-2efd602fe72d,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
f438938b-6765-4fd5-88ce-91808f85ad62,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
ceb9e8ee-d697-4029-8a08-aca002909152,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
805a6aa3-0f51-4709-af47-aa792d93ab88,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
7183f40b-afff-453d-8e79-100544d4baed,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
1775bb4f-bd97-4dd5-8bc7-7d995e88f29a,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
619dce93-3af0-467c-92a3-4e8de1843233,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
8e4e27cf-e6b7-46fa-9d2d-61609a96fd14,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
fa08d982-6926-49f5-bde0-6504344c8e70,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
7db62f06-fef8-4e2e-baa1-151d6778eb9c,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
911a4f34-fabb-4d72-af3d-4fa9d18b5251,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
92804db0-97e2-4d03-88ca-20404ec311ae,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
820e3a9d-b351-48c6-a42f-30ea2c845b5d,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
cdd1ccb9-52e0-48b3-b682-c03a754144b2,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
c7980ccb-4c0c-44b7-ad6c-80f9cc7f05eb,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
0e51df08-ba92-4eea-8c18-3cc889cd716a,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
0035e02e-a6b0-407d-bbe8-b8c0ebed1fee,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
7a896c4b-c97f-4b7f-86fb-b692a0d4fdd2,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
de5e108c-a547-49e4-9d19-91895703b858,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
6b27778d-d68d-45b5-a100-470752fd1bec,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
1a3a1ac8-1575-47fc-a3bd-39214dc112e9,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
ad5cbb59-56ee-4f85-9b77-af2f52449698,L3,Item,9eecc039-8143-47f7-beec-06d988bbba20
