id,tier,type,root
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
c4dc765f-efd1-4beb-bef0-b6e3c51fb273,L3,Root,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
c4dc765f-efd1-4beb-bef0-b6e3c51fb273,L3,Root,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
9db12666-a989-4c10-b778-f5c745900fe4,L3,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
720eec0c-fb20-40c1-ac58-1c2e049b871f,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
d2f7e4cc-6e94-4751-8b0d-7c8279af486f,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
fd6b7123-28d0-44ba-8989-be567d51c1a0,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
42684359-0439-418c-84c2-5fea8dcc8292,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
1a109224-cea2-4d91-bd5d-9fe1c5c1d9d4,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
f0f4d728-8cc7-4500-b8a1-91dc86535446,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
499faf78-82b1-4a79-9831-383c0eb9325d,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
5340696f-c6c6-4167-a6a5-4acb2a3d66fe,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
3e8eb0af-fc51-4064-8133-ca27c3a519c5,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
5a47f523-0a0f-49f2-b1c3-887e8b0a8645,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
11e36bba-c3e6-40d3-9e62-7789f3b37bb6,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
07ec6dcb-d9ce-4026-a30e-b1296d22bcee,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
2a9f4e05-7395-4aba-8cd0-3e45607afa3a,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
83ad566e-4339-4622-b6b4-749dad3e9ef4,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
5829018c-1f6f-4fb3-84cb-accca81afb70,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
921f7151-b888-42de-b370-fe53ae2bb780,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
71207791-6da4-4386-814f-c9ddb5c32f99,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
5c8a2c5f-b0b7-4e3f-9a78-75ffc10f0d2b,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
04d691b7-032b-46d4-9253-13327a4da17d,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
f157f6db-8a05-49b9-9f99-bd5603f40e52,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
ea01a00b-c8bb-4b4b-bc1c-5efa44d6c720,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
ad715d3d-3a1b-4443-a70c-f9fee58f51c0,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
001f65ca-1a56-4455-a71c-c87d251ef90a,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
3dbab998-a181-4396-9822-3c430b34b8ce,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
32a57a4c-ef75-4787-a699-de522040dafd,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
b381638e-bab2-4def-b086-0c37942725f3,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
7a48f5e2-15f4-4080-b2aa-66e3fb076e4d,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
7c25ec24-65cc-4746-a713-1c6d8d0efd26,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
e3ae014d-1f51-454a-878e-a2d72184f0c0,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
d1f933e9-ab99-4633-91ad-dce34e2bea5d,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
502fb4c8-a28c-4226-9957-d4c2fd94a8db,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
343064c6-85da-47f8-8bae-84ff72521ca5,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
5e4a4dae-1546-4cff-b447-1bf5d0988239,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
dc4f18d0-ccaf-42be-bdbf-a3e1deff30b3,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
c586e98e-a93d-43a9-a785-76cd7eaa65e8,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
c8a6d4d7-1322-47ee-8490-52f08b519fb2,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
6582cacc-7bef-448b-a21f-9f8cdf0d94fa,L1,Item,c4dc765f-efd1-4beb-bef0-b6e3c51fb273
