node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,disabled,0.009,0.000,0.000,0.000,2846.257,0.000
,,,disabled,0.009,0.000,0.000,0.000,2893.703,0.000
,,,disabled,0.010,0.000,0.000,0.000,2905.106,0.000
,,,disabled,0.008,0.000,0.000,0.000,2914.159,0.000
,,,disabled,0.014,0.000,0.000,0.000,2916.196,0.000
,,,disabled,0.012,0.000,0.000,0.000,2864.670,0.000
,,,disabled,0.009,0.000,0.000,0.000,2779.936,0.000
,,,disabled,0.009,0.000,0.000,0.000,2862.525,0.000
,,,disabled,0.008,0.000,0.000,0.000,2695.925,0.000
,,,disabled,0.008,0.000,0.000,0.000,2946.121,0.000
