         3228299 function calls (3170356 primitive calls) in 2.403 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    0.003    0.000    2.399    0.002 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:322(_execute_entries)
     1000    0.005    0.000    2.395    0.002 /home/patrickli/Space/jaseci_env/jaseci_external_tools/linked_list/main.jac:14(visit_item)
       10    0.000    0.000    2.343    0.234 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:376(spawn_call)
  1000/10    0.002    0.000    2.329    0.233 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:362(_visit_node_recursive)
     1000    0.004    0.000    2.279    0.002 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:1067(refs)
     1000    0.015    0.000    2.098    0.002 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/topo_utils.impl.jac:42(batch_load_nodes)
     2000    0.030    0.000    1.949    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:157(batch_get)
8052/1406    0.006    0.000    1.649    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:89(__call__)
8052/1406    0.009    0.000    1.645    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:84(_call_impl)
     1980    0.013    0.000    1.017    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:121(batch_get)
 8057/304    0.016    0.000    0.917    0.003 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:1876(proxy)
     3970    0.002    0.000    0.733    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/cursor.py:1288(__next__)
     3970    0.007    0.000    0.731    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/cursor.py:1258(next)
     3960    0.014    0.000    0.722    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/cursor.py:1176(_refresh)
     15/3    0.000    0.000    0.700    0.233 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/server.jac:305(_jac_walker_execute)
     15/3    0.000    0.000    0.696    0.232 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:635(spawn)
     1980    0.011    0.000    0.694    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/cursor.py:1093(_send_message)
3960/1980    0.007    0.000    0.666    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/_csot.py:118(csot_wrapper)
     1980    0.003    0.000    0.661    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/mongo_client.py:1888(_run_operation)
     1980    0.007    0.000    0.658    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/mongo_client.py:2016(_retryable_read)
