Tue Jun  9 01:23:21 2026    profiles/limit_0/trial_1/jac_server.prof

         1701495 function calls (1784411 primitive calls) in 1.481 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2010    0.001    0.000    3.087    0.002 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/network_layer.py:468(NetworkingInterface.recv_into)
        1    0.000    0.000    1.938    1.938 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/server.jac:475(_jac_walker_execute)
   1/4028    0.008    0.008    1.938    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:1964(proxy)
   1/4028    0.003    0.003    1.938    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:89(HookCaller.__call__)
   1/4028    0.004    0.004    1.938    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:84(HookCaller._call_impl)
        1    0.000    0.000    1.938    1.938 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:413(spawn)
        1    0.000    0.000    1.938    1.938 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:318(spawn_call)
        1    0.000    0.000    1.936    1.936 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel.jac:214(osp_spawn)
        1    0.006    0.006    1.847    1.847 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel.jac:163(_visit_recursive)
     4000    0.003    0.000    1.834    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
     1000    0.001    0.000    1.823    0.002 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
     1000    0.005    0.000    1.822    0.002 /home/patrickli/Space/jaseci_env/jaseci_external_tools/linked_list/main.jac:14(Traverse.visit_item)
     1000    0.003    0.000    1.710    0.002 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:918(refs)
     1000    0.005    0.000    1.040    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:56(execute_path)
     1000    0.003    0.000    0.759    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/planner.jac:136(_materialize_ids)
      999    0.007    0.000    0.754    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:201(ScaleTieredMemory.batch_get)
      3/6    0.000    0.000    0.664    0.111 <frozen importlib._bootstrap>:1349(_find_and_load)
      3/6    0.000    0.000    0.664    0.111 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      3/6    0.000    0.000    0.663    0.111 <frozen importlib._bootstrap>:911(_load_unlocked)
      2/4    0.000    0.000    0.662    0.166 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/meta_importer.py:246(JacMetaImporter.exec_module)
        2    0.000    0.000    0.661    0.331 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/compiler.jac:322(JacCompiler.get_bytecode)
      1/2    0.000    0.000    0.636    0.318 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/compiler.jac:592(JacCompiler.compile)
    17/29    0.000    0.000    0.603    0.021 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/passes/transform.jac:144(JacAnnexPass.__post_init__)
    17/29    0.000    0.000    0.603    0.021 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/passes/transform.jac:100(JacAnnexPass.__post_init__)
    17/29    0.000    0.000    0.603    0.021 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/passes/transform.jac:106(JacAnnexPass.timed_transform)
      999    0.006    0.000    0.451    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:138(MongoBackend.batch_get)
      1/2    0.000    0.000    0.388    0.194 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/compiler.jac:565(JacCompiler.parse_str)
      3/5    0.000    0.000    0.365    0.073 <string>:2(JacAnnexPass.__init__)
      1/2    0.000    0.000    0.357    0.178 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/passes/annex_pass.jac:29(JacAnnexPass.transform)
        1    0.000    0.000    0.357    0.357 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/passes/annex_pass.jac:36(JacAnnexPass._load_annexes)
        1    0.000    0.000    0.355    0.355 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/program.jac:190(JacProgram.compile)
        5    0.000    0.000    0.349    0.070 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/compiler.jac:680(JacCompiler.run_schedule)
    16/17    0.000    0.000    0.318    0.019 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/passes/uni_pass.jac:66(ASTValidationPass.__post_init__)
    16/17    0.000    0.000    0.318    0.019 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/passes/uni_pass.jac:96(ASTValidationPass.transform)
 17/25519    0.035    0.002    0.317    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/passes/uni_pass.jac:107(ASTValidationPass.traverse)
        2    0.000    0.000    0.283    0.142 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/parser/parser.jac:4388(parse)
     1998    0.001    0.000    0.280    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/cursor.py:1288(Cursor.__next__)
     1998    0.003    0.000    0.279    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/cursor.py:1258(Cursor.next)
     1998    0.006    0.000    0.275    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/cursor.py:1176(Cursor._refresh)
      999    0.005    0.000    0.262    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/cursor.py:1093(Cursor._send_message)
 999/1998    0.003    0.000    0.250    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/_csot.py:118(MongoClient.csot_wrapper)
      999    0.001    0.000    0.248    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/mongo_client.py:1888(MongoClient._run_operation)
      999    0.003    0.000    0.247    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/mongo_client.py:2016(MongoClient._retryable_read)
      999    0.002    0.000    0.237    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/mongo_client.py:1977(MongoClient._retry_internal)
      999    0.001    0.000    0.234    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/mongo_client.py:2745(_ClientConnectionRetryable.run)
      999    0.002    0.000    0.231    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/mongo_client.py:2903(_ClientConnectionRetryable._read)
