Tue May  5 23:34:00 2026    profiles/limit_100/jac_server.prof

         20803886 function calls (22020566 primitive calls) in 244.522 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
36140/36189   10.054    0.000  127.699    0.004 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/network_layer.py:468(NetworkingInterface.recv_into)
    51/78    0.001    0.000  102.630    1.316 /etc/profiles/per-user/patrickli/lib/python3.13/threading.py:984(Thread.run)
    51/78   37.237    0.730  102.628    1.316 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/periodic_executor.py:233(PeriodicExecutor._run)
17976/17978    0.068    0.000   96.556    0.005 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/network_layer.py:746(receive_message)
35932/35937   28.869    0.001   96.405    0.003 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/network_layer.py:325(receive_data)
    41/43    0.001    0.000   94.373    2.195 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/monitor.py:210(Monitor._run)
    41/43    0.001    0.000   94.357    2.194 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/monitor.py:252(Monitor._check_server)
    41/43    0.001    0.000   94.354    2.194 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/monitor.py:291(Monitor._check_once)
    41/43    0.000    0.000   94.315    2.193 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/monitor.py:352(Monitor._check_with_socket)
17852/17854    0.014    0.000   62.227    0.003 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/pool.py:445(Connection.receive_message)
      6/8    0.000    0.000   60.112    7.514 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/pool.py:330(Connection._next_reply)
       18    0.000    0.000   57.691    3.205 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/starlette/middleware/base.py:139(coro)
       18    0.001    0.000   57.044    3.169 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/starlette/middleware/base.py:101(BaseHTTPMiddleware.__call__)
       45    0.002    0.000   49.541    1.101 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/anyio/streams/memory.py:114(MemoryObjectReceiveStream.receive)
       18    0.000    0.000   49.534    2.752 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/starlette/middleware/base.py:112(call_next)
       63    0.003    0.000   49.392    0.784 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/anyio/_backends/_asyncio.py:1785(Event.wait)
       72   49.391    0.686   49.392    0.686 /etc/profiles/per-user/patrickli/lib/python3.13/asyncio/locks.py:200(Event.wait)
      198   37.688    0.190   45.211    0.228 /etc/profiles/per-user/patrickli/lib/python3.13/asyncio/tasks.py:703(sleep)
    62/64    0.000    0.000   44.482    0.695 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/monitor.py:76(target)
      404    0.005    0.000   38.589    0.096 /etc/profiles/per-user/patrickli/lib/python3.13/asyncio/base_events.py:1970(_UnixSelectorEventLoop._run_once)
    17970    0.049    0.000   37.973    0.002 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/helpers.py:41(inner)
      124    0.002    0.000   34.403    0.277 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/pool.py:338(Connection.command)
       88    0.002    0.000   34.397    0.391 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/pool.py:245(Connection._hello)
      124    0.006    0.000   34.396    0.277 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/network.py:61(command)
      620    0.001    0.000   28.964    0.047 /etc/profiles/per-user/patrickli/lib/python3.13/asyncio/events.py:87(Handle._run)
        9    0.000    0.000   28.922    3.214 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/starlette/middleware/cors.py:75(CORSMiddleware.__call__)
        9    0.002    0.000   28.908    3.212 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/jserver/jfast_api.jac:847(request_context_middleware)
        9    0.000    0.000   28.768    3.196 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/starlette/middleware/exceptions.py:47(ExceptionMiddleware.__call__)
     9/18    0.000    0.000   28.768    1.598 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/starlette/_exception_handler.py:31(wrapped_app)
        9    0.000    0.000   28.768    3.196 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/fastapi/middleware/asyncexitstack.py:15(AsyncExitStackMiddleware.__call__)
        9    0.000    0.000   28.768    3.196 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/starlette/routing.py:712(APIRouter.__call__)
        9    0.000    0.000   28.768    3.196 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/starlette/routing.py:718(APIRouter.app)
        9   21.421    2.380   28.767    3.196 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/fastapi/routing.py:104(app)
        9    0.000    0.000   28.767    3.196 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/starlette/routing.py:281(APIRoute.handle)
        9   28.766    3.196   28.766    3.196 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/fastapi/routing.py:101(app)
        9    0.000    0.000   28.122    3.125 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/uvicorn/protocols/http/h11_impl.py:401(RequestResponseCycle.run_asgi)
        9    0.000    0.000   28.122    3.125 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/uvicorn/middleware/proxy_headers.py:27(ProxyHeadersMiddleware.__call__)
        9    0.000    0.000   28.122    3.125 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/fastapi/applications.py:1131(FastAPI.__call__)
        9    0.000    0.000   28.122    3.125 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/starlette/applications.py:103(FastAPI.__call__)
        9    0.000    0.000   28.122    3.125 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/starlette/middleware/errors.py:149(ServerErrorMiddleware.__call__)
        9    0.000    0.000   28.109    3.123 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/serve.jac:104(MetricsMiddleware.dispatch)
84727/329363    0.563    0.000   27.604    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:1876(proxy)
84727/329363    0.201    0.000   26.830    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:89(HookCaller.__call__)
84727/329363    0.268    0.000   26.782    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:84(HookCaller._call_impl)
       10    0.000    0.000   24.341    2.434 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/server.jac:304(_jac_walker_execute)
       10    0.000    0.000   24.341    2.434 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:635(spawn)
       10    0.002    0.000   24.340    2.434 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:376(spawn_call)
  10/9400    0.023    0.002   23.971    0.003 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:362(_visit_node_recursive)
     9400    0.027    0.000   23.943    0.003 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:322(_execute_entries)
     9400    0.051    0.000   23.903    0.003 /home/patrickli/Space/jaseci_env/jaseci_external_tools/linked_list/main.jac:14(Traverse.visit_item)
     9400    0.039    0.000   22.704    0.002 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:1067(refs)
      8/9    0.005    0.001   21.421    2.380 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/fastapi/routing.py:320(app)
      8/9    0.000    0.000   21.414    2.379 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/fastapi/routing.py:282(run_endpoint_function)
      8/9    0.000    0.000   21.414    2.379 <string>:2(endpoint_wrapper)
      8/9    0.055    0.007   21.413    2.379 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/serve.jac:99(callback)
      8/9    0.174    0.022   21.351    2.372 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/server.impl.jac:93(ExecutionManager.spawn_walker)
     9400    0.149    0.000   20.408    0.002 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/topo_utils.impl.jac:42(batch_load_nodes)
    18800    0.301    0.000   18.732    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:157(ScaleTieredMemory.batch_get)
      405    0.002    0.000    9.618    0.024 /etc/profiles/per-user/patrickli/lib/python3.13/selectors.py:435(EpollSelector.select)
    17820    0.130    0.000    9.438    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:121(MongoBackend.batch_get)
      2/4    0.000    0.000    7.528    1.882 /etc/profiles/per-user/patrickli/lib/python3.13/threading.py:1028(Thread._bootstrap_inner)
       90    0.000    0.000    7.520    0.084 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/anyio/lowlevel.py:26(checkpoint)
       99    7.519    0.076    7.519    0.076 /etc/profiles/per-user/patrickli/lib/python3.13/asyncio/tasks.py:691(__sleep0)
       90    0.000    0.000    7.519    0.084 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/anyio/_backends/_asyncio.py:2356(checkpoint)
       45    0.000    0.000    7.352    0.163 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/starlette/middleware/base.py:132(send_no_error)
       45    0.000    0.000    7.352    0.163 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/anyio/streams/memory.py:234(MemoryObjectSendStream.send)
        9    0.000    0.000    7.346    0.816 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/starlette/responses.py:155(JSONResponse.__call__)
    18/36    0.000    0.000    7.346    0.204 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/starlette/_exception_handler.py:34(sender)
    36666    0.025    0.000    6.691    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/cursor.py:1288(Cursor.__next__)
    36666    0.070    0.000    6.667    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/cursor.py:1258(Cursor.next)
    35686    0.139    0.000    6.583    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/cursor.py:1176(Cursor._refresh)
    17876    0.115    0.000    6.299    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/cursor.py:1093(Cursor._send_message)
17894/35770    0.071    0.000    6.050    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/_csot.py:118(MongoClient.csot_wrapper)
    17876    0.026    0.000    5.965    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/mongo_client.py:1888(MongoClient._run_operation)
    17885    0.078    0.000    5.942    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/mongo_client.py:2016(MongoClient._retryable_read)
       18    0.047    0.003    5.854    0.325 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:155(ScaleTieredMemory.commit)
    17885    0.043    0.000    5.706    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/mongo_client.py:1977(MongoClient._retry_internal)
    17885    0.028    0.000    5.637    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/mongo_client.py:2745(_ClientConnectionRetryable.run)
    17885    0.055    0.000    5.574    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/mongo_client.py:2903(_ClientConnectionRetryable._read)
   103462    0.248    0.000    5.391    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:68(_compute_hash)
   121289    0.058    0.000    4.973    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:36(serialize)
121289/485083    1.427    0.000    4.915    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:49(_serialize_value)
    36683    0.054    0.000    4.740    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/redis/client.py:715(Redis.execute_command)
    36683    0.181    0.000    4.686    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/redis/client.py:718(Redis._execute_command)
        9    0.000    0.000    4.398    0.489 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:1951(clear_request_context)
        9    0.000    0.000    4.398    0.489 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/context.impl.jac:45(JScaleExecutionContext.close)
        9    0.000    0.000    4.398    0.489 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:156(ScaleTieredMemory.close)
       27    0.066    0.002    4.373    0.162 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:123(MongoBackend.sync)
    17827    0.063    0.000    4.026    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.redis.impl.jac:52(RedisBackend.put)
      1/3    0.000    0.000    4.014    1.338 /etc/profiles/per-user/patrickli/lib/python3.13/threading.py:1001(Thread._bootstrap)
    17846    0.023    0.000    3.595    0.000 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/synchronous/mongo_client.py:1922(_cmd)
