node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,,enabled,198.225,13.695,33.909,147.715,1185.950,26.917
,,,enabled,194.840,13.042,33.728,145.163,1269.470,27.104
,,,enabled,193.652,12.910,34.659,143.163,1184.364,27.956
,,,enabled,195.171,13.178,34.096,144.956,1233.428,27.444
,,,enabled,194.787,12.985,36.769,142.094,1202.023,30.100
,,,enabled,198.483,13.149,34.721,147.647,1256.084,28.028
,,,enabled,195.907,13.085,34.178,145.706,1178.543,27.475
,,,enabled,197.099,13.117,34.227,146.789,1281.595,27.495
,,,enabled,196.739,13.127,34.142,146.473,1249.492,27.472
,,,enabled,193.616,12.983,33.610,144.082,1188.492,27.077
