Wed Jun  3 04:28:47 2026    profiles/limit_1000/trial_1/jac_server.prof

         894700 function calls (990786 primitive calls) in 0.850 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       14    0.000    0.000    2.028    0.145 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/network_layer.py:468(NetworkingInterface.recv_into)
        1    0.000    0.000    1.805    1.805 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/server.jac:475(_jac_walker_execute)
   1/4040    0.007    0.007    1.805    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:1949(proxy)
   1/4040    0.003    0.003    1.805    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:89(HookCaller.__call__)
   1/4040    0.004    0.004    1.805    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:84(HookCaller._call_impl)
        1    0.000    0.000    1.805    1.805 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:413(spawn)
        1    0.000    0.000    1.805    1.805 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:318(spawn_call)
        1    0.002    0.002    1.282    1.282 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:201(ScaleTieredMemory.prefetch)
     1998    0.003    0.000    1.068    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:85(_get_field_types)
     1998    0.048    0.000    1.059    0.001 /etc/profiles/per-user/patrickli/lib/python3.13/typing.py:2415(get_type_hints)
11988/41958    0.054    0.000    0.850    0.000 /etc/profiles/per-user/patrickli/lib/python3.13/typing.py:463(_eval_type)
    11988    0.016    0.000    0.842    0.000 /etc/profiles/per-user/patrickli/lib/python3.13/typing.py:1047(ForwardRef._evaluate)
      999    0.004    0.000    0.765    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/memory_hierarchy.jac:122(_snapshot_field_hashes)
        1    0.002    0.002    0.513    0.513 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:348(ScaleTieredMemory.prefetch)
        1    0.000    0.000    0.480    0.480 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel.jac:206(osp_spawn)
      999    0.002    0.000    0.434    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:110(deserialize)
      999    0.010    0.000    0.432    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:135(_deserialize_anchor)
        1    0.005    0.005    0.383    0.383 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel.jac:160(_visit_recursive)
     4000    0.003    0.000    0.372    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
     1000    0.001    0.000    0.362    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
     1000    0.004    0.000    0.360    0.000 /home/patrickli/Space/jaseci_env/jaseci_external_tools/linked_list/main.jac:14(Traverse.visit_item)
      999    0.007    0.000    0.341    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:138(_deserialize_archetype)
     1000    0.002    0.000    0.263    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:903(refs)
     1000    0.004    0.000    0.249    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:56(execute_path)
     1000    0.005    0.000    0.190    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/planner.jac:336(_build_plan_from_path)
     3003    0.005    0.000    0.142    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:142(_compute_hash)
     3003    0.001    0.000    0.114    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:93(serialize)
5001/17005    0.032    0.000    0.114    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:114(_serialize_value)
    14000    0.045    0.000    0.113    0.000 /etc/profiles/per-user/patrickli/lib/python3.13/dis.py:705(_get_instructions_bytes)
        1    0.000    0.000    0.097    0.097 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:176(_sv_on_complete)
     2000    0.003    0.000    0.095    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/planner.jac:16(_filter_type_name)
        1    0.001    0.001    0.093    0.093 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:197(ScaleTieredMemory.commit)
    11988    0.010    0.000    0.091    0.000 /etc/profiles/per-user/patrickli/lib/python3.13/typing.py:1023(ForwardRef.__init__)
