Tue Aug 25 04:17:09 2026    /workspace/jaseci_external_tools/linked_list/profiles/policy_coaccess-pooled-N10/limit_1250/Traverse/trial_5/jac_server.prof

         1137549 function calls (1098768 primitive calls) in 0.682 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.687    0.687 /workspace/jaseci/jac/jaclang/runtimelib/server.jac:495(_jac_walker_execute)
   4032/1    0.011    0.000    0.687    0.687 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:2211(proxy)
   4031/1    0.004    0.000    0.687    0.687 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:89(__call__)
   4031/1    0.006    0.000    0.684    0.684 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:84(_call_impl)
      2/1    0.000    0.000    0.675    0.675 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:653(spawn)
     4000    0.003    0.000    0.663    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
     1000    0.001    0.000    0.649    0.001 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
     1000    0.003    0.000    0.570    0.001 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:1158(refs)
     1000    0.005    0.000    0.544    0.001 /workspace/jaseci_external_tools/linked_list/main.jac:14(visit_item)
     1000    0.006    0.000    0.543    0.001 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:212(execute_path)
        1    0.000    0.000    0.528    0.528 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:548(spawn_call)
        1    0.000    0.000    0.523    0.523 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:214(osp_spawn)
     1000    0.003    0.000    0.447    0.000 /workspace/jaseci/jac/jaclang/runtimelib/planner.jac:77(_materialize_ids)
  966/875    0.002    0.000    0.427    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:1867(parse_response)
        1    0.006    0.006    0.418    0.418 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:163(_visit_recursive)
      999    0.004    0.000    0.205    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:204(batch_get)
 1032/786    0.002    0.000    0.187    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:775(parse_response)
     3003    0.006    0.000    0.172    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:135(_compute_hash)
4071/3646    0.007    0.000    0.162    0.000 /usr/local/lib/python3.14t/json/__init__.py:185(dumps)
      999    0.002    0.000    0.147    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:103(deserialize)
      999    0.003    0.000    0.146    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:385(promote_raw)
      999    0.012    0.000    0.143    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:128(_deserialize_anchor)
 1036/823    0.002    0.000    0.136    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1328(read_response)
     3036    0.002    0.000    0.134    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:86(serialize)
15238/3102    0.032    0.000    0.132    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:107(_serialize_value)
9963/8663    0.021    0.000    0.123    0.000 /usr/local/lib/python3.14t/uuid.py:178(__init__)
