Wed Aug 26 16:51:22 2026    /workspace/jaseci_external_tools/linked_list/profiles/policy_coaccess-pooled-N10/limit_1250/Traverse/trial_6/jac_server.prof

         1137630 function calls (1097812 primitive calls) in 0.986 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4000    0.004    0.000    1.167    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
     1000    0.001    0.000    1.005    0.001 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
      2/1    0.000    0.000    0.992    0.992 /workspace/jaseci/jac/jaclang/runtimelib/server.jac:495(_jac_walker_execute)
   4032/1    0.015    0.000    0.992    0.992 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:2211(proxy)
   4031/1    0.005    0.000    0.992    0.992 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:89(__call__)
   4031/1    0.008    0.000    0.988    0.988 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:84(_call_impl)
     1000    0.007    0.000    0.985    0.001 /workspace/jaseci_external_tools/linked_list/main.jac:14(visit_item)
      2/1    0.001    0.000    0.977    0.977 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:653(spawn)
        1    0.000    0.000    0.677    0.677 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:548(spawn_call)
     1000    0.005    0.000    0.673    0.001 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:1158(refs)
        1    0.000    0.000    0.669    0.669 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:214(osp_spawn)
  966/582    0.003    0.000    0.658    0.001 /usr/local/lib/python3.14t/site-packages/redis/client.py:1867(parse_response)
     1000    0.008    0.000    0.649    0.001 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:212(execute_path)
        1    0.008    0.008    0.541    0.541 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:163(_visit_recursive)
     1000    0.004    0.000    0.512    0.001 /workspace/jaseci/jac/jaclang/runtimelib/planner.jac:77(_materialize_ids)
      999    0.005    0.000    0.487    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:204(batch_get)
 1032/560    0.004    0.000    0.280    0.001 /usr/local/lib/python3.14t/site-packages/redis/client.py:775(parse_response)
 1036/683    0.003    0.000    0.249    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1328(read_response)
 1036/734    0.002    0.000    0.229    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:12(read_response)
     3003    0.008    0.000    0.222    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:135(_compute_hash)
      999    0.003    0.000    0.208    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:103(deserialize)
      999    0.004    0.000    0.207    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:385(promote_raw)
      999    0.018    0.000    0.204    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:128(_deserialize_anchor)
4078/3506    0.010    0.000    0.199    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/encoders.py:14(encode)
16195/15853    0.016    0.000    0.187    0.000 /usr/local/lib/python3.14t/uuid.py:331(__str__)
1036/1001    0.001    0.000    0.179    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:133(purge)
     3036    0.002    0.000    0.173    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:86(serialize)
15238/3102    0.042    0.000    0.170    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:107(_serialize_value)
4071/3778    0.010    0.000    0.164    0.000 /usr/local/lib/python3.14t/json/__init__.py:185(dumps)
 1032/958    0.002    0.000    0.152    0.000 /workspace/jaseci/jac/jaclang/runtimelib/utils.jac:53(storage_key)
 1036/582    0.008    0.000    0.133    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:146(pack)
        1    0.000    0.000    0.127    0.127 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:176(_sv_on_complete)
        1    0.001    0.001    0.123    0.123 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:201(commit)
9963/8378    0.031    0.000    0.122    0.000 /usr/local/lib/python3.14t/uuid.py:178(__init__)
  968/344    0.004    0.000    0.108    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:146(find_raw)
  966/883    0.004    0.000    0.108    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:384(store_raw)
4071/3861    0.029    0.000    0.098    0.000 /usr/local/lib/python3.14t/json/encoder.py:207(iterencode)
 1034/628    0.001    0.000    0.090    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:1165(__next__)
     3036    0.031    0.000    0.083    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:116(_serialize_attrs)
178610/176312    0.038    0.000    0.082    0.000 {built-in method builtins.isinstance}
     4000    0.003    0.000    0.081    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:86(_current_scope)
     4030    0.004    0.000    0.072    0.000 /usr/local/lib/python3.14t/inspect.py:3247(bind_partial)
     1000    0.004    0.000    0.072    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:244(plan_chain_ordered)
     4030    0.035    0.000    0.068    0.000 /usr/local/lib/python3.14t/inspect.py:3098(_bind)
     1000    0.059    0.000    0.065    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/topology_index.impl.jac:66(resolve_chain_ordered)
        1    0.001    0.001    0.058    0.058 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:144(sync)
    37/36    0.000    0.000    0.057    0.002 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1940(_cmd)
    37/35    0.000    0.000    0.056    0.002 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1906(_run_operation)
    74/35    0.000    0.000    0.055    0.002 /usr/local/lib/python3.14t/site-packages/pymongo/_csot.py:118(csot_wrapper)
    37/35    0.000    0.000    0.053    0.002 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:2040(_retryable_read)
  210/194    0.001    0.000    0.052    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/network_layer.py:468(recv_into)
4071/3793    0.010    0.000    0.052    0.000 /usr/local/lib/python3.14t/json/encoder.py:185(encode)
     1000    0.004    0.000    0.050    0.000 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:1144(log_report)
       66    0.001    0.000    0.049    0.001 /usr/local/lib/python3.14t/site-packages/redis/client.py:720(_execute_command)
       33    0.000    0.000    0.046    0.001 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:138(batch_get)
    37/35    0.000    0.000    0.046    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:3022(_read)
 1034/643    0.002    0.000    0.043    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:1135(next)
    72/70    0.000    0.000    0.041    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:1053(_refresh)
    37/35    0.000    0.000    0.040    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:970(_send_message)
    37/35    0.000    0.000    0.039    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1995(_retry_internal)
  999/952    0.002    0.000    0.039    0.000 /usr/local/lib/python3.14t/site-packages/redis/commands/core.py:2683(setex)
    37/35    0.000    0.000    0.038    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:2793(run)
