Wed Aug 26 16:44:49 2026    /workspace/jaseci_external_tools/linked_list/profiles/policy_markov1-pooled-N10/limit_1250/Traverse/trial_5/jac_server.prof

         1137606 function calls (1102240 primitive calls) in 0.821 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4000    0.003    0.000    1.005    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
     1000    0.001    0.000    0.837    0.001 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
      2/1    0.000    0.000    0.826    0.826 /workspace/jaseci/jac/jaclang/runtimelib/server.jac:495(_jac_walker_execute)
   4032/1    0.012    0.000    0.826    0.826 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:2211(proxy)
   4031/1    0.004    0.000    0.826    0.826 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:89(__call__)
   4031/1    0.006    0.000    0.823    0.823 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:84(_call_impl)
      2/1    0.000    0.000    0.813    0.813 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:653(spawn)
        1    0.000    0.000    0.812    0.812 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:548(spawn_call)
        1    0.000    0.000    0.812    0.812 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:214(osp_spawn)
        1    0.006    0.006    0.691    0.691 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:163(_visit_recursive)
     1000    0.004    0.000    0.689    0.001 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:1158(refs)
     1000    0.006    0.000    0.688    0.001 /workspace/jaseci_external_tools/linked_list/main.jac:14(visit_item)
     1000    0.007    0.000    0.670    0.001 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:212(execute_path)
     1000    0.003    0.000    0.553    0.001 /workspace/jaseci/jac/jaclang/runtimelib/planner.jac:77(_materialize_ids)
      999    0.004    0.000    0.251    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:204(batch_get)
1036/1027    0.006    0.000    0.202    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:146(pack)
     3003    0.007    0.000    0.194    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:135(_compute_hash)
       66    0.000    0.000    0.163    0.002 /usr/local/lib/python3.14t/site-packages/redis/client.py:717(execute_command)
      999    0.003    0.000    0.161    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:385(promote_raw)
      999    0.002    0.000    0.161    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:103(deserialize)
      999    0.014    0.000    0.157    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:128(_deserialize_anchor)
     6000    0.004    0.000    0.155    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:158(_sv_tag_of)
     3036    0.002    0.000    0.151    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:86(serialize)
15238/3102    0.037    0.000    0.150    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:107(_serialize_value)
5190/5189    0.002    0.000    0.149    0.000 {method 'join' of 'bytes' objects}
       33    0.000    0.000    0.147    0.004 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.redis.impl.jac:80(batch_get)
       33    0.000    0.000    0.147    0.004 /usr/local/lib/python3.14t/site-packages/redis/commands/core.py:2224(mget)
       68    0.000    0.000    0.135    0.002 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1313(can_read)
    68/67    0.000    0.000    0.134    0.002 /usr/local/lib/python3.14t/site-packages/redis/connection.py:975(connect)
        1    0.000    0.000    0.121    0.121 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:176(_sv_on_complete)
        1    0.001    0.001    0.117    0.117 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:201(commit)
 1036/834    0.001    0.000    0.100    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1328(read_response)
     1032    0.002    0.000    0.098    0.000 /workspace/jaseci/jac/jaclang/runtimelib/utils.jac:53(storage_key)
  148/142    0.001    0.000    0.082    0.001 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:48(_read_from_socket)
     4071    0.009    0.000    0.080    0.000 /usr/local/lib/python3.14t/json/__init__.py:185(dumps)
  136/109    0.000    0.000    0.079    0.001 /usr/local/lib/python3.14t/site-packages/redis/retry.py:101(call_with_retry)
     3036    0.027    0.000    0.073    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:116(_serialize_attrs)
9963/8795    0.024    0.000    0.064    0.000 /usr/local/lib/python3.14t/uuid.py:178(__init__)
       68    0.000    0.000    0.062    0.001 /usr/local/lib/python3.14t/site-packages/redis/_parsers/base.py:159(can_read)
       68    0.000    0.000    0.062    0.001 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:95(can_read)
     1000    0.003    0.000    0.060    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:244(plan_chain_ordered)
        1    0.001    0.001    0.059    0.059 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:144(sync)
    37/36    0.000    0.000    0.058    0.002 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/pool.py:450(receive_message)
    68/67    0.000    0.000    0.055    0.001 /usr/local/lib/python3.14t/site-packages/redis/connection.py:980(<lambda>)
    68/67    0.000    0.000    0.055    0.001 /usr/local/lib/python3.14t/site-packages/redis/connection.py:986(connect_check_health)
      2/1    0.000    0.000    0.055    0.055 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1066(on_connect_check_health)
     1000    0.050    0.000    0.054    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/topology_index.impl.jac:66(resolve_chain_ordered)
        3    0.000    0.000    0.051    0.017 /usr/local/lib/python3.14t/_weakrefset.py:15(_remove)
    37/34    0.000    0.000    0.051    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:3022(_read)
    37/34    0.000    0.000    0.050    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1995(_retry_internal)
  966/940    0.002    0.000    0.047    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:384(store_raw)
      966    0.001    0.000    0.046    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:1867(parse_response)
     4071    0.008    0.000    0.046    0.000 /usr/local/lib/python3.14t/json/encoder.py:185(encode)
     4030    0.003    0.000    0.045    0.000 /usr/local/lib/python3.14t/inspect.py:3247(bind_partial)
 1032/828    0.002    0.000    0.043    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:775(parse_response)
  968/366    0.003    0.000    0.042    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:146(find_raw)
16195/15980    0.013    0.000    0.042    0.000 /usr/local/lib/python3.14t/uuid.py:331(__str__)
     4030    0.027    0.000    0.042    0.000 /usr/local/lib/python3.14t/inspect.py:3098(_bind)
