Mon Aug 31 01:54:03 2026    /home/patrickli/Space/jaseci_env/jaseci_external_tools/linked_list/profiles/policy_none/limit_0/Traverse/trial_1/jac_server.prof

         12078193 function calls (11694677 primitive calls) in 17.568 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   17.620   17.620 /home/patrickli/Space/jaseci/jac/jaclang/runtime/runtime.jac:714(spawn)
        1    0.000    0.000   17.619   17.619 /home/patrickli/Space/jaseci/jac/jaclang/runtime/runtime.jac:599(spawn_call)
        1    0.000    0.000   14.453   14.453 /home/patrickli/Space/jaseci/jac/jaclang/runtime/osp_kernel.jac:159(osp_spawn)
        1    0.017    0.017   14.387   14.387 /home/patrickli/Space/jaseci/jac/jaclang/runtime/osp_kernel.jac:112(_visit_recursive)
     4000    0.008    0.000   14.345    0.004 /home/patrickli/Space/jaseci/jac/jaclang/runtime/osp_kernel.jac:84(run_typed)
     1000    0.002    0.000   14.319    0.014 /home/patrickli/Space/jaseci/jac/jaclang/runtime/osp_kernel_sv.jac:66(call)
     1000    0.022    0.000   14.315    0.014 /home/patrickli/Space/jaseci_env/jaseci_external_tools/linked_list/main.jac:14(visit_item)
     1000    0.017    0.000   14.169    0.014 /home/patrickli/Space/jaseci/jac/jaclang/runtime/runtime.jac:461(refs)
     1000    0.004    0.000   14.136    0.014 /home/patrickli/Space/jaseci/jac/jaclang/runtime/runtime.jac:483(_run)
     1000    0.015    0.000   14.130    0.014 /home/patrickli/Space/jaseci/jac/jaclang/data/impl/query_planner.impl.jac:37(resolve_query)
     2000    0.031    0.000   12.752    0.006 /home/patrickli/Space/jaseci/jac/jaclang/data/impl/store.impl.jac:171(_run)
     2000    0.156    0.000   12.715    0.006 /home/patrickli/Space/jaseci/jac/jaclang/data/impl/pgwire.impl.jac:45(run)
    11998    0.048    0.000   11.948    0.001 /home/patrickli/Space/jaseci/jac/jaclang/data/impl/pgwire.impl.jac:52(_read_message)
    19995    0.058    0.000   11.882    0.001 /home/patrickli/Space/jaseci/jac/jaclang/data/impl/pgwire.impl.jac:53(_read_exact)
    19995   11.809    0.001   11.809    0.001 {method 'recv' of '_socket.socket' objects}
     1000    0.010    0.000    7.058    0.007 /home/patrickli/Space/jaseci/jac/jaclang/data/query_planner.jac:366(_materialize_ids)
      999    0.031    0.000    7.043    0.007 /home/patrickli/Space/jaseci/jac/jaclang/server/impl/session.impl.jac:181(batch_get)
     1000    0.016    0.000    6.984    0.007 /home/patrickli/Space/jaseci/jac/jaclang/data/query_planner.jac:325(_resolve_pairs)
     1000    0.030    0.000    6.912    0.007 /home/patrickli/Space/jaseci/jac/jaclang/data/impl/query_planner.impl.jac:29(_sql_pairs)
     1000    0.005    0.000    6.702    0.007 /home/patrickli/Space/jaseci/jac/jaclang/data/impl/store.impl.jac:157(rows)
      999    0.055    0.000    6.244    0.006 /home/patrickli/Space/jaseci/jac/jaclang/data/impl/store.impl.jac:151(load_full)
     13/1    0.000    0.000    3.166    3.166 <frozen importlib._bootstrap>:1360(_find_and_load)
     13/1    0.000    0.000    3.166    3.166 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
     13/1    0.000    0.000    3.165    3.165 <frozen importlib._bootstrap>:914(_load_unlocked)
     12/1    0.000    0.000    3.165    3.165 /home/patrickli/Space/jaseci/jac/jaclang/meta_importer.py:329(exec_module)
     11/1    0.001    0.000    3.165    3.165 /home/patrickli/Space/jaseci/jac/jaclang/compiler/driver/compiler.jac:74(get_bytecode)
     11/1    0.000    0.000    3.161    3.161 /home/patrickli/Space/jaseci/jac/jaclang/compiler/driver/compiler.jac:720(compile)
     11/1    0.001    0.000    3.161    3.161 /home/patrickli/Space/jaseci/jac/jaclang/compiler/driver/compiler.jac:812(_compile_once)
     33/3    0.007    0.000    3.134    1.045 /home/patrickli/Space/jaseci/jac/jaclang/compiler/driver/compiler.jac:934(run_schedule)
   165/15    0.001    0.000    3.128    0.209 /home/patrickli/Space/jaseci/jac/jaclang/compiler/driver/pass_driver.jac:69(run_pass)
   165/15    0.000    0.000    3.128    0.209 /home/patrickli/Space/jaseci/jac/jaclang/compiler/passes/transform.jac:171(__post_init__)
   165/15    0.000    0.000    3.128    0.209 /home/patrickli/Space/jaseci/jac/jaclang/compiler/passes/transform.jac:145(__post_init__)
   165/15    0.000    0.000    3.128    0.209 /home/patrickli/Space/jaseci/jac/jaclang/compiler/passes/transform.jac:136(timed_transform)
  462/104    0.001    0.000    3.095    0.030 /home/patrickli/Space/jaseci/jac/jaclang/compiler/frontend/unitree.jac:1150(resolve_relative_path)
     11/1    0.000    0.000    3.094    3.094 /home/patrickli/Space/jaseci/jac/jaclang/compiler/placement/placement_solver.jac:626(__post_init__)
     11/1    0.000    0.000    3.094    3.094 /home/patrickli/Space/jaseci/jac/jaclang/compiler/placement/placement_solver.jac:629(transform)
     11/1    0.000    0.000    3.094    3.094 /home/patrickli/Space/jaseci/jac/jaclang/compiler/placement/placement_solver.jac:321(solve_module_placement)
