Wed Aug 26 16:53:08 2026    /workspace/jaseci_external_tools/linked_list/profiles/policy_none/limit_0/Traverse/trial_8/jac_server.prof

         1968765 function calls (1927671 primitive calls) in 2.243 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4000    0.005    0.000    3.065    0.001 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
      2/1    0.000    0.000    2.249    2.249 /workspace/jaseci/jac/jaclang/runtimelib/server.jac:495(_jac_walker_execute)
   4032/1    0.012    0.000    2.249    2.249 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:2211(proxy)
   4031/1    0.004    0.000    2.249    2.249 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:89(__call__)
   4031/1    0.007    0.000    2.243    2.243 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:84(_call_impl)
      2/1    0.000    0.000    2.243    2.243 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:653(spawn)
     1000    0.001    0.000    2.080    0.002 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
     1000    0.006    0.000    2.076    0.002 /workspace/jaseci_external_tools/linked_list/main.jac:14(visit_item)
        1    0.000    0.000    2.066    2.066 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:548(spawn_call)
        1    0.000    0.000    2.057    2.057 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:214(osp_spawn)
     1000    0.004    0.000    1.938    0.002 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:1158(refs)
     1000    0.007    0.000    1.919    0.002 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:212(execute_path)
     1000    0.004    0.000    1.783    0.002 /workspace/jaseci/jac/jaclang/runtimelib/planner.jac:77(_materialize_ids)
      999    0.012    0.000    1.773    0.002 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:204(batch_get)
        1    0.004    0.004    0.948    0.948 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:163(_visit_recursive)
      999    0.009    0.000    0.929    0.001 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:138(batch_get)
     1998    0.004    0.000    0.707    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:717(execute_command)
     1998    0.014    0.000    0.703    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:720(_execute_command)
     1998    0.002    0.000    0.683    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:1165(__next__)
     1998    0.005    0.000    0.682    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:1135(next)
     1998    0.009    0.000    0.676    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:1053(_refresh)
      999    0.007    0.000    0.656    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:970(_send_message)
 1998/999    0.005    0.000    0.640    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/_csot.py:118(csot_wrapper)
      999    0.002    0.000    0.637    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1906(_run_operation)
      999    0.005    0.000    0.634    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:2040(_retryable_read)
      999    0.003    0.000    0.619    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1995(_retry_internal)
      999    0.002    0.000    0.614    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:2793(run)
      999    0.003    0.000    0.610    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:3022(_read)
     3996    0.004    0.000    0.560    0.000 /usr/local/lib/python3.14t/site-packages/redis/retry.py:101(call_with_retry)
     1998    0.004    0.000    0.554    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:739(<lambda>)
     1998    0.005    0.000    0.550    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:679(_send_command_parse_response)
      999    0.002    0.000    0.515    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1940(_cmd)
      999    0.003    0.000    0.512    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/helpers.py:46(inner)
      999    0.012    0.000    0.509    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/server.py:137(run_operation)
      999    0.006    0.000    0.473    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.redis.impl.jac:62(put)
     1998    0.005    0.000    0.463    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:775(parse_response)
     1998    0.004    0.000    0.452    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1328(read_response)
     1998    0.003    0.000    0.445    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:12(read_response)
     3996    0.014    0.000    0.441    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:48(_read_from_socket)
2997/1998    0.006    0.000    0.435    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:24(_read_response)
     2997    0.006    0.000    0.428    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:111(readline)
      999    0.001    0.000    0.419    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/pool.py:450(receive_message)
     3996    0.419    0.000    0.419    0.000 {method 'recv' of '_socket.socket' objects}
      999    0.005    0.000    0.418    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/network_layer.py:746(receive_message)
     1998    0.007    0.000    0.408    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/network_layer.py:325(receive_data)
2008/1999    0.001    0.000    0.394    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/network_layer.py:468(recv_into)
      999    0.001    0.000    0.378    0.000 /usr/local/lib/python3.14t/site-packages/redis/commands/core.py:2683(setex)
      999    0.003    0.000    0.342    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.redis.impl.jac:80(batch_get)
      999    0.003    0.000    0.335    0.000 /usr/local/lib/python3.14t/site-packages/redis/commands/core.py:2224(mget)
     3003    0.008    0.000    0.227    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:135(_compute_hash)
     4002    0.003    0.000    0.222    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:86(serialize)
22000/6000    0.054    0.000    0.220    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:107(_serialize_value)
      999    0.005    0.000    0.202    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:161(_load_anchor)
      999    0.002    0.000    0.169    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:103(deserialize)
      999    0.014    0.000    0.166    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:128(_deserialize_anchor)
        1    0.000    0.000    0.135    0.135 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:176(_sv_on_complete)
        1    0.001    0.001    0.131    0.131 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:201(commit)
     4002    0.040    0.000    0.109    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:116(_serialize_attrs)
     3996    0.009    0.000    0.094    0.000 /usr/local/lib/python3.14t/site-packages/redis/utils.py:235(wrapper)
     1998    0.004    0.000    0.082    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1306(send_command)
