Mon Aug 31 01:54:56 2026    /home/patrickli/Space/jaseci_env/jaseci_external_tools/linked_list/profiles/policy_ttg/limit_1250/Traverse/trial_1/jac_server.prof

         1508024 function calls (1487339 primitive calls) in 1.345 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.354    1.354 /home/patrickli/Space/jaseci/jac/jaclang/runtime/runtime.jac:714(spawn)
        1    0.000    0.000    1.354    1.354 /home/patrickli/Space/jaseci/jac/jaclang/runtime/runtime.jac:599(spawn_call)
        1    0.000    0.000    1.353    1.353 /home/patrickli/Space/jaseci/jac/jaclang/runtime/osp_kernel.jac:159(osp_spawn)
4081/3862    0.007    0.000    0.835    0.000 /home/patrickli/Space/jaseci/jac/jaclang/data/impl/pgwire.impl.jac:52(_read_message)
        1    0.000    0.000    0.788    0.788 /home/patrickli/Space/jaseci/jac/jaclang/runtime/prefetch_policy.jac:36(get_prefetch_plan)
        1    0.000    0.000    0.788    0.788 /home/patrickli/Space/jaseci/jac/jaclang/runtime/prefetch_policy_ttg.jac:11(ttg_policy_plan)
        1    0.000    0.000    0.788    0.788 /home/patrickli/Space/jaseci/jac/jaclang/runtime/impl/ttg.impl.jac:118(get_ttg_prefetch_list)
        1    0.000    0.000    0.785    0.785 /home/patrickli/Space/jaseci/jac/jaclang/runtime/ttg.jac:2176(_resolve_sql_visit_bfs)
        1    0.000    0.000    0.785    0.785 /home/patrickli/Space/jaseci/jac/jaclang/runtime/ttg.jac:1670(_resolve_sql_visit_bfs_budgeted)
        1    0.000    0.000    0.785    0.785 /home/patrickli/Space/jaseci/jac/jaclang/runtime/ttg.jac:1611(_resolve_sql_visit_bfs_specialized_set_based)
      6/4    0.000    0.000    0.753    0.188 /home/patrickli/Space/jaseci/jac/jaclang/data/impl/store.impl.jac:171(_run)
      8/5    0.030    0.004    0.753    0.151 /home/patrickli/Space/jaseci/jac/jaclang/data/impl/pgwire.impl.jac:45(run)
8143/7812    0.008    0.000    0.743    0.000 /home/patrickli/Space/jaseci/jac/jaclang/data/impl/pgwire.impl.jac:53(_read_exact)
        1    0.000    0.000    0.731    0.731 /home/patrickli/Space/jaseci/jac/jaclang/runtime/ttg.jac:1583(_ttg_rows_with_explain)
        1    0.000    0.000    0.731    0.731 /home/patrickli/Space/jaseci/jac/jaclang/data/impl/store.impl.jac:157(rows)
8152/7950    0.720    0.000    0.708    0.000 {method 'recv' of '_socket.socket' objects}
     1000    0.001    0.000    0.638    0.001 /home/patrickli/Space/jaseci/jac/jaclang/runtime/osp_kernel_sv.jac:66(call)
     1000    0.004    0.000    0.591    0.001 /home/patrickli/Space/jaseci/jac/jaclang/runtime/runtime.jac:461(refs)
