Tue Aug 25 03:59:36 2026    /workspace/jaseci_external_tools/linked_list/profiles/policy_ttg/limit_250/Traverse/trial_6/jac_server.prof

         1800413 function calls (1760297 primitive calls) in 1.594 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    1.599    1.599 /workspace/jaseci/jac/jaclang/runtimelib/server.jac:495(_jac_walker_execute)
   4043/1    0.011    0.000    1.599    1.599 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:2211(proxy)
   4042/1    0.005    0.000    1.599    1.599 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:89(__call__)
   4042/1    0.007    0.000    1.597    1.597 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:84(_call_impl)
      2/1    0.000    0.000    1.593    1.593 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:653(spawn)
        1    0.000    0.000    1.553    1.553 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:548(spawn_call)
        1    0.000    0.000    1.552    1.552 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:214(osp_spawn)
     4000    0.003    0.000    1.508    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
     1000    0.001    0.000    1.461    0.001 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
     1000    0.005    0.000    1.456    0.001 /workspace/jaseci_external_tools/linked_list/main.jac:14(visit_item)
        1    0.006    0.006    1.447    1.447 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:163(_visit_recursive)
     1000    0.003    0.000    1.316    0.001 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:1158(refs)
     1000    0.006    0.000    1.270    0.001 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:212(execute_path)
     1000    0.003    0.000    1.171    0.001 /workspace/jaseci/jac/jaclang/runtimelib/planner.jac:77(_materialize_ids)
      999    0.010    0.000    1.160    0.001 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:204(batch_get)
      749    0.006    0.000    0.558    0.001 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:138(batch_get)
     1498    0.003    0.000    0.461    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:717(execute_command)
     1498    0.010    0.000    0.458    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:720(_execute_command)
1750/1624    0.001    0.000    0.400    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:1165(__next__)
1750/1624    0.003    0.000    0.399    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:1135(next)
1504/1501    0.006    0.000    0.393    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:1053(_refresh)
3000/2999    0.002    0.000    0.387    0.000 /usr/local/lib/python3.14t/site-packages/redis/retry.py:101(call_with_retry)
  753/751    0.005    0.000    0.380    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:970(_send_message)
 1506/751    0.003    0.000    0.371    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/_csot.py:118(csot_wrapper)
  753/751    0.002    0.000    0.369    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1906(_run_operation)
  753/751    0.003    0.000    0.367    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:2040(_retryable_read)
  753/751    0.002    0.000    0.357    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1995(_retry_internal)
     1498    0.003    0.000    0.356    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:739(<lambda>)
     1498    0.004    0.000    0.354    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:679(_send_command_parse_response)
  753/751    0.001    0.000    0.353    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:2793(run)
  753/751    0.002    0.000    0.350    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:3022(_read)
     1748    0.004    0.000    0.319    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:775(parse_response)
      749    0.004    0.000    0.305    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.redis.impl.jac:62(put)
1750/1746    0.003    0.000    0.302    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1328(read_response)
1750/1746    0.002    0.000    0.290    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:12(read_response)
     3006    0.010    0.000    0.289    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:48(_read_from_socket)
  753/752    0.001    0.000    0.287    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1940(_cmd)
  754/753    0.002    0.000    0.286    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/helpers.py:46(inner)
  753/752    0.009    0.000    0.283    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/server.py:137(run_operation)
2499/1746    0.005    0.000    0.281    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:24(_read_response)
2499/2495    0.004    0.000    0.280    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:111(readline)
      999    0.001    0.000    0.272    0.000 /usr/local/lib/python3.14t/site-packages/redis/commands/core.py:2683(setex)
     3006    0.265    0.000    0.269    0.000 {method 'recv' of '_socket.socket' objects}
      749    0.002    0.000    0.226    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.redis.impl.jac:80(batch_get)
  753/752    0.001    0.000    0.222    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/pool.py:450(receive_message)
  754/753    0.003    0.000    0.222    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/network_layer.py:746(receive_message)
      749    0.002    0.000    0.221    0.000 /usr/local/lib/python3.14t/site-packages/redis/commands/core.py:2224(mget)
1508/1506    0.005    0.000    0.217    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/network_layer.py:325(receive_data)
     3003    0.006    0.000    0.173    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:135(_compute_hash)
     3752    0.002    0.000    0.169    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:86(serialize)
20250/5250    0.041    0.000    0.167    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:107(_serialize_value)
      999    0.002    0.000    0.147    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:103(deserialize)
      999    0.012    0.000    0.144    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:128(_deserialize_anchor)
      749    0.003    0.000    0.131    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:161(_load_anchor)
        1    0.000    0.000    0.106    0.106 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:176(_sv_on_complete)
5759/5754    0.009    0.000    0.085    0.000 /usr/local/lib/python3.14t/json/__init__.py:185(dumps)
     3752    0.031    0.000    0.082    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:116(_serialize_attrs)
     4041    0.003    0.000    0.074    0.000 /usr/local/lib/python3.14t/inspect.py:3247(bind_partial)
3001/2999    0.006    0.000    0.064    0.000 /usr/local/lib/python3.14t/site-packages/redis/utils.py:235(wrapper)
5759/5755    0.008    0.000    0.062    0.000 /usr/local/lib/python3.14t/json/encoder.py:185(encode)
22958/19922    0.008    0.000    0.055    0.000 {built-in method builtins.next}
     1500    0.003    0.000    0.055    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1306(send_command)
        1    0.000    0.000    0.054    0.054 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:201(commit)
     1750    0.014    0.000    0.054    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:146(pack)
20490/20438    0.015    0.000    0.052    0.000 /usr/local/lib/python3.14t/uuid.py:331(__str__)
     1000    0.003    0.000    0.052    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:244(plan_chain_ordered)
        1    0.001    0.001    0.051    0.051 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:144(sync)
   1546/8    0.002    0.000    0.049    0.006 /usr/local/lib/python3.14t/site-packages/pymongo/network_layer.py:468(recv_into)
1506/1505    0.002    0.000    0.047    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1871(_conn_from_server)
     1000    0.042    0.000    0.046    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/topology_index.impl.jac:66(resolve_chain_ordered)
     1500    0.006    0.000    0.044    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:3004(get_connection)
5759/5756    0.028    0.000    0.043    0.000 /usr/local/lib/python3.14t/json/encoder.py:207(iterencode)
     4041    0.025    0.000    0.043    0.000 /usr/local/lib/python3.14t/inspect.py:3098(_bind)
1506/1505    0.003    0.000    0.042    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1784(_checkout)
     1000    0.002    0.000    0.040    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:385(promote_raw)
227409/226954    0.035    0.000    0.038    0.000 {built-in method builtins.isinstance}
     4000    0.002    0.000    0.038    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:86(_current_scope)
     1000    0.003    0.000    0.036    0.000 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:1144(log_report)
20490/20463    0.009    0.000    0.036    0.000 /usr/local/lib/python3.14t/uuid.py:398(hex)
     2274    0.032    0.000    0.033    0.000 {method 'sendall' of '_socket.socket' objects}
3012/1506    0.002    0.000    0.031    0.000 /usr/local/lib/python3.14t/contextlib.py:136(__enter__)
     1500    0.002    0.000    0.031    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:975(connect)
      250    0.000    0.000    0.030    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:1867(parse_response)
     3752    0.029    0.000    0.029    0.000 {built-in method builtins.dir}
     8994    0.018    0.000    0.028    0.000 /usr/local/lib/python3.14t/uuid.py:178(__init__)
1506/1505    0.003    0.000    0.027    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/pool.py:1092(checkout)
     5502    0.006    0.000    0.026    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/encoders.py:14(encode)
     1500    0.008    0.000    0.024    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:3109(release)
     2000    0.008    0.000    0.024    0.000 /workspace/jaseci/jac/jaclang/runtimelib/memory.jac:107(_tiered_access_log)
     1502    0.002    0.000    0.024    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1275(send_packed_command)
20491/20475    0.006    0.000    0.023    0.000 /usr/local/lib/python3.14t/uuid.py:335(bytes)
     1500    0.002    0.000    0.022    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1313(can_read)
      999    0.008    0.000    0.022    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:131(_deserialize_archetype)
     1748    0.001    0.000    0.021    0.000 /workspace/jaseci/jac/jaclang/runtimelib/utils.jac:53(storage_key)
3012/1506    0.002    0.000    0.021    0.000 /usr/local/lib/python3.14t/contextlib.py:145(__exit__)
     1500    0.001    0.000    0.020    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/base.py:159(can_read)
    63587    0.014    0.000    0.019    0.000 {method 'get' of 'dict' objects}
     1000    0.001    0.000    0.019    0.000 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:1376(get_console)
     1500    0.002    0.000    0.019    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:95(can_read)
     1000    0.008    0.000    0.018    0.000 /workspace/jaseci/jac/jaclang/runtimelib/planner.jac:277(_build_plan_from_path)
     6527    0.004    0.000    0.018    0.000 <frozen _collections_abc>:792(get)
      749    0.004    0.000    0.018    0.000 /workspace/jaseci/jac-scale/jac_scale/memory_hierarchy.jac:123(_snapshot_field_hashes)
171733/171729    0.017    0.000    0.017    0.000 {method 'startswith' of 'str' objects}
     1000    0.002    0.000    0.017    0.000 /workspace/jaseci/jac/jaclang/runtimelib/planner.jac:242(_path_root_anchor)
      753    0.001    0.000    0.017    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:2970(_get_server)
     1000    0.002    0.000    0.017    0.000 /workspace/jaseci/jac/jaclang/cli/impl/console.impl.jac:93(__post_init__)
      753    0.001    0.000    0.016    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1818(_select_server)
      753    0.001    0.000    0.015    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/server.py:124(operation_to_command)
     6000    0.003    0.000    0.015    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:158(_sv_tag_of)
      753    0.005    0.000    0.015    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/pool.py:1197(_get_conn)
     1001    0.001    0.000    0.015    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:374(get)
      751    0.001    0.000    0.015    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/collection.py:1758(find)
     1502    0.003    0.000    0.014    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/message.py:1641(as_command)
      259    0.000    0.000    0.014    0.000 /usr/local/lib/python3.14t/logging/__init__.py:1510(info)
     6555    0.007    0.000    0.014    0.000 <frozen os>:704(__getitem__)
     4041    0.010    0.000    0.014    0.000 /usr/local/lib/python3.14t/inspect.py:2902(apply_defaults)
      753    0.001    0.000    0.014    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/topology.py:418(select_server)
     1001    0.001    0.000    0.013    0.000 /workspace/jaseci/jac/jaclang/jac0core/archetype.jac:184(get_topology_index)
      259    0.000    0.000    0.013    0.000 /usr/local/lib/python3.14t/logging/__init__.py:1641(_log)
      751    0.009    0.000    0.013    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:75(__init__)
        1    0.004    0.004    0.013    0.013 /workspace/jaseci/jac/jaclang/runtimelib/impl/topology_index.impl.jac:99(decode)
      753    0.005    0.000    0.012    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/pool.py:1326(checkin)
20983/20982    0.005    0.000    0.012    0.000 {method 'replace' of 'str' objects}
     15/5    0.000    0.000    0.012    0.002 <frozen importlib._bootstrap>:1360(_find_and_load)
     15/5    0.000    0.000    0.012    0.002 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
      753    0.001    0.000    0.012    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/topology.py:393(_select_server)
      753    0.001    0.000    0.012    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/pool.py:433(send_message)
     1498    0.003    0.000    0.012    0.000 /workspace/jaseci/jac-scale/jac_scale/memory_hierarchy.jac:113(_field_hash)
     15/5    0.000    0.000    0.012    0.002 <frozen importlib._bootstrap>:914(_load_unlocked)
      753    0.002    0.000    0.011    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/topology.py:264(select_servers)
      754    0.000    0.000    0.011    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/network_layer.py:238(sendall)
     1000    0.002    0.000    0.011    0.000 /workspace/jaseci/jac/jaclang/cli/impl/console.impl.jac:98(print)
      751    0.001    0.000    0.010    0.000 /workspace/jaseci/jac-scale/jac_scale/memory_hierarchy.jac:41(_get_db_config)
13319/13318    0.003    0.000    0.010    0.000 {method '__exit__' of '_thread.lock' objects}
     1997    0.002    0.000    0.010    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:127(_id_to_stub)
        1    0.000    0.000    0.010    0.010 /workspace/jaseci/jac/jaclang/jac0core/prefetch_policy.jac:23(get_prefetch_plan)
     1500    0.001    0.000    0.010    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:980(<lambda>)
     3259    0.009    0.000    0.010    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
     13/4    0.000    0.000    0.009    0.002 /workspace/jaseci/jac/jaclang/meta_importer.py:246(exec_module)
     3001    0.007    0.000    0.009    0.000 /usr/local/lib/python3.14t/site-packages/redis/utils.py:175(_get_filterable_args)
     1000    0.003    0.000    0.009    0.000 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:531(visit)
38047/38045    0.008    0.000    0.009    0.000 {built-in method builtins.getattr}
17994/17903    0.005    0.000    0.009    0.000 /usr/local/lib/python3.14t/uuid.py:319(__hash__)
      753    0.000    0.000    0.009    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:863(_unpack_response)
3276/3275    0.001    0.000    0.009    0.000 /usr/local/lib/python3.14t/threading.py:316(__exit__)
      751    0.001    0.000    0.009    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/message.py:1680(get_message)
     1500    0.000    0.000    0.009    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:986(connect_check_health)
      753    0.001    0.000    0.008    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/message.py:1491(unpack_response)
      751    0.003    0.000    0.008    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/config_loader.impl.jac:22(get_database_config)
      354    0.000    0.000    0.008    0.000 /usr/local/lib/python3.14t/pathlib/__init__.py:398(name)
      999    0.003    0.000    0.008    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:129(_deserialize_permission)
        1    0.000    0.000    0.008    0.008 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1066(on_connect_check_health)
     1998    0.003    0.000    0.008    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:73(coerce)
        5    0.000    0.000    0.008    0.002 /usr/local/lib/python3.14t/threading.py:975(start)
45332/44311    0.007    0.000    0.008    0.000 {built-in method builtins.len}
     7272    0.003    0.000    0.008    0.000 {method 'join' of 'bytes' objects}
     1748    0.002    0.000    0.008    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:100(__contains__)
      259    0.000    0.000    0.008    0.000 /usr/local/lib/python3.14t/logging/__init__.py:1667(handle)
     6001    0.003    0.000    0.008    0.000 /usr/local/lib/python3.14t/site-packages/redis/observability/recorder.py:149(record_connection_count)
        6    0.000    0.000    0.008    0.001 /usr/local/lib/python3.14t/threading.py:630(set)
      754    0.001    0.000    0.007    0.000 /usr/local/lib/python3.14t/site-packages/bson/__init__.py:1245(_decode_all_selective)
35638/35600    0.007    0.000    0.007    0.000 {method 'append' of 'list' objects}
     1000    0.002    0.000    0.007    0.000 /workspace/jaseci/jac/jaclang/cli/impl/console.impl.jac:67(emit_raw)
      259    0.000    0.000    0.007    0.000 /usr/local/lib/python3.14t/logging/__init__.py:1725(callHandlers)
     1000    0.001    0.000    0.007    0.000 /workspace/jaseci/jac/jaclang/cli/impl/console.impl.jac:95(_should_use_emoji)
        1    0.001    0.001    0.007    0.007 /workspace/jaseci/jac/jaclang/jac0core/prefetch_policy_ttg.jac:5(ttg_policy_plan)
     3001    0.005    0.000    0.007    0.000 /usr/local/lib/python3.14t/site-packages/redis/observability/attributes.py:383(get_pool_name)
      999    0.001    0.000    0.007    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:106(__getitem__)
     10/2    0.000    0.000    0.007    0.004 /workspace/jaseci/jac/jaclang/meta_importer.py:228(_exec_bootstrap)
      753    0.002    0.000    0.007    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/message.py:394(_op_msg)
      259    0.000    0.000    0.007    0.000 /usr/local/lib/python3.14t/logging/__init__.py:1011(handle)
     2996    0.001    0.000    0.007    0.000 /workspace/jaseci/jac/jaclang/runtimelib/serializer.jac:560(<genexpr>)
     17/5    0.000    0.000    0.007    0.001 {built-in method builtins.exec}
      753    0.002    0.000    0.007    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/topology.py:311(_select_servers_loop)
      753    0.002    0.000    0.007    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/client_session.py:1093(_apply_to)
     7502    0.004    0.000    0.007    0.000 /usr/local/lib/python3.14t/site-packages/redis/observability/recorder.py:825(_get_or_create_collector)
      754    0.001    0.000    0.006    0.000 /usr/local/lib/python3.14t/site-packages/bson/__init__.py:1148(decode_all)
     1000    0.001    0.000    0.006    0.000 /workspace/jaseci/jac/jaclang/cli/impl/console.impl.jac:96(_should_use_color)
     6555    0.003    0.000    0.006    0.000 <frozen os>:786(encode)
     1000    0.000    0.000    0.006    0.000 /workspace/jaseci/jac/jaclang/runtimelib/planner.jac:14(_trace)
19347/19329    0.005    0.000    0.006    0.000 {method 'encode' of 'str' objects}
     2000    0.002    0.000    0.006    0.000 /workspace/jaseci/jac/jaclang/runtimelib/planner.jac:131(_filter_type_name)
      754    0.006    0.000    0.006    0.000 {built-in method bson._cbson._decode_all}
     1750    0.001    0.000    0.006    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:133(purge)
     2000    0.002    0.000    0.005    0.000 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:166(_sv_node_desc)
