Wed Aug 26 16:32:54 2026    /workspace/jaseci_external_tools/linked_list/profiles/policy_ttg/limit_250/Traverse/trial_9/jac_server.prof

         1801226 function calls (1762971 primitive calls) in 2.446 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    2.453    2.453 /workspace/jaseci/jac/jaclang/runtimelib/server.jac:495(_jac_walker_execute)
   4043/1    0.015    0.000    2.453    2.453 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:2211(proxy)
   4042/1    0.005    0.000    2.453    2.453 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:89(__call__)
   4042/1    0.008    0.000    2.450    2.450 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:84(_call_impl)
     4000    0.003    0.000    2.430    0.001 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
      2/1    0.001    0.001    2.399    2.399 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:653(spawn)
     1000    0.001    0.000    2.285    0.002 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
     1000    0.007    0.000    2.277    0.002 /workspace/jaseci_external_tools/linked_list/main.jac:14(visit_item)
     1000    0.004    0.000    2.115    0.002 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:1158(refs)
        1    0.000    0.000    2.109    2.109 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:548(spawn_call)
        1    0.000    0.000    2.099    2.099 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:214(osp_spawn)
     1000    0.008    0.000    2.095    0.002 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:212(execute_path)
        1    0.006    0.006    1.992    1.992 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:163(_visit_recursive)
     1000    0.004    0.000    1.957    0.002 /workspace/jaseci/jac/jaclang/runtimelib/planner.jac:77(_materialize_ids)
      999    0.014    0.000    1.902    0.002 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:204(batch_get)
      750    0.008    0.000    0.956    0.001 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:138(batch_get)
     1500    0.004    0.000    0.765    0.001 /usr/local/lib/python3.14t/site-packages/redis/client.py:717(execute_command)
     1500    0.013    0.000    0.761    0.001 /usr/local/lib/python3.14t/site-packages/redis/client.py:720(_execute_command)
1751/1626    0.002    0.000    0.741    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:1165(__next__)
1751/1626    0.004    0.000    0.728    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:1135(next)
1506/1503    0.008    0.000    0.721    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:1053(_refresh)
  754/752    0.007    0.000    0.701    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:970(_send_message)
 1508/752    0.004    0.000    0.700    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/_csot.py:118(csot_wrapper)
  754/752    0.002    0.000    0.695    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1906(_run_operation)
  754/752    0.004    0.000    0.694    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:2040(_retryable_read)
  754/752    0.003    0.000    0.679    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1995(_retry_internal)
  754/752    0.002    0.000    0.675    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:2793(run)
  754/752    0.003    0.000    0.668    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:3022(_read)
     3004    0.003    0.000    0.628    0.000 /usr/local/lib/python3.14t/site-packages/redis/retry.py:101(call_with_retry)
     1500    0.004    0.000    0.620    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:739(<lambda>)
     1500    0.005    0.000    0.617    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:679(_send_command_parse_response)
     1749    0.006    0.000    0.587    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:775(parse_response)
  754/753    0.001    0.000    0.586    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/mongo_client.py:1940(_cmd)
  755/754    0.003    0.000    0.575    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/helpers.py:46(inner)
  754/753    0.012    0.000    0.566    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/server.py:137(run_operation)
     1751    0.004    0.000    0.536    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1328(read_response)
     1751    0.003    0.000    0.526    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:12(read_response)
     3008    0.013    0.000    0.515    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:48(_read_from_socket)
2501/1751    0.006    0.000    0.511    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:24(_read_response)
     2501    0.006    0.000    0.504    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:111(readline)
     3008    0.494    0.000    0.494    0.000 {method 'recv' of '_socket.socket' objects}
      750    0.006    0.000    0.487    0.001 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.redis.impl.jac:62(put)
  754/753    0.001    0.000    0.483    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/pool.py:450(receive_message)
  755/754    0.004    0.000    0.480    0.001 /usr/local/lib/python3.14t/site-packages/pymongo/network_layer.py:746(receive_message)
1510/1508    0.007    0.000    0.473    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/network_layer.py:325(receive_data)
1547/1532    0.002    0.000    0.462    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/network_layer.py:468(recv_into)
      999    0.001    0.000    0.427    0.000 /usr/local/lib/python3.14t/site-packages/redis/commands/core.py:2683(setex)
      750    0.003    0.000    0.378    0.001 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.redis.impl.jac:80(batch_get)
      750    0.003    0.000    0.371    0.000 /usr/local/lib/python3.14t/site-packages/redis/commands/core.py:2224(mget)
     3753    0.002    0.000    0.206    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:86(serialize)
      999    0.003    0.000    0.204    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:103(deserialize)
20257/5253    0.050    0.000    0.204    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:107(_serialize_value)
     3003    0.008    0.000    0.201    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:135(_compute_hash)
