id,tier,type,root
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
2f70af68-b249-4082-afe8-4a82c4dcb3ca,L3,Root,2f70af68-b249-4082-afe8-4a82c4dcb3ca
2f70af68-b249-4082-afe8-4a82c4dcb3ca,L3,Root,2f70af68-b249-4082-afe8-4a82c4dcb3ca
30235a6c-b831-4b71-bc62-737cb484dccd,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
d4794bdd-89fc-4f73-a15f-67eb5689f85f,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
e085df07-26fa-4545-b57c-92d53a331a6e,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
5b67544d-0e3e-4efb-b298-999205aeb067,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
6350cafc-807a-426e-8a12-a414ec3a0a13,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
aed74af0-2f53-4107-a840-23d568b23482,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
8cfefa3f-24a6-4878-b22d-7d7097c8650f,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
4e60794a-b207-460d-bb38-5d09ade6d501,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
72c05c70-cb8d-4f53-889a-e497878608e4,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
1573e35e-e033-4d0d-9663-f6911bd3b836,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
16d0d426-5276-48bd-bf1f-0d0c814de151,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
9a2b6a38-760f-495c-87de-10d5aeeb4017,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
e9e651ba-77a2-45a0-8617-870cabb50a6d,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
ec466da3-17e9-42c6-998d-77b35daaced3,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
0b1d06f8-eead-40a0-85cb-06298fdceef0,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
6ffbe46d-1f89-4633-beac-ad0179a6c05f,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
dac12ad5-01c6-40b1-992c-41006ff95d7b,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
0a910109-f2a7-4184-ad79-ea349f80d784,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
44a77a6e-8033-482e-ac8c-05fc73e9cd29,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
91afda30-464b-4f52-8c70-cbf0d5a95aa4,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
98f22695-8a37-40ed-9d8a-63dd05fd70d0,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
96417972-9281-4638-841f-b68a7c1cef4a,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
a78b9055-3c12-4b98-9bfc-04914a7c796f,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
c8e775c1-240e-405b-9555-9514c17f2f33,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
89889cbe-fb48-4092-ba8f-38c3c0ac6575,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
f6855eec-8ea4-412e-8833-87c8bb3a00bb,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
cf4a608c-833d-4101-9782-f1737729ffab,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
791a48b5-2248-4157-9cd5-452ceec7bad0,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
66af907a-e338-4bdf-bcab-700eb346cb5d,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
62144d56-62e5-4f64-a581-a14176662971,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
8586d5b2-29f5-4cb7-beb4-552d3871dfd4,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
723f65de-c933-40fd-b787-d3e953cb682b,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
6e70eba1-9395-4b08-8e6a-65ca00cf40be,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
b29b4ae5-d3ea-4d11-b9ce-52d4a579ef07,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
eb768e23-27f1-4245-8e2e-62daa87f2f7a,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
5f357994-eb63-4f4b-8479-f4df374a909d,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
c5b9142b-b273-40c7-ab40-fb01165ed6ee,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
55355ef5-99ae-45a6-900f-f9d9a3e1e734,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
05f15d64-c632-4afa-8a98-f3d174daa0b5,L3,Item,2f70af68-b249-4082-afe8-4a82c4dcb3ca
