id,tier,type,root
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
00000000-0000-0000-0000-000000000000,L3,Root,00000000-0000-0000-0000-000000000000
7dbb4176-64fb-4a22-af20-b5f0d146d911,L3,Root,7dbb4176-64fb-4a22-af20-b5f0d146d911
7dbb4176-64fb-4a22-af20-b5f0d146d911,L3,Root,7dbb4176-64fb-4a22-af20-b5f0d146d911
6fee054e-e0f9-43b0-a142-f39e0a9e3da8,L3,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
f12f2a09-44fd-4836-b3e0-d124dd82f16a,L3,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
e201da87-ff95-4423-bc78-686f84a4b069,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
e9a55631-c373-4661-922f-2f8e73e5892a,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
cc79abfc-5c15-4414-9ba0-6c0fed75dfac,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
409aeb90-e8a7-4742-915f-20d54a129f6f,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
fb73956b-d0f3-4b0d-b512-570b19159b91,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
f62444a4-14b4-4721-9a33-7b22bf6309ea,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
7830a7b4-bfd7-44bf-b6bd-6e129c7bd5a5,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
4147fdb2-b8f0-4ef2-9a7c-f12116b9a63c,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
a633b651-0a92-44be-a066-dcdf8dcad9a7,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
5bacd246-e865-4b49-9e83-81d2818d6848,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
0cabbafb-209d-49bc-9d48-c1bae9ec3a85,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
0d5cd7d0-b1e4-4cf9-9463-447c60a2c20a,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
87a0c736-98d7-4eff-924e-91c5a812276a,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
8ae1263c-9c22-4cfc-82bf-1694db43baff,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
cb4eacde-82fd-4c43-8bdd-0dfd63907591,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
706a593f-04f2-42b9-b0d0-787b61a32832,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
c2f79a92-3e05-42b5-a628-866be61a8e5c,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
95e48e48-278b-4b24-b268-9a2050823c64,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
55af6933-0259-45b9-bb61-3434b3ea26b9,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
036b5c88-271d-44d1-a471-785f2c21709c,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
1ffc6e7b-8010-4a1f-a748-8dae2192c162,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
129ec0e6-fcc8-4377-b221-d66ac19f0737,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
7d95e88b-525f-4211-85dd-0eda52bb16c3,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
93cf5488-112b-4433-bdc6-fb89eb480664,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
b5ed5954-a01f-40a3-b762-8106d3c1b705,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
266fa808-ec37-4809-83be-0028818a2c65,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
2c9dd263-5492-4c0b-85a5-b1ccd80eec44,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
34bb6eeb-8e01-4feb-9df6-2b8ad4a1f48e,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
5604bb59-67b4-4c6c-9d64-8a280f4d096c,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
637a2116-9585-413e-a5c4-04920f6d659e,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
aeb288c2-7fd4-4120-86f4-111d78b9d178,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
183eabf7-a7a2-4969-a267-854c3e95eb5a,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
63778292-9de4-4b97-9d5f-23af38a3eda4,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
c9dbfdbe-4bbb-44a2-8b8b-afab71571471,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
fcf6d22e-3a71-4336-b9de-b712fe80b527,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
ad2a9ba0-1757-4720-8190-fce66581f07d,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
d84a4a2e-8a62-4f33-ad4c-17c84a920fac,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
38dc6d94-af6b-4107-9609-5b56b0243c9b,L1,Item,7dbb4176-64fb-4a22-af20-b5f0d146d911
