policy,walker,prefetch_limit,trial,e2e_ms,request_id,request_order,train_n,trial_count,pool_seed,coverage,accuracy,actual_ids,plan_ids,covered_ids,overfetch_ids,undercoverage_ids,topo_idx_ms,ttg_ms,prefetch_ms,materialize_ms,prefetch_wait_ms,walker_ms,l1_hit_rate,l1,l2,l3,miss,db_q,oracle_file,oracle_topology_file,model_file,model_topology_file,selep_events,selep_matched_events,selep_predictions,selep_blocks,selep_blocks_skipped,selep_prewarm_calls,selep_prewarm_ms,selep_errors
none,Traverse,0,1,2418.0394066497684,30235a6c-b831-4b71-bc62-737cb484dccd,,,10,,,,,,,,,0.000,0.000,0.000,,,2321.650,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,2,2544.7682216763496,30235a6c-b831-4b71-bc62-737cb484dccd,,,10,,,,,,,,,0.000,0.000,0.000,,,2449.221,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,3,2901.531472802162,30235a6c-b831-4b71-bc62-737cb484dccd,,,10,,,,,,,,,0.000,0.000,0.000,,,2808.780,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,4,2510.9942527487874,30235a6c-b831-4b71-bc62-737cb484dccd,,,10,,,,,,,,,0.000,0.000,0.000,,,2410.569,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,5,3178.029731847346,30235a6c-b831-4b71-bc62-737cb484dccd,,,10,,,,,,,,,0.000,0.000,0.000,,,3088.310,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,6,2539.718000218272,30235a6c-b831-4b71-bc62-737cb484dccd,,,10,,,,,,,,,0.000,0.000,0.000,,,2443.471,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,7,3140.9536777064204,30235a6c-b831-4b71-bc62-737cb484dccd,,,10,,,,,,,,,0.000,0.000,0.000,,,3034.480,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,8,2459.2243442311883,30235a6c-b831-4b71-bc62-737cb484dccd,,,10,,,,,,,,,0.000,0.000,0.000,,,2363.317,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,9,2503.1239446252584,30235a6c-b831-4b71-bc62-737cb484dccd,,,10,,,,,,,,,0.000,0.000,0.000,,,2420.094,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,10,2519.2480022087693,30235a6c-b831-4b71-bc62-737cb484dccd,,,10,,,,,,,,,0.000,0.000,0.000,,,2423.877,0.0,0,0,1004,0,,,,,,,,,,,,,
dbridge_like,Traverse,0,1,2126.0300427675247,28558015-80de-4c80-b3ea-3314a8897247,,,10,,99.9,100.0,1000,999,999,0,1,0.000,0.000,1926.222,1161.563,2005.053,39.000,0.0,0,0,1000,0,1000,,,,,,,,,,,,
dbridge_like,Traverse,0,2,2037.033261731267,28558015-80de-4c80-b3ea-3314a8897247,,,10,,99.9,100.0,1000,999,999,0,1,0.000,0.000,1858.927,1113.347,1923.235,39.490,0.0,0,0,1000,0,1000,,,,,,,,,,,,
dbridge_like,Traverse,0,3,2041.060465388,28558015-80de-4c80-b3ea-3314a8897247,,,10,,99.9,100.0,1000,999,999,0,1,0.000,0.000,1859.216,1126.172,1924.106,39.564,0.0,0,0,1000,0,1000,,,,,,,,,,,,
dbridge_like,Traverse,0,4,2087.465586140752,28558015-80de-4c80-b3ea-3314a8897247,,,10,,99.9,100.0,1000,999,999,0,1,0.000,0.000,1911.179,1154.056,1977.551,36.522,0.0,0,0,1000,0,1000,,,,,,,,,,,,
dbridge_like,Traverse,0,5,2055.598377250135,28558015-80de-4c80-b3ea-3314a8897247,,,10,,99.9,100.0,1000,999,999,0,1,0.000,0.000,1878.368,1133.753,1941.385,38.732,0.0,0,0,1000,0,1000,,,,,,,,,,,,
dbridge_like,Traverse,0,6,2103.407334536314,28558015-80de-4c80-b3ea-3314a8897247,,,10,,99.9,100.0,1000,999,999,0,1,0.000,0.000,1918.133,1153.652,1996.639,40.194,0.0,0,0,1000,0,1000,,,,,,,,,,,,
dbridge_like,Traverse,0,7,2484.554635360837,28558015-80de-4c80-b3ea-3314a8897247,,,10,,99.9,100.0,1000,999,999,0,1,0.000,0.000,2283.698,1326.924,2364.709,39.339,0.0,0,0,1000,0,1000,,,,,,,,,,,,
