list_size,ttg_enabled,trial,e2e_ms,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,ast_ms,resolve_total_ms,resolve_calls,avg_resolve_ms,adj_list_size
100,enabled,1,258.498,64.160,5.620,2.555,13.909,117.152,0.164,0.994,100,0.0099,100
100,enabled,2,214.663,16.049,1.161,2.409,12.465,121.724,0.006,1.024,100,0.0102,100
100,enabled,3,205.459,15.726,1.140,2.393,12.180,114.632,0.005,1.010,100,0.0101,100
100,enabled,4,211.213,15.892,1.141,2.388,12.351,121.088,0.004,1.008,100,0.0101,100
100,enabled,5,212.393,19.320,1.497,3.233,14.575,115.526,0.006,1.364,100,0.0136,100
100,enabled,6,205.566,16.306,1.172,2.387,12.736,113.703,0.005,1.007,100,0.0101,100
100,enabled,7,209.662,16.020,1.142,2.376,12.489,117.188,0.005,1.002,100,0.0100,100
100,enabled,8,202.888,16.135,1.157,2.393,12.572,112.686,0.005,1.018,100,0.0102,100
100,enabled,9,205.868,15.857,1.161,2.398,12.285,113.833,0.005,1.018,100,0.0102,100
100,enabled,10,317.671,131.198,1.164,2.432,127.589,109.978,0.005,1.012,100,0.0101,100
100,disabled,1,311.309,0.008,0.000,0.000,0.000,236.890,0.0,0.000,0,0.0,0
100,disabled,2,310.158,0.007,0.000,0.000,0.000,238.347,0.0,0.000,0,0.0,0
100,disabled,3,308.954,0.006,0.000,0.000,0.000,238.219,0.0,0.000,0,0.0,0
100,disabled,4,307.856,0.006,0.000,0.000,0.000,235.216,0.0,0.000,0,0.0,0
100,disabled,5,298.697,0.006,0.000,0.000,0.000,227.178,0.0,0.000,0,0.0,0
100,disabled,6,321.653,0.005,0.000,0.000,0.000,249.139,0.0,0.000,0,0.0,0
100,disabled,7,322.418,0.005,0.000,0.000,0.000,250.984,0.0,0.000,0,0.0,0
100,disabled,8,307.375,0.005,0.000,0.000,0.000,234.929,0.0,0.000,0,0.0,0
100,disabled,9,316.941,0.005,0.000,0.000,0.000,246.216,0.0,0.000,0,0.0,0
100,disabled,10,313.338,0.005,0.000,0.000,0.000,241.643,0.0,0.000,0,0.0,0
1000,enabled,1,2263.826,198.893,14.912,66.700,112.849,1131.611,0.200,54.241,1000,0.0542,1000
1000,enabled,2,2458.227,194.607,10.650,68.306,115.628,1115.993,0.005,55.504,1000,0.0555,1000
1000,enabled,3,2378.127,194.061,10.802,69.896,113.347,1142.347,0.005,56.683,1000,0.0567,1000
1000,enabled,4,2391.497,193.592,10.798,69.163,113.614,1153.823,0.005,56.164,1000,0.0562,1000
1000,enabled,5,2435.866,194.867,10.869,71.186,112.795,1175.254,0.005,57.936,1000,0.0579,1000
1000,enabled,6,2575.585,342.470,159.051,67.935,115.465,1143.763,0.009,55.571,1000,0.0556,1000
1000,enabled,7,2498.860,202.133,10.898,72.049,119.171,1175.704,0.011,58.694,1000,0.0587,1000
1000,enabled,8,2601.122,208.058,12.930,74.100,121.011,1131.109,0.006,60.193,1000,0.0602,1000
1000,enabled,9,2477.308,200.124,10.991,72.590,116.526,1158.943,0.006,58.472,1000,0.0585,1000
1000,enabled,10,2491.193,198.759,10.891,69.975,117.873,1156.943,0.005,56.424,1000,0.0564,1000
1000,disabled,1,3350.360,0.008,0.000,0.000,0.000,2413.626,0.0,0.000,0,0.0,0
1000,disabled,2,3556.329,0.007,0.000,0.000,0.000,2410.221,0.0,0.000,0,0.0,0
1000,disabled,3,3488.714,0.005,0.000,0.000,0.000,2459.076,0.0,0.000,0,0.0,0
1000,disabled,4,3429.888,0.005,0.000,0.000,0.000,2381.861,0.0,0.000,0,0.0,0
1000,disabled,5,3500.585,0.005,0.000,0.000,0.000,2439.265,0.0,0.000,0,0.0,0
1000,disabled,6,3646.645,0.005,0.000,0.000,0.000,2427.330,0.0,0.000,0,0.0,0
1000,disabled,7,3535.059,0.006,0.000,0.000,0.000,2451.772,0.0,0.000,0,0.0,0
1000,disabled,8,3537.362,0.007,0.000,0.000,0.000,2426.817,0.0,0.000,0,0.0,0
1000,disabled,9,3708.389,0.006,0.000,0.000,0.000,2439.142,0.0,0.000,0,0.0,0
1000,disabled,10,3514.802,0.005,0.000,0.000,0.000,2387.648,0.0,0.000,0,0.0,0
