policy,walker,prefetch_limit,trial,e2e_ms,request_id,request_order,train_n,trial_count,pool_seed,coverage,accuracy,actual_ids,plan_ids,covered_ids,overfetch_ids,undercoverage_ids,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,l1_hit_rate,l1,l2,l3,miss,db_q,oracle_file,oracle_topology_file,model_file,model_topology_file,selep_events,selep_matched_events,selep_predictions,selep_blocks,selep_blocks_skipped,selep_prewarm_calls,selep_prewarm_ms,selep_errors
none,Traverse,0,1,2478.8521751761436,2924b5f9-c295-4efc-b4ad-db05c92dac02,,,10,,,,,,,,,0.000,0.000,0.000,2382.471,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,2,3063.6490024626255,2924b5f9-c295-4efc-b4ad-db05c92dac02,,,10,,,,,,,,,0.000,0.000,0.000,2964.126,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,3,2486.626425758004,2924b5f9-c295-4efc-b4ad-db05c92dac02,,,10,,,,,,,,,0.000,0.000,0.000,2389.279,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,4,2511.2982653081417,2924b5f9-c295-4efc-b4ad-db05c92dac02,,,10,,,,,,,,,0.000,0.000,0.000,2418.219,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,5,2501.9209207966924,2924b5f9-c295-4efc-b4ad-db05c92dac02,,,10,,,,,,,,,0.000,0.000,0.000,2404.416,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,6,2972.7860325947404,2924b5f9-c295-4efc-b4ad-db05c92dac02,,,10,,,,,,,,,0.000,0.000,0.000,2847.408,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,7,2657.293690368533,2924b5f9-c295-4efc-b4ad-db05c92dac02,,,10,,,,,,,,,0.000,0.000,0.000,2564.423,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,8,2564.4039465114474,2924b5f9-c295-4efc-b4ad-db05c92dac02,,,10,,,,,,,,,0.000,0.000,0.000,2471.847,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,9,2662.6041335985065,2924b5f9-c295-4efc-b4ad-db05c92dac02,,,10,,,,,,,,,0.000,0.000,0.000,2558.264,0.0,0,0,1004,0,,,,,,,,,,,,,
none,Traverse,0,10,3390.308003872633,2924b5f9-c295-4efc-b4ad-db05c92dac02,,,10,,,,,,,,,0.000,0.000,0.000,3295.183,0.0,0,0,1004,0,,,,,,,,,,,,,
