list_size,ttg_enabled,trial,e2e_ms,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,ast_ms,resolve_total_ms,resolve_calls,avg_resolve_ms,adj_list_size
100,enabled,1,217.381,25.550,3.835,2.489,15.538,115.476,0.143,0.998,100,0.0100,100
100,enabled,2,213.956,18.429,1.147,2.378,14.889,120.048,0.007,1.018,100,0.0102,100
100,enabled,3,204.623,15.392,1.133,2.324,11.922,113.142,0.005,0.995,100,0.0100,100
100,enabled,4,204.899,16.655,1.127,2.352,13.164,115.682,0.005,1.016,100,0.0102,100
100,enabled,5,206.861,15.592,1.123,2.349,12.107,113.682,0.005,1.002,100,0.0100,100
100,enabled,6,206.904,16.412,1.135,2.415,12.849,116.846,0.005,1.030,100,0.0103,100
100,enabled,7,213.930,15.859,1.264,2.345,12.236,123.347,0.006,0.997,100,0.0100,100
100,enabled,8,204.713,16.561,1.128,2.378,13.043,114.287,0.005,1.007,100,0.0101,100
100,enabled,9,204.316,15.818,1.129,2.344,12.333,114.930,0.005,1.003,100,0.0100,100
100,enabled,10,315.904,16.513,1.131,2.372,12.998,223.400,0.005,1.010,100,0.0101,100
