node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,50,disabled,0.005,0.000,0.000,0.000,342.970,0.000
,,50,disabled,0.004,0.000,0.000,0.000,191.115,0.000
,,50,disabled,0.007,0.000,0.000,0.000,331.788,0.000
,,50,disabled,0.012,0.000,0.000,0.000,241.355,0.000
,,50,disabled,0.006,0.000,0.000,0.000,355.127,0.000
,,50,disabled,0.003,0.000,0.000,0.000,198.803,0.000
,,50,disabled,0.004,0.000,0.000,0.000,338.829,0.000
,,50,disabled,0.003,0.000,0.000,0.000,329.096,0.000
,,50,disabled,0.003,0.000,0.000,0.000,192.168,0.000
,,50,disabled,0.003,0.000,0.000,0.000,340.019,0.000
,,10,enabled,20.386,12.114,1.182,5.908,41.985,0.864
,,10,enabled,16.780,9.997,1.090,5.683,163.493,0.868
,,10,enabled,15.859,9.588,1.077,5.186,41.517,0.872
,,10,enabled,16.506,10.336,1.084,5.078,42.542,0.877
,,10,enabled,17.480,10.211,1.082,6.178,41.040,0.868
,,10,enabled,15.907,9.717,1.106,5.075,44.295,0.893
,,10,enabled,19.630,12.540,1.102,5.978,167.910,0.870
,,10,enabled,19.443,12.605,1.103,5.725,42.460,0.875
,,10,enabled,16.755,9.931,1.096,5.719,45.211,0.890
,,10,enabled,21.170,12.220,1.214,7.725,47.423,0.894
