node_num,edge_num,tweet_num,ttg_enabled,ttg_total_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms,resolve_total_ms
,,10,enabled,202.968,60.943,30.146,108.816,283.903,15.247
,,10,enabled,206.732,61.409,30.788,111.115,292.640,15.501
,,10,enabled,202.658,59.258,29.911,110.514,282.171,14.975
,,10,enabled,203.702,61.837,30.496,108.346,292.760,15.374
,,10,enabled,208.239,60.766,31.530,112.599,300.474,15.607
,,10,enabled,198.616,59.072,30.298,106.231,282.642,15.200
,,10,enabled,210.820,62.169,30.607,115.049,283.015,15.615
,,10,enabled,216.856,64.895,31.430,117.376,306.301,15.849
,,10,enabled,204.816,61.150,30.416,110.241,288.268,15.472
,,10,enabled,202.925,59.865,30.111,109.997,284.487,15.461
