Wed May 13 01:31:04 2026    profiles/limit_200/trial_6/jac_server.prof

         261386 function calls (269834 primitive calls) in 0.308 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.402    0.402 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/server.jac:304(_jac_walker_execute)
   1/2471    0.004    0.004    0.402    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:1900(proxy)
   1/2471    0.002    0.002    0.402    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:89(HookCaller.__call__)
   1/2471    0.002    0.002    0.402    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:84(HookCaller._call_impl)
        1    0.000    0.000    0.402    0.402 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:659(spawn)
        1    0.001    0.001    0.402    0.402 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:387(spawn_call)
        1    0.004    0.004    0.306    0.306 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:362(_visit_node_recursive)
      900    0.002    0.000    0.300    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:322(_execute_entries)
       82    0.001    0.000    0.254    0.003 /home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex4/main.jac:17(LoadFeed.load)
      164    0.001    0.000    0.243    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:1091(refs)
      164    0.012    0.000    0.165    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/topo_utils.impl.jac:42(batch_load_nodes)
      328    0.007    0.000    0.118    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:157(ScaleTieredMemory.batch_get)
      164    0.001    0.000    0.078    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/topo_utils.impl.jac:37(plan_query)
      165    0.000    0.000    0.061    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/archetype.jac:230(NodeAnchor.get_topology_index)
        1    0.017    0.017    0.058    0.058 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/topology_index.impl.jac:48(decode)
      170    0.054    0.000    0.056    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/topology_index.impl.jac:42(TopologyIndex.resolve_chain)
    19185    0.033    0.000    0.046    0.000 /etc/profiles/per-user/patrickli/lib/python3.13/uuid.py:142(UUID.__init__)
      818    0.001    0.000    0.043    0.000 /home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex4/main.jac:26(LoadFeed.calc)
