prefetch_limit,trial,e2e_ms,topo_idx_ms,ttg_ms,prefetch_ms,walker_ms
0,1,4179.371,0.000,0.000,0.000,2519.504
0,2,4074.233,0.000,0.000,0.000,2447.527
0,3,4168.499,0.000,0.000,0.000,2452.093
0,4,4158.231,0.000,0.000,0.000,2511.892
0,5,4063.135,0.000,0.000,0.000,2431.990
0,6,4313.665,0.000,0.000,0.000,2659.661
0,7,4119.999,0.000,0.000,0.000,2483.348
0,8,4295.069,0.000,0.000,0.000,2602.032
0,9,4286.048,0.000,0.000,0.000,2626.582
0,10,4231.080,0.000,0.000,0.000,2606.917
1000,1,4030.718,61.463,20.088,192.801,2111.540
1000,2,4112.000,61.625,19.518,198.370,2166.178
1000,3,4213.444,62.939,20.470,205.430,2263.015
1000,4,4090.215,62.750,19.834,194.093,2166.325
1000,5,4009.360,61.193,20.058,195.144,2083.802
1000,6,4021.964,60.436,19.832,190.537,2097.163
1000,7,4008.403,60.648,19.951,194.018,2085.407
1000,8,4048.534,61.588,19.252,189.954,2132.721
1000,9,4010.990,61.887,19.600,191.937,2099.374
1000,10,4062.721,62.839,24.460,209.947,2114.554
2000,1,4062.983,61.706,33.824,346.331,1935.234
2000,2,4048.063,60.657,33.323,342.740,1926.114
2000,3,4013.786,60.483,33.630,338.441,1905.135
2000,4,4026.533,60.753,33.936,348.497,1904.688
2000,5,4041.903,60.689,33.385,339.666,1905.876
2000,6,4235.870,61.565,34.044,345.471,2061.566
2000,7,4172.083,61.028,33.484,350.463,2025.006
2000,8,4572.467,60.526,36.178,416.396,2225.426
2000,9,4002.720,61.515,33.936,346.970,1884.902
2000,10,4011.278,61.578,33.930,349.844,1887.901
3000,1,4193.760,60.607,50.072,642.974,1696.429
3000,2,4135.009,62.907,48.599,625.589,1632.146
3000,3,4045.006,61.475,49.569,619.662,1594.072
3000,4,4131.433,62.099,51.985,630.812,1635.750
3000,5,4132.971,60.989,49.562,625.090,1662.156
3000,6,4120.015,60.659,50.409,626.291,1642.740
3000,7,4303.496,61.145,51.074,638.099,1777.612
3000,8,4150.443,64.950,50.521,629.698,1638.418
3000,9,4080.497,61.106,49.699,621.717,1614.413
3000,10,4098.820,61.451,49.744,616.793,1613.666
4000,1,4029.669,61.486,54.725,752.185,1408.435
4000,2,4055.177,59.605,53.177,755.314,1434.907
4000,3,4049.634,61.007,54.428,754.277,1425.375
4000,4,4077.995,60.884,53.886,751.568,1442.814
4000,5,4035.752,60.349,53.776,756.299,1405.666
4000,6,4024.438,60.503,53.934,761.088,1403.854
4000,7,4056.527,61.227,54.056,753.925,1441.093
4000,8,4109.176,61.559,54.839,768.348,1421.467
4000,9,4078.798,61.778,54.569,758.621,1458.519
4000,10,4054.021,61.224,54.325,754.897,1431.499
5000,1,4196.936,61.610,78.859,896.701,1325.198
5000,2,4219.767,61.239,78.934,904.527,1314.257
5000,3,4189.336,61.278,78.482,893.218,1302.970
5000,4,4205.210,62.483,79.702,901.388,1317.443
5000,5,4161.486,61.001,78.631,892.129,1294.243
5000,6,4190.912,60.020,78.138,886.661,1298.435
5000,7,4186.856,61.018,78.501,892.440,1311.150
5000,8,4156.599,61.139,80.850,890.714,1293.043
5000,9,4152.568,61.460,78.013,888.655,1273.356
5000,10,4200.958,63.097,79.226,895.009,1315.468
6000,1,4266.550,61.229,95.390,1042.129,1166.932
6000,2,4237.856,61.097,95.832,1024.949,1145.598
6000,3,4242.851,61.620,96.894,1040.928,1164.017
6000,4,4238.731,61.612,96.942,1034.731,1141.029
6000,5,4255.469,61.611,95.407,1036.069,1169.770
6000,6,4224.560,61.289,94.264,1036.367,1132.015
6000,7,4239.840,60.856,96.262,1029.998,1133.372
6000,8,4224.558,61.157,94.170,1037.503,1136.262
6000,9,4247.455,59.878,94.261,1035.636,1151.339
6000,10,4277.347,60.998,95.977,1040.090,1174.566
7000,1,4328.189,61.301,120.109,1170.177,999.775
7000,2,4321.206,61.744,117.294,1176.697,977.213
7000,3,4304.643,61.646,116.798,1173.589,978.891
7000,4,4327.017,61.359,118.394,1173.142,1001.142
7000,5,4326.784,60.910,119.049,1175.356,1004.503
7000,6,4301.119,60.999,118.724,1169.587,982.851
7000,7,4322.447,61.480,120.612,1170.247,991.503
7000,8,4304.490,60.440,116.665,1170.655,992.210
7000,9,4327.492,61.261,117.798,1174.345,1019.199
7000,10,4356.846,60.916,118.544,1174.463,1018.261
8000,1,4548.214,61.554,143.195,1305.782,905.444
8000,2,4502.073,61.925,148.020,1302.020,894.424
8000,3,4494.662,61.271,146.209,1311.975,900.395
8000,4,4567.275,61.262,146.394,1341.714,901.860
8000,5,4512.900,62.328,145.335,1315.140,897.778
8000,6,4517.853,60.889,148.967,1304.467,907.934
8000,7,4531.372,61.062,146.636,1311.543,906.310
8000,8,4508.694,61.467,146.158,1311.717,902.583
8000,9,4539.247,61.084,146.816,1317.939,902.724
8000,10,4611.766,60.657,146.958,1319.942,929.215
9000,1,4786.496,60.517,175.557,1463.243,850.481
9000,2,4797.605,61.267,177.384,1458.385,846.214
9000,3,4774.620,61.039,184.519,1446.584,842.220
9000,4,4793.067,60.611,174.844,1460.204,848.156
