id,tier,type
00000000-0000-0000-0000-000000000000,L3,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
f31008dd-afcb-46e9-82e8-19485e39c3b0,L3,Root
f31008dd-afcb-46e9-82e8-19485e39c3b0,L1,Root
c7410223-40ee-4909-ad05-b4c7f668ed1f,L1,Root
e200b9c2-e069-4143-92f0-ee1f8cb9e874,L1,Root
9fe02092-5c55-4999-80f5-a3bfb228346b,L1,Root
d853dc16-1368-4b37-96a4-7c1dc5af20d5,L1,Root
35afb417-6274-4506-83b8-de7ea1b2c51f,L1,Root
1da6a006-9cdd-4d48-98ef-acd9eef79468,L1,Root
3986dc37-ecbd-40ff-affa-a433bc3f3e47,L1,Root
4449bd59-40ea-4577-a4db-ed358bad2359,L1,Root
3cbbcb74-7418-419d-9b25-62712dd5e5fe,L1,Root
b015cfa4-a22f-4541-b4a5-5ad0ba36f176,L1,Root
0658da79-1d2d-44de-af81-567ac5241db5,L1,Root
d25a45c6-980e-4710-b968-56a3d3ec21b6,L1,Root
b96e6dc4-3031-4f4c-a147-9169cd8dfa28,L1,Root
b5ec9c07-bbeb-4893-a1c5-08e5b602582e,L1,Root
1e5a012b-443f-4c8c-bf4a-d124c999e39a,L1,Root
6931e9cd-2227-42cd-8304-006f4bf1c681,L1,Root
1078daad-3037-4f0d-b9f4-9935da52d6a6,L1,Root
4b40a68f-8215-4084-a720-bb5e60274123,L1,Root
28b54d1f-96c5-44ae-b56f-600f52402055,L1,Root
7d1fc3b0-2c08-465e-8e6d-f03b4dd0a912,L1,Root
e0b3721a-fb36-46bd-a460-27988708339d,L1,Root
ab536481-28aa-4f85-8f7d-49dc32bfcbfe,L1,Root
4afbaf03-2711-40f8-ab43-05a4c5d31772,L1,Root
d5ce0df9-32cc-4c61-b509-e46c821999d5,L1,Root
59467bd8-042f-4485-8a21-9b95a0b9b828,L1,Root
400589f4-7b8a-4ed9-bdd7-66931f4768d4,L1,Root
3bb71bc7-41d9-4a3c-94f9-ed658ae49007,L1,Root
9fefc320-14d2-49f4-815b-4b1e1b1bb931,L1,Root
9cddeedd-b3a1-4bb1-9723-fd6eba1322ec,L1,Root
8ea342ca-03b8-4b9e-95b0-51c21494f31e,L1,Root
dcf2e960-ee4a-42e7-b793-ace3da1324ed,L1,Root
657b57c5-eb50-4aa5-8220-aa14cbc106f8,L1,Root
3670e7ba-e387-4bbc-be74-d5e288acad9b,L1,Root
1b6f9fee-8940-414c-9af0-2f3529cae574,L1,Root
51c89521-ac6d-4706-bbd5-346f2bf6d551,L1,Root
ca414d21-f86f-43a8-ac0f-f5e4ee447749,L1,Root
4094ae00-143e-4edc-8307-6698d8900a84,L1,Root
31f1daef-3bda-40fd-9442-8228d2ed3b0f,L1,Root
051d9c88-b6ad-4ee2-b90e-d7d039ffd29a,L1,Root
bfc16ca7-ce08-4e95-9839-4932a93d217e,L1,Root
393b84ae-b268-42b0-9f0f-ffcf5f4d4d5d,L1,Root
e11fcd64-1033-4592-a556-4a303ea11070,L1,Root
0f437143-939e-4b90-be80-35470b0f7296,L1,Root
a1e749f1-b59c-4142-b2d8-dcb1475ea841,L1,Root
0338a806-61d6-4a82-938b-6e433feeb18e,L1,Root
bdc37e8c-9f67-4603-aecf-af2e6db59682,L1,Root
a2abd84c-c3c6-47ed-847f-b7bff638e4d3,L1,Root
aa2a8cae-ed9b-469c-b5d9-7569678d97fa,L1,Root
e0cba3a3-4f76-430c-8541-8539e3a7f3a5,L1,Root
3d16eb90-9fa7-471d-9713-e0f9621d128b,L1,Root
916cbb50-7d22-4c0a-9169-8acfb8baaa19,L1,Profile
f31008dd-afcb-46e9-82e8-19485e39c3b0,L1,Root
2e088bb1-8f09-4ce9-baf3-3e7d02050dd6,L1,Tweet
52b0c479-2ad1-4a0c-8f9c-744daa5f8623,L1,Tweet
0591b2fb-e70d-4f8e-8374-d0ce62d4299a,L1,Tweet
69e6f631-9779-4bc0-8451-c3777f6473c2,L1,Tweet
0b2ff432-6816-4971-ab49-e3ccdeca8b6a,L1,Tweet
7c9c62e0-9d10-412d-8a28-7f87e4a9db57,L1,Tweet
92e97e9b-542e-48a8-b9d5-1af61c3f2d49,L1,Tweet
efb6906b-85a4-4480-89de-16ef92217c43,L1,Tweet
46113aa4-7ca9-40c2-81ef-c7c8a4ab5987,L1,Tweet
d9fdab8e-f9c8-4f1d-ac5c-44587a9eeb3a,L1,Tweet
a9d62224-dfdc-4d65-a7e0-05a5f40f45af,L1,Tweet
b8a2b80b-3300-4961-a57c-6394808e34e1,L1,Tweet
b6dce01e-d1ba-4f6c-9500-e815d091d18d,L1,Tweet
c27e64da-4638-4521-9804-338d6e5e5b7b,L1,Tweet
e3a349ef-bee8-4abb-bdf2-1c2f62140071,L1,Tweet
b3c51524-b4d1-4014-b842-412b47dcca07,L1,Tweet
60bd4dcb-00e1-4fd8-b3fe-592c35e1bd6c,L1,Tweet
91e07794-cdf5-4862-ae8e-57fcc81cd843,L1,Tweet
75668697-bb71-4715-90cd-044077cd3d80,L1,Tweet
20150a26-0910-4ed5-9f4a-eeebe4dd7308,L1,Tweet
0646002d-dacf-46c7-94ed-31e6f76b1cef,L1,Tweet
0059f214-424e-4887-a337-f457e849d4aa,L1,Tweet
cde8a346-9ff4-4bbd-be36-b187471f4d6a,L1,Tweet
bc8dc7ea-c8fd-4eb3-92c4-ab17e632560d,L1,Tweet
fa3df02c-d853-40c5-8e40-efde5661980e,L1,Tweet
563f5a81-9b08-4bad-9f74-c657ad2ec0ae,L1,Tweet
0ee5eb08-554d-4a39-a6e4-78fbd527b7e2,L1,Tweet
a837d3fe-146c-4b5d-9154-d80ef442f320,L1,Tweet
b7077303-036b-48e5-b630-4547daaef2ac,L1,Tweet
eb527df2-e671-4051-9dcf-1525b6ecfe22,L1,Tweet
dbe07e86-fac6-415d-b44b-3906e8cfec41,L1,Tweet
abc11776-f2ff-4c00-aa5b-ed81d8aca729,L1,Tweet
0c022d99-c302-4b60-9d0c-ae0ecb335eab,L1,Tweet
fb8a873a-a024-4ee0-8018-17c198ea4a65,L1,Tweet
ebca1530-e4b9-4d77-b77c-efaf12b7d059,L1,Tweet
92a2a935-8431-48f7-8e83-61c77af2fac1,L1,Tweet
85d44d3a-2155-4f8f-a21b-67653b3cb512,L1,Tweet
976f8085-f253-40bf-8e45-43f7b9d34b5d,L1,Tweet
c0ece209-1ce1-4f63-b322-5dd2438b0014,L1,Tweet
3702994c-01ce-431f-bab2-1c9694c460af,L1,Tweet
f1627d3f-e77a-4a3e-9be1-5300f4104ff4,L1,Tweet
