id,tier,type
cf8a5483-8214-4890-8402-88b37bc784c4,L1,Root
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L2,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L3,Profile
7640c3bb-2e83-4798-b0a5-d9c71cffe9d5,L1,Profile
