id,tier,type
00000000-0000-0000-0000-000000000000,L3,Root
00000000-0000-0000-0000-000000000000,L3,Root
4c69bfa7-cc69-411d-89a0-7bad65bf8f42,L3,Root
4c69bfa7-cc69-411d-89a0-7bad65bf8f42,L3,Root
c34f3833-e479-4343-a9f8-ade29eb4547c,L3,Profile
e931f994-6bfe-4e39-87ee-523d740ae026,L3,Tweet
13cad157-d591-4db5-b0b2-801fc68b81de,L3,Tweet
cd7a57aa-d84b-4186-88d9-5e398e4f77a5,L3,Tweet
d5bfc2b4-5b98-4c5f-9fc6-d69c1180174c,L3,Tweet
8b6f3a25-6a9f-416c-8086-fa2731756ec7,L3,Tweet
f83844e4-7e4b-4053-8cbc-4a9762a26465,L3,Tweet
2c440408-57e4-4a49-a828-9778c8086bd2,L3,Tweet
cfa918c1-f717-4cc8-a74d-b5b06d01b6b9,L3,Tweet
6c59c1a1-691b-4e0e-b3a2-9e373b42b2ee,L3,Tweet
a74e20e5-4087-4230-bf58-b6f072af5cbe,L3,Tweet
57915b30-3f75-4e9d-a43d-363e3bedb998,L3,Tweet
0ff5365c-5ff7-4f24-bfa4-9387bdeba49a,L3,Tweet
25684354-4086-422e-913f-2a6dc9c4ec9b,L3,Tweet
c5468baa-110f-4fb2-96d5-53e4d3cc1fde,L3,Tweet
c9a760ea-8f56-46fd-9f4e-526fe0e2fbc6,L3,Tweet
0966ad1c-63f3-4acf-aea9-9b09d8c8bc7f,L3,Tweet
520a52ee-d15d-4669-bee6-961e56ffc496,L3,Tweet
e9c37d13-daf8-48e2-adfa-b2618e4d0a45,L3,Tweet
323838e0-18f3-4aa3-8ac2-ca1e5ef4ee59,L3,Tweet
c381b363-eaed-4f70-b7de-ee9edc2341d0,L3,Tweet
71ba42a0-d7ab-4732-a9bf-7a4e12dca5c7,L3,Tweet
8ba205f5-58da-45a0-9619-271961f3f0f8,L3,Tweet
efd8e40a-4567-424d-ac02-0aebc7fc0498,L3,Tweet
f91d3fbc-9727-4c58-8391-0ae77e5f62c4,L3,Tweet
02508bdb-a9a0-4196-83b1-056497353993,L3,Tweet
17991001-fb11-432f-b4f1-8f50a1209769,L3,Tweet
