id,tier,type
00000000-0000-0000-0000-000000000000,L2,Root
00000000-0000-0000-0000-000000000000,L1,Root
00000000-0000-0000-0000-000000000000,L1,Root
4ffeeee1-13f3-474d-9500-9687adad6599,L3,Root
4ffeeee1-13f3-474d-9500-9687adad6599,L1,Root
524e6436-f0d8-443c-a4c9-5efce38ce1c5,L3,Profile
4ffeeee1-13f3-474d-9500-9687adad6599,L1,Root
003da135-50c2-4fd4-a34c-a474869fd91e,L3,Tweet
01a2a00a-1c24-4e39-a19b-ea4848d4ebde,L3,Tweet
02835962-569d-4685-8402-d96f62388c85,L3,Tweet
05842f77-b868-44c0-a2db-2d7607138bec,L3,Tweet
07bfc297-94b3-4774-a2a2-c813174a1d3e,L3,Tweet
082735a2-654d-46c5-8d91-f66368d42f84,L3,Tweet
09fda4b5-ed24-474a-84f4-921959864b99,L3,Tweet
0b84a728-1ccc-44d6-89bd-4de8c6c5879d,L3,Tweet
0d09f3ec-2bee-4a21-8ca0-fb091d21b627,L3,Tweet
0d5d9ed6-b957-4449-a7f3-f987cb78f719,L3,Tweet
0e74466c-e9a8-4c3d-ad1a-d0c598953391,L3,Tweet
0f363a58-da7d-4f1b-8121-5117e793b96c,L3,Tweet
10b16bd8-e697-4e79-a9a4-f86833df1071,L3,Tweet
10cd0209-2d19-485d-81f6-dfa1a464eb89,L3,Tweet
10ec5fa6-97de-4d4f-9a49-418fa8e7d8ba,L3,Tweet
118a529b-236f-4e83-b173-9fab93d417fd,L3,Tweet
11d93a7f-4acd-429e-b816-c4188ad5c2e3,L3,Tweet
1216aa33-4df9-4f1a-b489-fccaa09f64c6,L3,Tweet
1258652b-0578-47b5-aa4e-db57fe37e218,L3,Tweet
14a66887-36e2-4993-a9c7-090c45031df7,L3,Tweet
15b3e901-868a-407c-af86-af4e7e72d09f,L3,Tweet
16adde8a-fa27-44f4-8c93-90a0105a9859,L3,Tweet
16e21a66-51a5-4542-914e-02dfb67f3b98,L3,Tweet
1866e9b1-f6e4-4be6-9587-1150d397e7d4,L3,Tweet
19842161-a6c7-4c25-bda0-b7aff8f41c8a,L3,Tweet
19e485bb-0872-4d06-8301-f1f014c84fbd,L3,Tweet
1ac09445-37bf-4c12-afac-41a340f0d230,L3,Tweet
1c61e31f-157b-4162-8690-583a82beb9e0,L3,Tweet
1cb6d190-2479-4d0b-aab3-2b8ea2ca8baa,L3,Tweet
1d19ca80-16e4-4299-8d7e-c102182410e6,L3,Tweet
1d3bb61c-c54a-4bf1-a19d-51ea7dde2462,L3,Tweet
1e91ed86-517f-4fdf-b27a-c99eaa9c0f6f,L3,Tweet
1ec7a282-9c81-417f-a5db-8e26d39816ed,L3,Tweet
1f4feb5b-908f-44dd-8a1d-37a644021ec5,L3,Tweet
2032f617-4303-4421-b9fe-4db755ff81ff,L3,Tweet
20836d50-5f9b-47e8-91de-005769d68329,L3,Tweet
262f6ec1-caf9-468e-a3a9-a2ece3893156,L3,Tweet
2a1ae828-233c-4cc1-af07-f20093456a84,L3,Tweet
2b4947c4-6993-4ffa-a7ec-42fc2b44991d,L3,Tweet
2e1c6316-5810-4f8a-9cbe-81490411af09,L3,Tweet
2f89244a-d70b-4930-aa42-68b99a6d4ee7,L3,Tweet
2f930614-e422-4eca-a0db-bef3fc706639,L3,Tweet
32bedf77-8623-4e7c-82c8-7d7bb5c3c660,L3,Tweet
335f3fbf-219d-4b98-ba39-b288f2a1d175,L3,Tweet
34b9aae8-50a1-4489-b3e9-21e4deca97d4,L3,Tweet
3ad75f48-861b-4632-852a-a3c68922d607,L3,Tweet
3d9b37f2-0b54-451b-8987-ce83c408cbdf,L3,Tweet
3f2dd5cf-2310-4811-86ca-3f3afe3b779e,L3,Tweet
45cbced4-dbfa-449f-ba9b-ebdee6451c5c,L3,Tweet
4904153a-6470-482e-86ba-0d1f7137b547,L3,Tweet
4b552bec-4586-4351-abcd-b1883719e32a,L3,Tweet
4b5f5960-91de-4753-9188-a137b58a114d,L3,Tweet
4bc17fcf-d7ac-4583-a795-5992076c914f,L3,Tweet
4c38296f-e1cd-4593-ad21-8f2e5abe63a8,L3,Tweet
4cb6ddd5-b2f1-4e86-85bc-90926b0721cf,L3,Tweet
4e6a5be1-6714-4a1f-b3c5-555dbd8b6e17,L3,Tweet
50e8d301-a4cb-4db3-849a-00f95b364e91,L3,Tweet
55b0fe63-d260-4ecd-a2c0-a7482233981b,L3,Tweet
5628ecf4-081b-4995-8655-1d7c419f0d56,L3,Tweet
56ee57ec-53dd-4a1d-aaf6-fc0312a85e42,L3,Tweet
57495c8a-9732-447f-8799-d6ed3e6f0b41,L3,Tweet
59c390a9-eade-404c-8e83-2ed0886a4477,L3,Tweet
5a013693-b037-4b8e-99f8-b55cb7aecc7d,L3,Tweet
5bfacff7-6dd6-4bdc-91bd-745d7da2fda6,L3,Tweet
5c706c00-685d-4f3b-a41d-82983402d622,L3,Tweet
5d3d3806-e9e3-4831-a80a-7ec3022200c6,L3,Tweet
5e1086c8-179f-43c3-a3b2-caf1ffb76bf1,L3,Tweet
5e4fe5e5-c906-415f-9e41-5fca312a8db2,L3,Tweet
5eb95f7a-80e1-48a7-8d5a-8e02a788227b,L3,Tweet
605d4591-a3b3-4e48-b0e3-a214bdf03b9b,L3,Tweet
614c674b-fc80-4273-8f79-3bc08a9a0326,L3,Tweet
61918b38-67d5-4209-b2d9-a9b4dc581d56,L3,Tweet
62da57ad-7194-4de8-803e-9bccd8587f8e,L3,Tweet
6633e723-e0db-4af3-9a5e-62139db5f0d4,L3,Tweet
6637b36f-e5ba-44ba-933b-12ffc0166f30,L3,Tweet
673e270f-883b-4c14-9a34-e6c8b7262af0,L3,Tweet
67542d7c-d90f-42de-9cf4-74994d506da2,L3,Tweet
6806d7e7-2259-4a01-825c-6bda557b5db6,L3,Tweet
6874fad9-257c-418c-8f5d-777ab516ea4d,L3,Tweet
6954904d-630e-42bf-b634-2c54a9377beb,L3,Tweet
