id,tier,type
00000000-0000-0000-0000-000000000000,L3,Root
00000000-0000-0000-0000-000000000000,L3,Root
b2a2181b-3c62-4134-8f07-0ba68f2c77fa,L3,Root
b2a2181b-3c62-4134-8f07-0ba68f2c77fa,L3,Root
b5f403e3-8833-4b5c-ad30-5e7272725eb3,L3,Profile
872bbf1f-59bb-4aab-81c9-2d8d0ed3581a,L3,Tweet
8d59b509-8a61-4353-9c5b-60fe1ddd854a,L3,Tweet
5846e864-0233-4844-9209-2aaded89ffe7,L3,Tweet
15fc02fd-1107-4330-8013-fd80e63fad9f,L3,Tweet
d3f75f8d-a45c-4ed1-ad31-1efa1d0d2405,L3,Tweet
1f8b8e84-44ad-4335-b254-f6d6de9b4d87,L3,Tweet
c1265634-8a75-49d6-af8e-45e4130332b4,L3,Tweet
dbf83f8b-7355-4d40-8825-80b7051c7f9a,L3,Tweet
aa42c5f7-7de0-4dcc-a299-f7fde1f2d22c,L3,Tweet
253cc2ea-54f9-4e9c-b71e-e1f08bbee7e7,L3,Tweet
02bd7ddf-e81f-4e66-9f6a-b5e87e83748b,L3,Tweet
bda612d2-6266-4dfc-80de-0ccc2d7d2cb1,L3,Tweet
8de3b0d7-df06-467b-98e7-504b3da74451,L3,Tweet
b25e1ede-0adb-4123-952b-4e3f0e30904f,L3,Tweet
c34f0d2a-7941-45d0-aa3e-25a809d92058,L3,Tweet
89618209-7bec-40d5-989d-e45e3fa5230f,L3,Tweet
068def02-bfd0-41c8-b491-7e6b46e56449,L3,Tweet
2931172d-fcc5-4ee3-837d-6f32a229f151,L3,Tweet
bfd3b1b5-8748-45bf-9545-ea321953a291,L3,Tweet
ed10ef22-4fc9-41f0-a8c0-e116d0124639,L3,Tweet
e9c49afb-cafa-4413-9864-f959cf348f6a,L3,Tweet
2020fa1f-d192-41fc-8c31-0b9a83c72c04,L3,Tweet
f97dabfa-7b11-4c83-bad9-b6ce634b0e3f,L3,Tweet
43776ed9-dcf1-4836-be36-75ecadacc7e5,L3,Tweet
de75b985-8d09-4161-8c1c-81847e5530fa,L3,Tweet
b26d32e7-509b-43ab-a0e8-49da715cdd73,L3,Tweet
9ad115be-42d2-4109-98ed-7a5c5c8495df,L3,Tweet
