Tue Jun  9 02:19:19 2026    profiles/limit_0/get_profile/trial_6/jac_server.prof

         592898 function calls (616966 primitive calls) in 1.122 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      204    0.000    0.000    2.246    0.011 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/network_layer.py:468(NetworkingInterface.recv_into)
        1    0.000    0.000    1.328    1.328 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/server.jac:475(_jac_walker_execute)
   1/3940    0.006    0.006    1.328    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:1964(proxy)
   1/3940    0.002    0.002    1.328    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:89(HookCaller.__call__)
   1/3940    0.003    0.003    1.328    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:84(HookCaller._call_impl)
        1    0.000    0.000    1.328    1.328 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:413(spawn)
        1    0.000    0.000    1.328    1.328 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:318(spawn_call)
        1    0.000    0.000    1.326    1.326 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel.jac:214(osp_spawn)
        1    0.000    0.000    1.206    1.206 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel.jac:163(_visit_recursive)
        8    0.000    0.000    1.206    0.151 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
        2    0.000    0.000    1.206    0.603 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
        1    0.000    0.000    1.192    1.192 /home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/server.jac:176(get_profile.give)
      204    0.001    0.000    1.192    0.006 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:918(refs)
        1    0.000    0.000    1.191    1.191 /home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/server.jac:76(Profile.to_profile_view)
      204    0.002    0.000    1.141    0.006 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:254(edges_to_nodes)
      204    0.002    0.000    1.047    0.005 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:191(_prefetch_edges)
        6    0.002    0.000    1.040    0.173 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:201(ScaleTieredMemory.batch_get)
        4    0.002    0.000    0.907    0.227 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:138(MongoBackend.batch_get)
      594    0.002    0.000    0.887    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:158(MongoBackend._load_anchor)
      688    0.001    0.000    0.884    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:103(deserialize)
      688    0.031    0.000    0.883    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:128(_deserialize_anchor)
    66818    0.656    0.000    0.717    0.000 /etc/profiles/per-user/patrickli/lib/python3.13/uuid.py:142(UUID.__init__)
    32769    0.021    0.000    0.652    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:127(_id_to_stub)
