Wed Jun  3 03:20:49 2026    profiles/limit_0/get_profile/trial_7/jac_server.prof

         33162 function calls (35797 primitive calls) in 0.037 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.052    0.052 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/server.jac:475(_jac_walker_execute)
     1/96    0.000    0.000    0.052    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:1913(proxy)
     1/96    0.000    0.000    0.052    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:89(HookCaller.__call__)
     1/96    0.000    0.000    0.052    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:84(HookCaller._call_impl)
        1    0.000    0.000    0.052    0.052 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:377(spawn)
        1    0.000    0.000    0.051    0.051 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:318(spawn_call)
        1    0.000    0.000    0.051    0.051 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel.jac:206(osp_spawn)
        1    0.000    0.000    0.046    0.046 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel.jac:160(_visit_recursive)
        8    0.000    0.000    0.046    0.006 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
        2    0.000    0.000    0.046    0.023 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
        9    0.000    0.000    0.045    0.005 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:867(refs)
        9    0.000    0.000    0.041    0.005 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:56(execute_path)
        1    0.000    0.000    0.036    0.036 /home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/server.jac:176(get_profile.give)
        1    0.000    0.000    0.035    0.035 /home/patrickli/Space/jaseci_env/jaseci_external_tools/littlex5/server.jac:76(Profile.to_profile_view)
        9    0.000    0.000    0.035    0.004 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/planner.jac:136(_materialize_ids)
        9    0.000    0.000    0.035    0.004 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:200(ScaleTieredMemory.batch_get)
        3    0.000    0.000    0.029    0.010 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:136(MongoBackend.batch_get)
       22    0.000    0.000    0.026    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:157(MongoBackend._load_anchor)
       22    0.000    0.000    0.020    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:110(deserialize)
