Mon Jun 15 17:03:25 2026    profiles/limit_0/load_feed/trial_1/jac_server.prof

         6586466 function calls (7026199 primitive calls) in 6.502 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      199    0.000    0.000   16.809    0.084 /home/patrickli/Space/jaseci_env/jaseci/.venv/lib/python3.13/site-packages/pymongo/network_layer.py:468(NetworkingInterface.recv_into)
        1    0.000    0.000    8.704    8.704 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/server.jac:475(_jac_walker_execute)
  1/51040    0.075    0.075    8.704    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:1967(proxy)
  1/51040    0.028    0.028    8.704    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:89(HookCaller.__call__)
  1/51040    0.034    0.034    8.704    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/plugin.jac:84(HookCaller._call_impl)
        1    0.000    0.000    8.704    8.704 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:416(spawn)
        1    0.000    0.000    8.704    8.704 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:318(spawn_call)
        1    0.000    0.000    8.702    8.702 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel.jac:214(osp_spawn)
        1    0.059    0.059    7.634    7.634 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel.jac:163(_visit_recursive)
    40808    0.031    0.000    7.509    0.000 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
    10203    0.009    0.000    7.375    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
    10203    0.018    0.000    6.750    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/jac0core/runtime.jac:921(refs)
    10203    0.039    0.000    6.650    0.001 /home/patrickli/Space/jaseci_env/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:56(execute_path)
