Tue Aug 25 21:29:35 2026    /workspace/jaseci_external_tools/littlex5/profiles/policy_coaccess-pooled-N5/limit_12500/load_feed/trial_23/jac_server.prof

         16841569 function calls (15920129 primitive calls) in 11.127 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    40808    0.035    0.000   28.008    0.001 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:127(run_typed)
    10203    0.009    0.000   27.854    0.003 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:130(call)
      2/1    0.000    0.000   11.169   11.169 /workspace/jaseci/jac/jaclang/runtimelib/server.jac:495(_jac_walker_execute)
  51042/1    0.090    0.000   11.169   11.169 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:2211(proxy)
  51041/1    0.032    0.000   11.169   11.169 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:89(__call__)
  51041/1    0.042    0.000   11.169   11.169 /workspace/jaseci/jac/jaclang/jac0core/plugin.jac:84(_call_impl)
        1    0.000    0.000   11.169   11.169 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:653(spawn)
12498/1717    0.025    0.000   10.773    0.006 /usr/local/lib/python3.14t/site-packages/redis/client.py:1867(parse_response)
143749/143408    0.035    0.000    9.155    0.000 {built-in method builtins.next}
  232/118    0.000    0.000    9.108    0.077 /usr/local/lib/python3.14t/contextlib.py:145(__exit__)
  122/118    0.000    0.000    9.091    0.077 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/pool.py:1092(checkout)
    10203    0.029    0.000    8.854    0.001 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:1158(refs)
    10203    0.051    0.000    8.743    0.001 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:212(execute_path)
        1    0.000    0.000    8.038    8.038 /workspace/jaseci_external_tools/littlex5/server.jac:245(collect)
     9826    0.053    0.000    7.585    0.001 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.redis.impl.jac:62(put)
    10001    0.038    0.000    6.129    0.001 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:388(execute_plan)
100810/92811    0.201    0.000    5.042    0.000 /usr/local/lib/python3.14t/uuid.py:178(__init__)
22370/11722    0.052    0.000    4.361    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:775(parse_response)
22324/13099    0.028    0.000    3.896    0.000 /usr/local/lib/python3.14t/site-packages/redis/commands/core.py:2683(setex)
22378/13745    0.041    0.000    3.624    0.000 /usr/local/lib/python3.14t/site-packages/redis/connection.py:1328(read_response)
    68140    0.052    0.000    3.487    0.000 /workspace/jaseci/jac/jaclang/runtimelib/topology_index.jac:20(_get_col)
620457/620452    0.138    0.000    3.468    0.000 {method 'get' of 'dict' objects}
    34122    0.012    0.000    3.295    0.000 /workspace/jaseci/jac/jaclang/runtimelib/topology_index.jac:15(_e_key)
     9872    0.017    0.000    2.932    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:717(execute_command)
     9872    0.059    0.000    2.890    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:720(_execute_command)
101992/92905    0.146    0.000    2.693    0.000 /usr/local/lib/python3.14t/json/__init__.py:185(dumps)
        1    0.003    0.003    2.403    2.403 /workspace/jaseci/jac/jaclang/runtimelib/planner.jac:138(_execute_pushdown)
19752/19576    0.016    0.000    2.311    0.000 /usr/local/lib/python3.14t/site-packages/redis/retry.py:101(call_with_retry)
     9872    0.016    0.000    2.286    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:739(<lambda>)
     9872    0.018    0.000    2.256    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:679(_send_command_parse_response)
     9582    0.021    0.000    2.168    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:141(execute_plan)
372574/89491    0.518    0.000    2.121    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:107(_serialize_value)
    40583    0.020    0.000    2.116    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:86(serialize)
     9782    0.037    0.000    2.015    0.000 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:161(_load_anchor)
    30757    0.065    0.000    2.007    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:135(_compute_hash)
        1    0.000    0.000    1.976    1.976 /workspace/jaseci/jac/jaclang/jac0core/runtime.jac:548(spawn_call)
        1    0.000    0.000    1.976    1.976 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:214(osp_spawn)
22378/15467    0.034    0.000    1.967    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:12(read_response)
        1    0.000    0.000    1.888    1.888 /workspace/jaseci/jac/jaclang/runtimelib/impl/planner.impl.jac:232(plan_chain)
        1    0.001    0.001    1.888    1.888 /workspace/jaseci/jac/jaclang/runtimelib/impl/topology_index.impl.jac:82(resolve_chain_cross_root)
    10251    0.021    0.000    1.843    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:103(deserialize)
    10253    0.005    0.000    1.831    0.000 /workspace/jaseci/jac/jaclang/jac0core/archetype.jac:184(get_topology_index)
       51    0.092    0.002    1.823    0.036 /workspace/jaseci/jac/jaclang/runtimelib/impl/topology_index.impl.jac:99(decode)
22579/18793    0.034    0.000    1.823    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/resp2.py:24(_read_response)
    19764    0.061    0.000    1.759    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:48(_read_from_socket)
22579/20713    0.036    0.000    1.752    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/socket.py:111(readline)
3199583/3090478    0.520    0.000    1.706    0.000 {built-in method builtins.isinstance}
    44323    0.020    0.000    1.689    0.000 /workspace/jaseci/jac/jaclang/runtimelib/topology_index.jac:10(_n_key)
    19764    1.657    0.000    1.659    0.000 {method 'recv' of '_socket.socket' objects}
      9/1    0.000    0.000    1.627    1.627 /usr/local/lib/python3.14t/threading.py:1030(_bootstrap)
      4/1    0.000    0.000    1.626    1.626 /usr/local/lib/python3.14t/site-packages/redis/client.py:1924(execute)
        9    0.000    0.000    1.621    0.180 /usr/local/lib/python3.14t/threading.py:1088(_delete)
    10251    0.114    0.000    1.602    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:128(_deserialize_anchor)
    10200    0.010    0.000    1.495    0.000 /workspace/jaseci_external_tools/littlex5/server.jac:253(gather)
    10200    0.051    0.000    1.484    0.000 /workspace/jaseci_external_tools/littlex5/server.jac:99(to_view)
12498/7064    0.028    0.000    1.342    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/memory.impl.jac:384(store_raw)
101992/93421    0.119    0.000    1.293    0.000 /usr/local/lib/python3.14t/json/encoder.py:185(encode)
    40583    0.453    0.000    1.230    0.000 /workspace/jaseci/jac/jaclang/runtimelib/impl/serializer.impl.jac:116(_serialize_attrs)
        1    0.000    0.000    1.225    1.225 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel_sv.jac:176(_sv_on_complete)
        1    0.010    0.010    1.225    1.225 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.main.impl.jac:201(commit)
342091/335929    0.080    0.000    1.201    0.000 {method 'append' of 'list' objects}
22569/17436    0.027    0.000    0.991    0.000 /workspace/jaseci/jac/jaclang/runtimelib/utils.jac:53(storage_key)
208070/197069    0.106    0.000    0.922    0.000 /usr/local/lib/python3.14t/uuid.py:398(hex)
22324/20330    0.024    0.000    0.850    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:106(__getitem__)
        1    0.032    0.032    0.750    0.750 /workspace/jaseci/jac/jaclang/jac0core/osp_kernel.jac:163(_visit_recursive)
12498/9958    0.015    0.000    0.743    0.000 /usr/local/lib/python3.14t/site-packages/redis/client.py:1650(execute_command)
242956/200190    0.092    0.000    0.631    0.000 /usr/local/lib/python3.14t/uuid.py:319(__hash__)
197870/182772    0.155    0.000    0.629    0.000 /usr/local/lib/python3.14t/uuid.py:331(__str__)
89619/62473    0.141    0.000    0.619    0.000 /usr/local/lib/python3.14t/site-packages/redis/_parsers/encoders.py:14(encode)
        1    0.009    0.009    0.607    0.607 /workspace/jaseci/jac-scale/jac_scale/impl/memory_hierarchy.mongo.impl.jac:144(sync)
22331/17360    0.019    0.000    0.586    0.000 /usr/local/lib/python3.14t/site-packages/pymongo/synchronous/cursor.py:1165(__next__)
